Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Close 1d (%)_Color,Close 1w (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,OI 1d (%)_Color,OI 1w (%)_Color
REAL,7.63,,7.47,7.82,"1,893",0.93,,92.49,70.78,,,31.55,,"70,334",1.5,,0.9448,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
RTX,159.84,,159.01,160.21,"8,320",0.17,,33.06,24.55,-34.17,,6.46,,"198,270",0.0,,0.9209,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF
BBIO,49.59,,48.81,50.8,"2,675",1.47,1.45,44.6,56.69,-8.58,-3.69,-4.43,18.84,"73,789",0.0,2.07,0.9692,#10B981,#10B981,#F87171,#F87171,#F87171,#10B981,#FFFFFF,#10B981
BURL,280.3,,278.28,282.76,"10,629",0.45,,40.65,68.85,4.65,,25.11,,"36,530",-3.43,,0.8069,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
TTGT,6.08,,6.0,6.2,205,-1.46,,84.37,236.0,35.21,,0.0,,"1,405",-1.33,,0.8423,#F87171,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF
NBR,36.19,,34.49,36.48,978,4.5,,92.57,75.82,-4.05,,5.62,,"14,909",-0.47,,1.0691,#10B981,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF
RKLB,46.25,,45.82,48.74,"170,605",-3.91,,78.82,100.6,-51.66,,73.21,,"923,075",0.01,,0.9458,#F87171,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
LNTH,56.84,,55.01,56.95,"1,855",2.12,1.25,78.1,101.12,105.32,111.95,5.94,-6.6,"12,864",-0.61,2.83,0.7433,#10B981,#10B981,#10B981,#10B981,#10B981,#F87171,#F87171,#10B981
GH,63.5,,63.28,64.7,"6,403",0.11,8.55,56.54,58.89,,0.0,53.59,131.66,"56,724",-0.14,4.85,0.999,#10B981,#10B981,#FFFFFF,#FFFFFF,#10B981,#10B981,#F87171,#10B981
RWT,6.0,,5.99,6.07,593,-0.5,,40.64,25.2,,,-33.89,,"29,729",-0.82,,0.7421,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
