Ticker,Company Name,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Debt Class,Spread 1Y,Spread 3Y,Spread 5Y
AXON,"Axon Enterprise, Inc.",736.74,718.25,740.0,718.02,0.05,0.4,-3.02,-3.41,-1.33,-1.18,-2.16,-1.1,,,,
SPOT,Spotify Technology S.A.,715.57,714.77,727.0,710.67,0.66,6.83,-0.49,3.65,0.9,5.1,0.62,7.18,,,,
TYL,"Tyler Technologies, Inc.",566.34,558.1,565.12,554.47,1.14,2.0,-1.41,1.02,-0.26,0.88,-0.68,1.11,,,,
MSFT,Microsoft Corporation,501.39,500.07,502.25,498.71,0.66,0.18,0.38,-1.0,0.21,-0.74,0.74,0.38,SENIOR_NORE_14,8.18,12.06,20.76
HUBS,"HubSpot, Inc.",496.18,497.23,505.0,496.57,1.26,5.45,-0.26,5.45,0.51,6.31,2.05,7.42,,,,
CYBR,CyberArk Software Ltd.,468.5,469.04,471.2,465.66,1.23,5.12,0.05,3.5,0.21,3.56,0.62,5.12,,,,
ALNY,"Alnylam Pharmaceuticals, Inc.",460.0,458.51,464.75,455.3,0.59,3.18,0.76,2.57,0.38,2.26,0.54,3.13,,,,
CMI,Cummins Inc.,396.68,392.14,396.0,390.11,-0.72,0.97,-1.32,-0.78,-1.08,0.03,-1.06,-0.4,SENIOR_NORE,12.35,26.32,48.9
CMI,Cummins Inc.,396.68,392.14,396.0,390.11,-0.72,0.97,-1.32,-0.78,-1.08,0.03,-1.06,-0.4,SENIOR_NORE_14,12.35,26.32,48.9
RCL,Royal Caribbean Cruises Ltd.,349.95,352.04,353.72,347.57,-1.14,-1.56,0.28,-0.58,-1.77,-1.28,-0.53,-0.2,SENIOR_NORE_14,24.49,50.22,72.76
RCL,Royal Caribbean Cruises Ltd.,349.95,352.04,353.72,347.57,-1.14,-1.56,0.28,-0.58,-1.77,-1.28,-0.53,-0.2,SENIOR_NORE,60.0,103.58,152.63
PODD,Insulet Corporation,350.0,350.72,352.94,347.3,0.13,3.51,0.33,1.68,0.84,0.84,0.5,3.7,,,,
TSLA,"Tesla, Inc.",348.45,348.35,350.76,343.82,-1.75,6.16,0.56,5.77,-2.14,5.23,-0.3,5.6,SENIOR_NORE_14,24.5,45.62,70.22
V,Visa Inc.,341.69,343.35,346.32,341.49,-0.19,-2.18,0.31,-1.92,0.56,-1.1,0.15,-1.32,,,,
AVGO,Broadcom Inc.,349.55,339.49,350.98,339.36,1.98,20.81,-1.78,13.83,-0.9,17.5,-0.55,18.17,SENIOR_NORE,19.03,49.96,97.77
AVGO,Broadcom Inc.,349.55,339.49,350.98,339.36,1.98,20.81,-1.78,13.83,-0.9,17.5,-0.55,18.17,SENIOR_NORE_14,19.02,49.92,97.76
AVGO,Broadcom Inc.,349.55,339.49,350.98,339.36,1.98,20.81,-1.78,13.83,-0.9,17.5,-0.55,18.17,SENIOR_NORE_14,10.1,20.55,33.77
MSTR,MicroStrategy Incorporated,330.23,326.64,331.96,324.45,0.65,-1.4,-0.99,-4.38,-0.34,-4.77,0.92,-2.15,,,,
MDB,"MongoDB, Inc.",322.63,324.66,328.84,322.0,-1.11,4.07,0.42,2.0,0.51,1.62,0.42,4.38,,,,
COIN,"Coinbase Global, Inc.",303.77,312.2,314.32,303.77,0.63,1.27,3.31,2.85,2.52,1.26,2.23,2.83,,,,
IDCC,"InterDigital, Inc.",299.67,301.32,301.68,296.59,3.56,11.64,0.47,8.59,0.51,8.49,2.88,11.86,,,,
JPM,JPMorgan Chase & Co.,292.6,297.8,298.98,292.31,-0.78,-2.55,1.67,-0.63,0.85,-0.49,0.3,-0.74,SENIOR_NORE,20.22,28.94,38.68
JPM,JPMorgan Chase & Co.,292.6,297.8,298.98,292.31,-0.78,-2.55,1.67,-0.63,0.85,-0.49,0.3,-0.74,SENIOR_NORE_14,20.22,28.94,38.68
BURL,"Burlington Stores, Inc.",291.47,290.25,293.71,288.02,0.0,1.26,0.0,0.27,0.0,1.21,0.0,1.59,,,,
ZS,"Zscaler, Inc.",281.35,280.88,284.34,279.0,2.31,0.59,-0.26,2.3,0.92,1.2,1.92,3.9,,,,
NVMI,Nova Ltd.,270.38,278.29,280.0,268.27,1.93,10.8,1.74,17.34,1.87,13.85,1.13,14.12,,,,
CHTR,"Charter Communications, Inc.",262.65,262.52,264.19,261.5,2.82,0.06,-0.52,-0.72,0.03,-0.87,3.85,-0.03,SENIOR_NORE,37.57,90.49,157.81
CHTR,"Charter Communications, Inc.",262.65,262.52,264.19,261.5,2.82,0.06,-0.52,-0.72,0.03,-0.87,3.85,-0.03,SENIOR_NORE_14,37.57,90.49,157.81
CHTR,"Charter Communications, Inc.",262.65,262.52,264.19,261.5,2.82,0.06,-0.52,-0.72,0.03,-0.87,3.85,-0.03,SENIOR_NORE_14,51.75,117.53,191.14
CHTR,"Charter Communications, Inc.",262.65,262.52,264.19,261.5,2.82,0.06,-0.52,-0.72,0.03,-0.87,3.85,-0.03,SENIOR_NORE,50.04,120.51,198.89
IBM,International Business Machines Corporation,256.12,257.14,257.69,254.88,3.01,6.32,0.41,6.48,0.21,6.68,3.18,6.98,SENIOR_NORE,11.76,23.98,37.92
