Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
NSE-All Share,142263,227,0.16%,1.14%,-0.25%,38.22%,45.09%,Sep/18
SAALL,105423,55,0.05%,1.44%,4.18%,25.36%,25.86%,Sep/18
SA40,98038,72,0.07%,1.56%,4.71%,30.06%,29.32%,Sep/18
EGX 30,35403,428,1.22%,1.33%,-1.93%,19.04%,14.43%,Sep/18
CFG 25,19799,213,1.09%,-0.38%,0.92%,34.02%,39.58%,Sep/18
Nairobi 20,2946,42,-1.42%,-2.76%,9.07%,46.50%,66.31%,Sep/18
Nairobi All Share,175,3,-1.45%,-2.13%,5.32%,41.74%,63.43%,Sep/18
DSEI,2502,10,0.39%,-1.54%,-4.96%,16.91%,18.86%,Sep/18
TUN,12362,18,0.15%,2.85%,4.70%,24.20%,26.59%,Sep/18
GGSECI,7673,44,0.58%,6.62%,3.47%,56.95%,75.10%,Sep/18
SEMDEX,2473,6,-0.23%,0.85%,0.68%,2.91%,7.88%,Sep/18
USE All Share,1440.22,1.01,-0.07%,0.51%,3.11%,20.54%,34.96%,Sep/17
NSX Overall,1908,7,0.35%,1.00%,5.62%,5.95%,3.78%,Sep/18
Gaborone,10611,1,-0.01%,-0.05%,0.54%,5.59%,9.94%,Sep/18
ZSI Industrials,207.38,0.78,-0.37%,-0.71%,2.54%,-4.60%,-20.52%,Sep/17
