Company,Price,Chg,%Chg,YoY
Intel INTC,30.57,5.67,22.77%,44.47%
Synopsys SNPS,480.11,54.71,12.86%,-6.62%
CrowdStrike Holdings CRWD,502.63,57.13,12.82%,81.17%
Coinbase Global COIN,343.13,22.57,7.04%,103.95%
Applied Materials AMAT,189.76,11.63,6.53%,-3.58%
KLA-Tencor KLAC,1046.17,56.30,5.69%,35.44%
Micron Technology MU,168.91,8.92,5.58%,89.17%
