Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Australia All Ordinaries,9031,64,-0.70%,-0.45%,-1.56%,7.25%,7.29%,Sep/18
ASX200,8745,73,-0.83%,-0.68%,-1.70%,7.18%,6.75%,Sep/18
AU50,8416,91,-1.07%,-1.10%,-2.51%,4.92%,4.01%,Sep/18
NZX 50,13097,132,-1.00%,-1.00%,1.30%,-0.11%,3.41%,Sep/18
