Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
United States,4.1080,0.0230,0.08%,-0.20%,-0.47%,0.39%,Sep/18
United Kingdom,4.6800,0.0513,0.07%,-0.07%,0.11%,0.79%,Sep/18
Japan,1.6000,0.0076,0.02%,0.00%,0.51%,0.75%,Sep/18
Australia,4.2350,0.0090,0.00%,-0.09%,-0.13%,0.30%,Sep/18
Germany,2.7262,0.0499,0.08%,-0.03%,0.36%,0.53%,Sep/18
Brazil,13.6100,0.0550,-0.22%,-0.47%,-1.58%,1.50%,Sep/18
Russia,14.2300,0.1500,0.42%,0.93%,-0.99%,-1.58%,Sep/18
India,6.5130,0.0360,0.02%,0.00%,-0.28%,-0.23%,Sep/18
Canada,3.1860,0.0050,0.02%,-0.27%,-0.05%,0.26%,Sep/18
Italy,3.5404,0.0422,0.06%,-0.04%,0.02%,-0.01%,Sep/18
France,3.5405,0.0536,0.10%,0.10%,0.35%,0.61%,Sep/18
South Africa,9.1800,0.0300,-0.20%,-0.47%,0.15%,0.33%,Sep/18
Switzerland,0.2330,0.0200,0.00%,-0.12%,-0.02%,-0.25%,Sep/18
Mexico,8.6240,0.0600,-0.11%,-0.36%,-1.79%,-0.52%,Sep/17
Netherlands,2.8905,0.0402,0.06%,-0.04%,0.30%,0.40%,Sep/18
New Zealand,4.2360,0.0480,-0.07%,-0.27%,-0.19%,0.04%,Sep/18
Portugal,3.1280,0.0290,0.05%,-0.03%,0.29%,0.35%,Sep/18
South Korea,2.7650,0.0250,-0.06%,-0.08%,-0.11%,-0.21%,Sep/18
Spain,3.2860,0.0500,0.05%,-0.04%,0.22%,0.29%,Sep/18
Greece,3.4020,0.0320,0.05%,-0.04%,0.20%,0.20%,Sep/18
Turkey,29.5900,0.3500,1.17%,2.50%,4.50%,4.95%,Sep/18
