Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
EURUSD,1.17883,0.0037,-0.31%,0.48%,1.27%,13.81%,5.65%,22:31
GBPUSD,1.35533,0.00761,-0.56%,-0.15%,0.51%,8.26%,2.05%,22:31
USDCHF,0.79284,0.00448,0.57%,-0.39%,-1.86%,-12.63%,-6.48%,Sep/18
USDRUB,83.2500,0.7500,-0.89%,-1.48%,3.06%,-26.65%,-9.68%,Sep/18
USDTRY,41.4042,0.1553,0.38%,0.20%,1.31%,17.17%,21.47%,22:31
USDSEK,9.35482,0.07193,0.77%,0.50%,-2.58%,-15.45%,-7.94%,Sep/18
USDPLN,3.61652,0.01931,0.54%,-0.24%,-0.77%,-12.45%,-5.56%,Sep/18
USDNOK,9.87732,0.06627,0.68%,0.24%,-3.95%,-13.24%,-5.94%,Sep/18
USDDKK,6.33321,0.02096,0.33%,-0.44%,-1.22%,-12.03%,-5.25%,Sep/18
USDCZK,20.6038,0.0437,0.21%,-0.72%,-1.89%,-15.30%,-8.35%,Sep/18
USDRON,4.30170,0.01330,0.31%,-0.47%,-0.98%,-10.48%,-3.46%,Sep/18
USDHUF,330.476,0.737,0.22%,-0.94%,-2.25%,-16.79%,-6.40%,Sep/18
USDUAH,41.2842,0.0342,0.08%,-0.40%,-0.40%,-1.82%,-0.52%,Sep/18
USDBYR,3.38920,0.00160,0.05%,0.09%,0.84%,3.77%,3.41%,Sep/18
USDRSD,99.372,0.207,0.21%,-0.46%,-1.23%,-12.06%,-5.25%,Sep/18
USDBAM,1.65900,0.00460,0.28%,-0.43%,-1.23%,-12.15%,-5.34%,Sep/18
USDISK,121.530,0.650,0.54%,-0.40%,-1.31%,-12.56%,-10.95%,Sep/18
USDALL,82.130,0.315,0.39%,-0.70%,-1.49%,-13.37%,-7.82%,Sep/18
USDMKD,52.3750,0.0200,-0.04%,-0.20%,-0.63%,-11.12%,-5.32%,Sep/17
USDMDL,16.4500,0.0800,0.49%,-0.38%,-1.20%,-10.02%,-5.86%,Sep/18
USDBGN,1.65970,0.00590,0.36%,-0.42%,-1.16%,-12.16%,-5.73%,Sep/18
