Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDJPY,147.909,1.034,0.70%,0.46%,0.12%,-6.00%,3.53%,22:31
USDCNY,7.10867,0.00828,0.12%,-0.11%,-1.14%,-3.16%,0.48%,22:31
USDINR,88.2180,0.3079,0.35%,-0.06%,1.32%,3.09%,5.51%,Sep/18
USDKRW,1387.75,7.05,0.51%,-0.14%,-0.40%,-6.12%,4.56%,Sep/18
USDIDR,16585.4,134.4,0.82%,1.00%,1.85%,1.96%,9.27%,Sep/18
USDSAR,3.75060,0.00105,-0.03%,-0.03%,-0.05%,-0.16%,-0.05%,Sep/18
USDTWD,30.1240,0.0215,0.07%,-0.59%,-0.04%,-8.17%,-5.70%,Sep/18
USDIRR,42062.5,12.5,0.03%,-0.12%,0.14%,0.15%,0.15%,Sep/18
USDAED,3.67310,0.00010,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/18
USDTHB,31.9300,0.1300,0.41%,0.63%,-2.00%,-6.99%,-3.65%,Sep/18
USDMYR,4.19600,0.00750,0.18%,-0.62%,-0.64%,-6.16%,-0.33%,Sep/18
USDSGD,1.28229,0.00471,0.37%,0.05%,-0.24%,-6.11%,-0.79%,Sep/18
USDILS,3.34006,0.00293,0.09%,0.47%,-1.54%,-8.18%,-10.85%,Sep/18
USDHKD,7.77689,0.00030,0.00%,-0.15%,-0.29%,0.13%,-0.22%,Sep/18
USDPHP,57.1970,0.4370,0.77%,0.12%,0.04%,-1.53%,2.97%,Sep/18
USDPKR,283.912,2.412,0.86%,0.82%,0.38%,1.99%,2.09%,Sep/18
USDIQD,1310.00,0.00,0.00%,0.00%,0.02%,0.08%,-0.14%,Sep/18
USDKZT,541.025,0.055,0.01%,0.24%,0.45%,3.13%,13.00%,Sep/18
USDQAR,3.64080,0.00420,-0.12%,-0.12%,-0.11%,-0.10%,-0.12%,Sep/18
USDVND,26385.0,10.0,0.04%,-0.07%,0.25%,3.55%,7.41%,Sep/18
USDBDT,121.7000,0.0500,-0.04%,0.00%,0.16%,2.27%,1.69%,Sep/18
USDOMR,0.38500,0.00023,0.06%,0.06%,0.06%,0.00%,0.01%,Sep/18
USDAZN,1.70000,0.00000,0.00%,0.00%,0.00%,0.30%,0.00%,Sep/18
USDLKR,302.220,0.480,0.16%,0.18%,0.16%,3.08%,-0.86%,Sep/18
USDSYP,13005.00,0.00,0.00%,0.00%,0.00%,0.00%,0.03%,Sep/17
USDMMK,2093.70,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/18
USDUZS,12350.0,95.7,0.78%,-0.92%,-1.40%,-4.26%,-3.02%,Sep/18
USDMOP,8.01500,0.00040,-0.01%,-0.15%,-0.27%,0.14%,-0.29%,Sep/18
USDTMT,3.50000,0.00050,0.01%,0.01%,0.01%,0.15%,0.00%,Sep/18
USDLBP,89550.00,0.00,0.00%,0.00%,0.00%,0.06%,-0.06%,Sep/18
USDYER,239.450,0.010,0.00%,-0.06%,-0.31%,-3.86%,-4.21%,Sep/18
USDBHD,0.37710,0.00007,0.02%,0.02%,0.03%,0.00%,0.08%,Sep/18
USDAFN,69.0000,1.7200,2.56%,1.23%,0.47%,-1.92%,0.04%,Sep/18
USDNPR,140.964,0.454,0.32%,-0.39%,1.32%,2.91%,5.18%,Sep/18
USDBND,1.28220,0.00460,0.36%,0.05%,-0.23%,-6.08%,-0.85%,Sep/18
USDKHR,4007.00,0.00,0.00%,0.05%,-0.03%,-0.25%,-1.09%,Sep/18
USDGEL,2.74000,0.01850,0.68%,1.54%,1.59%,-2.66%,0.37%,Sep/18
USDKPW,130.000,0.000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/17
USDMNT,3603.00,6.00,0.17%,0.00%,0.19%,5.35%,6.57%,Sep/18
USDLAK,21645.0,6.0,-0.03%,-0.14%,-0.10%,-0.27%,-1.99%,Sep/18
USDAMD,382.590,0.350,-0.09%,-0.04%,-0.10%,-3.28%,-1.52%,Sep/18
USDTJS,9.3797,0.0453,-0.48%,-1.37%,0.32%,-13.55%,-11.88%,Sep/18
USDKGS,87.4500,0.0000,0.00%,0.00%,0.00%,0.52%,3.77%,Sep/18
USDMVR,15.4600,0.0000,0.00%,0.00%,0.00%,0.26%,0.26%,Sep/18
USDKWD,0.30530,0.00016,0.05%,0.01%,-0.13%,-0.98%,0.13%,Sep/18
USDJOD,0.70900,0.00000,0.00%,0.00%,0.00%,-0.06%,0.03%,Sep/18
