Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
CRB Index Index Points,376.39,4.52,-1.19%,0.66%,2.91%,5.49%,13.31%,Sep/17
LME Index Index Points,4302.90,54.30,-1.25%,0.65%,3.10%,10.17%,5.23%,Sep/17
GSCI Index Points,549.62,3.40,-0.62%,0.69%,3.21%,0.00%,2.93%,Sep/18
SSE Consume Commodity Index Index Points,8892.42,62.00,-0.69%,-0.93%,5.50%,12.89%,32.97%,Sep/18
Containerized Freight Index Points,1398.11,0.00,0.00%,-3.21%,-4.25%,-43.17%,-44.32%,Sep/18
Nuclear Energy Index USD,45.95,1.15,2.57%,6.98%,24.32%,71.65%,76.26%,Sep/18
Solar Energy Index USD,42.80,0.20,-0.47%,2.27%,3.86%,27.04%,4.04%,Sep/18
EU Carbon Permits EUR,76.98,0.53,-0.68%,-0.16%,7.18%,5.45%,20.85%,Sep/17
Wind Energy Index USD,18.73,0.01,-0.05%,-0.11%,-1.00%,26.55%,5.28%,Sep/18
