Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Gold USD/t.oz,3641.37,18.63,-0.51%,0.28%,9.79%,38.77%,40.77%,22:29
Silver USD/t.oz,41.794,0.114,0.27%,0.68%,11.80%,44.75%,35.83%,22:29
Copper USD/Lbs,4.5413,0.0254,-0.56%,-1.49%,2.79%,14.11%,5.95%,Sep/18
Steel CNY/T,3077.00,18.00,-0.58%,1.82%,-1.19%,-7.04%,-1.94%,Sep/18
Lithium CNY/T,73450,300,0.41%,0.82%,-13.17%,-2.13%,1.31%,Sep/18
Iron Ore CNY CNY/T,805.50,0.50,0.06%,1.00%,5.57%,3.40%,16.23%,Sep/18
Platinum USD/t.oz,1394.60,22.90,1.67%,0.93%,6.92%,56.00%,41.60%,Sep/18
HRC Steel USD/T,799.05,13.95,-1.72%,-1.35%,-3.96%,12.70%,7.98%,Sep/18
Iron Ore USD/T,105.24,0.06,-0.06%,0.06%,3.61%,1.57%,14.35%,Sep/18
Silicon CNY/T,8890.00,55.00,-0.61%,1.89%,4.53%,-21.33%,-29.83%,Sep/18
Scrap Steel USD/T,338.50,0.50,0.15%,-0.73%,-2.45%,%,-5.84%,Sep/17
Titanium CNY/KG,49.00,0.00,0.00%,0.00%,0.00%,10.11%,11.36%,Sep/18
