Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6650.10,49.75,0.75%,0.95%,3.72%,13.06%,16.39%,22:30
US30,46258,240,0.52%,0.32%,2.97%,8.72%,10.07%,22:30
US100,24522,298,1.23%,2.21%,4.86%,16.70%,23.60%,22:30
Ecuador General,1317,2,-0.15%,-0.45%,1.21%,11.71%,15.13%,Sep/15
TSX,29456,134,0.46%,0.16%,5.87%,19.12%,23.42%,Sep/18
IBOVESPA,145499,95,-0.06%,1.64%,8.23%,20.96%,9.30%,Sep/18
IPC,61324,272,-0.44%,-0.37%,4.89%,23.77%,15.88%,Sep/18
Peru General,34938,101,0.29%,1.89%,5.80%,20.64%,21.64%,Aug/29
Merval,1700690,"82,829",-4.64%,-5.79%,-18.71%,-32.88%,-7.92%,Sep/18
IBC,972,0,-0.03%,-3.46%,43.64%,713.98%,902.09%,Sep/18
COLCAP,1823,11,-0.60%,-1.69%,-1.63%,32.16%,38.07%,Sep/18
IGPA,45323,256,-0.56%,0.51%,2.38%,34.55%,41.42%,Sep/17
BVPSI,530,2,0.38%,-0.08%,3.58%,13.69%,20.06%,Sep/18
BSX,2757,0,0.00%,0.00%,-7.30%,10.36%,7.21%,Sep/12
JSE,318729,606,-0.19%,0.65%,1.79%,-5.08%,3.82%,Sep/18
US1000,3633.43,19.77,0.55%,0.67%,3.67%,12.80%,16.43%,Sep/18
