Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
GB100,9228,20,0.21%,-0.75%,0.42%,12.91%,10.80%,Sep/18
DE40,23675,315,1.35%,-0.12%,-3.06%,18.91%,24.59%,Sep/18
FR40,7855,68,0.87%,0.40%,-1.56%,6.42%,3.14%,Sep/18
IT40,42308,353,0.84%,-0.29%,-1.66%,23.76%,24.27%,Sep/18
ES35,15175,48,0.32%,-0.95%,-0.84%,30.88%,28.84%,Sep/18
MOEX,2796,18,-0.65%,-3.86%,-5.73%,-3.03%,1.34%,Sep/18
NL25,933,18,2.02%,3.04%,3.48%,6.22%,2.74%,Sep/18
BIST 100,11116,50,-0.45%,7.06%,1.41%,13.08%,11.43%,Sep/18
CH20,12049,50,0.42%,-1.98%,-1.34%,3.86%,-0.08%,Sep/18
Stockholm,2635,19,0.72%,-0.04%,-0.94%,6.11%,1.62%,Sep/18
WIG,105565,52,-0.05%,-1.42%,-5.09%,32.66%,26.88%,Sep/18
BE20,4698,12,-0.26%,-2.08%,-2.03%,10.17%,10.47%,Sep/18
Oslo,1900,3,0.18%,0.19%,1.00%,15.53%,17.18%,Sep/18
ATX,4636,58,1.26%,-0.20%,-4.39%,26.56%,26.94%,Sep/18
Copenhagen,1637,47,2.96%,6.22%,3.94%,-22.16%,-40.04%,Sep/18
Helsinki,11012,39,-0.35%,-0.78%,1.08%,16.23%,9.41%,Sep/18
Helsinki 25,5014,15,-0.30%,-0.93%,1.23%,16.18%,8.94%,Sep/18
ISEQ,11213,63,-0.56%,-2.03%,-5.53%,14.92%,12.50%,Sep/18
Athens General,2027,8,0.39%,-0.65%,-3.29%,37.92%,41.91%,Sep/18
PSI Geral,5082,3,0.05%,-0.35%,-2.48%,22.56%,9.88%,Sep/18
PSI,7726,4,-0.05%,-0.37%,-2.97%,21.15%,14.97%,Sep/18
PX,2272,3,-0.15%,-0.97%,-1.98%,29.06%,43.41%,Sep/18
BET,20869,174,0.84%,1.16%,0.63%,24.81%,19.39%,Sep/17
BUX,99635,287,0.29%,-2.59%,-6.48%,25.60%,36.33%,Sep/18
PFTS,463,0,0.00%,0.00%,0.00%,-7.87%,-8.65%,Sep/18
SAX,269,1,0.25%,0.19%,-2.27%,-8.72%,-7.81%,Sep/18
LuxX,1630,4,-0.25%,1.01%,0.66%,25.02%,16.24%,Sep/18
CROBEX,3823,6,-0.16%,-0.03%,3.15%,19.79%,29.27%,Sep/18
SOFIX,1069,3,0.31%,-1.02%,0.67%,19.72%,25.01%,Sep/18
SBITOP,2475,13,-0.50%,-1.83%,0.76%,48.24%,53.45%,Sep/18
Vilnius,1227,1,-0.04%,-0.13%,0.71%,15.18%,22.28%,Sep/18
BELEX 15,1220,0,0.00%,-0.49%,0.28%,6.36%,9.11%,Sep/18
EU600,555.02,4.39,0.80%,-0.06%,-0.50%,9.34%,6.39%,Sep/18
EU100,1633,19,1.16%,1.24%,0.68%,12.35%,9.46%,Sep/18
EU50,5459,90,1.67%,1.35%,-0.44%,11.51%,10.44%,Sep/18
EU350,2231.67,0.36,-0.02%,-0.32%,-0.43%,8.24%,6.91%,Sep/17
SASX-10,1479,2,0.15%,0.25%,0.74%,20.10%,30.05%,Sep/18
CSE General,289,2,-0.66%,-1.04%,-0.81%,33.96%,57.91%,Sep/18
Tallinn,1957,4,-0.23%,-1.60%,-3.45%,12.91%,15.43%,Sep/18
Riga,909,2,-0.17%,-0.83%,-0.79%,4.60%,3.62%,Sep/18
ICEX,2105,0,0.01%,-0.87%,0.22%,-11.88%,4.28%,Sep/18
MBI 10,10441,23,-0.22%,-0.21%,-0.38%,2.36%,19.62%,Sep/18
MSE,3800,20,0.52%,0.11%,-2.32%,0.89%,0.12%,Sep/17
Monex,18236.43,112.30,0.62%,-0.67%,4.08%,10.97%,17.94%,Sep/18
DE Mid,30464.32,246.94,0.82%,1.05%,-1.68%,19.05%,15.98%,Sep/18
DE Small,16938.85,236.84,1.42%,2.44%,-1.24%,23.54%,21.60%,Sep/18
Euro Stoxx Banks,230.71,1.92,0.84%,-0.78%,-2.27%,57.98%,57.85%,Sep/18
