Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitumen CNY/T,3437.00,12.00,-0.35%,0.35%,-0.52%,-6.83%,6.71%,Sep/18
Cobalt USD/T,33335,0,0.00%,0.00%,0.00%,37.18%,37.18%,Sep/17
Lead USD/T,2008.38,5.00,-0.25%,0.67%,1.74%,2.89%,-3.19%,Sep/18
Aluminum USD/T,2696.50,12.45,0.46%,0.66%,5.12%,5.68%,6.18%,Sep/18
Tin USD/T,34345,536,-1.54%,-0.75%,1.91%,18.09%,8.71%,Sep/17
Zinc USD/T,2912.35,27.60,-0.94%,0.38%,5.17%,-2.22%,-0.59%,Sep/18
Nickel USD/T,15335,110,-0.71%,0.76%,1.83%,0.23%,-6.11%,Sep/18
Molybdenum CNY/Kg,512.50,0.00,0.00%,-1.44%,2.49%,9.28%,6.77%,Sep/18
Palladium USD/t.oz,1160.50,4.00,-0.34%,-3.85%,5.79%,30.54%,8.61%,Sep/18
Rhodium USD/t oz.,7025,25,-0.35%,-1.40%,-7.26%,53.55%,47.89%,Sep/18
Phosphorus CNY/T,1025.00,0.00,0.00%,0.00%,0.00%,-4.63%,-8.05%,Sep/18
Polyethylene CNY/T,7159.00,36.00,-0.50%,-0.49%,-1.72%,-16.00%,-10.52%,Sep/18
Polyvinyl CNY/T,4848.00,4.00,-0.08%,1.91%,-0.66%,-1.58%,-4.77%,Sep/18
Polypropylene CNY/T,6886.00,30.00,-0.43%,0.50%,-1.66%,-6.67%,-6.79%,Sep/18
Synthetic Rubber CNY/T,12166.67,83.33,-0.68%,-0.88%,-0.68%,-18.39%,-24.86%,Sep/18
Soda Ash CNY/T,1188.00,0.00,0.00%,0.17%,-2.94%,-22.25%,-30.36%,Sep/18
Neodymium CNY/T,785000,0,0.00%,0.00%,6.78%,57.95%,50.24%,Sep/18
Sulfur CNY/T,2644.33,0.00,0.00%,-0.38%,1.54%,55.76%,90.10%,Sep/18
Tellurium CNY/Kg,585.00,0.00,0.00%,0.00%,-3.29%,-9.30%,-20.41%,Sep/18
Urea USD/T,392.50,5.00,-1.26%,0.00%,-10.90%,16.30%,24.80%,Sep/18
Di-ammonium USD/T,762.50,2.50,0.33%,0.00%,-4.69%,32.03%,37.64%,Sep/18
Magnesium CNY/T,17750,100,0.57%,-0.56%,-3.01%,4.41%,-5.59%,Sep/18
Gallium CNY/Kg,1665.00,0.00,0.00%,3.74%,3.74%,-19.76%,-35.34%,Sep/18
Germanium CNY/Kg,14250,150,-1.04%,-1.04%,-1.71%,-18.80%,-21.05%,Sep/18
Manganese CNY/mtu,29.85,0.00,0.00%,0.67%,0.37%,3.83%,-2.93%,Sep/18
Indium CNY/Kg,2525,0,0.00%,0.00%,-3.81%,-0.79%,-14.55%,Sep/18
Kraft Pulp CNY/T,4974.00,56.00,-1.11%,0.53%,-3.75%,-15.18%,-11.49%,Sep/18
