Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitcoin,117304,861,0.74%,1.55%,4.01%,25.73%,86.23%,22:32
BTCETH,25.5051,0.1501,0.59%,-1.50%,-7.89%,-8.96%,-0.05%,Sep/18
BTCEUR,99698.8,"1,229.4",1.25%,1.25%,2.90%,10.68%,76.60%,Sep/18
BTCGBP,86689.0,"1,253.9",1.47%,1.85%,3.64%,16.31%,82.75%,Sep/18
BTCAUD,177722.3,"2,667.4",1.52%,2.53%,1.68%,17.89%,92.08%,Sep/18
BTCCAD,162092.4,"1,739.9",1.09%,1.41%,3.63%,20.82%,89.70%,Sep/18
BTCCNY,835226,"8,435",1.02%,1.63%,3.02%,21.99%,87.47%,Sep/18
BTCJPY,17387350,"284,784",1.67%,2.22%,4.34%,18.42%,93.18%,Sep/18
BTCNZD,199785.8,"3,548.9",1.81%,3.36%,4.45%,19.75%,97.77%,Sep/18
BTCCHF,93153.9,"1,354.9",1.48%,1.30%,2.23%,10.02%,74.41%,Sep/18
BTCMXN,2157847,"26,067",1.22%,1.14%,1.64%,10.91%,77.63%,Sep/18
BTCINR,10373025,"136,503",1.33%,1.72%,5.62%,29.90%,96.92%,Sep/18
BTCBRL,624210,"6,504",1.05%,0.24%,0.51%,8.17%,82.62%,Sep/18
BTCRUB,9776578,"4,634",-0.05%,0.14%,7.31%,-7.68%,68.36%,Sep/18
BTCKRW,163119270,"2,346,420",1.46%,1.60%,3.80%,18.26%,95.09%,Sep/18
BTCIDR,1950153572,"34,549,779",1.80%,2.79%,6.17%,28.48%,103.94%,Sep/18
BTCTRY,4861878,"58,733",1.22%,1.85%,5.47%,47.46%,126.42%,Sep/18
BTCSAR,441209,"4,355",1.00%,1.79%,4.24%,25.87%,86.63%,Sep/18
BTCSEK,1100910,"19,983",1.85%,2.37%,1.64%,6.64%,71.97%,Sep/18
BTCNGN,175712986,"1,483,983",0.85%,1.03%,1.52%,21.96%,70.04%,Sep/18
BTCPLN,425131,"6,261",1.49%,1.50%,3.41%,10.30%,76.22%,Sep/18
BTCARS,173265511,"1,659,077",0.97%,4.65%,18.94%,80.11%,185.67%,Sep/18
BTCNOK,1162613,"20,184",1.77%,2.12%,0.23%,9.44%,75.73%,Sep/18
BTCTWD,3542376,"37,150",1.06%,1.18%,4.21%,15.73%,76.03%,Sep/18
BTCIRR,4896428150,"23,785,788",-0.48%,1.98%,0.26%,24.94%,90.37%,Sep/17
