Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDCAD,1.37958,0.00249,0.18%,-0.28%,-0.51%,-4.05%,1.71%,Sep/18
USDMXN,18.3796,0.0721,0.39%,-0.47%,-2.35%,-11.85%,-4.68%,Sep/18
USDBRL,5.30550,0.00070,0.01%,-1.57%,-3.64%,-14.21%,-2.21%,Sep/18
DXY,97.350,0.477,0.49%,-0.18%,-0.93%,-10.27%,-3.30%,22:31
USDARS,1474.031,0.294,0.02%,2.85%,14.13%,42.97%,53.10%,22:31
USDCOP,3894.50,20.49,0.53%,-0.01%,-3.46%,-11.60%,-6.49%,Sep/18
USDCLP,956.910,4.770,0.50%,0.51%,-0.70%,-3.77%,2.78%,Sep/18
USDPEN,3.48400,0.00790,0.23%,-0.13%,-0.50%,-7.19%,-6.97%,Sep/18
USDCUC,24.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/17
USDDOP,62.2500,0.4100,0.66%,-1.81%,0.61%,2.23%,3.41%,Sep/18
USDGTQ,7.66000,0.00000,0.00%,-0.08%,-0.07%,-0.58%,-1.05%,Sep/18
USDURY,40.0134,0.0234,0.06%,-0.10%,-0.38%,-8.35%,-2.74%,Sep/18
USDCRC,504.440,0.620,0.12%,0.13%,-0.18%,-0.44%,-2.76%,Sep/18
USDPAB,0.99990,0.00010,-0.01%,-0.01%,-0.01%,-0.01%,-0.16%,Sep/18
USDBOB,6.91320,0.02180,-0.31%,-0.31%,-0.31%,-0.31%,-0.10%,Sep/18
USDPYG,7123.69,3.19,0.04%,-0.31%,-1.42%,-8.81%,-8.88%,Sep/18
USDSVC,8.75420,0.00060,-0.01%,-0.01%,0.00%,0.05%,-0.10%,Sep/18
USDTTD,6.78730,0.00370,0.05%,-0.18%,0.03%,0.31%,-0.28%,Sep/18
USDHNL,26.2092,0.0017,0.01%,0.04%,0.03%,3.53%,5.05%,Sep/18
USDJMD,160.535,0.075,0.05%,0.02%,0.20%,3.77%,2.03%,Sep/18
USDNIO,36.7200,0.0800,-0.22%,-0.22%,-0.22%,0.33%,-0.14%,Sep/18
USDHTG,130.910,0.053,-0.04%,0.05%,0.05%,0.55%,-0.81%,Sep/18
USDBSD,1.00050,0.00050,0.05%,0.05%,0.05%,0.05%,-0.10%,Sep/18
USDSRD,39.0219,0.3155,-0.80%,0.58%,3.40%,10.09%,30.95%,Sep/17
USDGYD,208.800,0.500,-0.24%,-0.24%,-0.05%,-0.19%,-0.19%,Sep/18
USDKYD,0.83125,0.00000,0.00%,0.00%,0.00%,0.00%,0.15%,Sep/17
USDVES,163.44280,1.75721,1.09%,2.97%,18.47%,214.94%,344.68%,Sep/18
