Company,Price,Chg,%Chg,YoY
FactSet Research Systems FDS,301.23,34.81,-10.36%,-35.76%
Darden Restaurants DRI,192.74,16.05,-7.69%,11.94%
S&P Global SPGI,507.01,37.09,-6.82%,-2.43%
Nucor NUE,134.30,8.50,-5.95%,-9.95%
Moody's MCO,482.32,29.45,-5.75%,-1.49%
NASDAQ NDAQ,88.87,4.23,-4.54%,19.63%
Msci MSCI,555.98,22.66,-3.92%,0.21%
