Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d,IV_mid_binomial
ZS,ZS261218P00120000,Put,2026-12-18,120.0,0.3998469542343906,2.87,6.0,16.0,462.0,262.63,308.41,285.52,0.5937053841277176,2026-12-18,1.2539356605065024,300.11482825915414,-0.9166734195037496,,,0.5937053841277176,,,1.9175672934578847,0.5379042316757261,0.3628149508671627,,,0.3096138457060918,0.5937053841277176
ZS,ZS260515P00210000,Put,2026-05-15,210.0,0.7140231733531749,7.45,9.45,8.0,7.0,262.63,308.41,285.52,0.45047737157248036,2026-05-15,0.6598220396988365,294.10810158135916,-0.3368398614925112,,,0.45047737157248036,,,1.4549652020410824,0.4514761071397513,0.13449197194155638,,,0.3096138457060918,0.45047737157248036
ZS,ZS250926P00235000,Put,2025-09-26,235.0,0.8218932391459693,0.1,0.15,13.0,33.0,262.63,308.41,285.52,0.5466577222746879,2025-09-26,0.02737850787132101,285.9252136496328,-0.19614477174548028,,,0.5466577222746879,,,1.765611357037358,0.37797836098162985,0.003911502843815449,,,0.3096138457060918,0.5466577222746879
ZS,ZS260116P00160000,Put,2026-01-16,160.0,0.5512245615392078,0.5,1.1,5.0,821.0,262.63,308.41,285.52,0.5512617245165147,2026-01-16,0.33401779603011633,290.2628278268755,-0.5956130001535309,,,0.5512617245165147,,,1.7804815003002572,0.5096494833100043,0.08675864939700156,,,0.3096138457060918,0.5512617245165147
ZS,ZS250926P00265000,Put,2025-09-26,265.0,0.9268157803135398,0.77,1.17,9.0,40.0,262.63,308.41,285.52,0.382043361505524,2025-09-26,0.02737850787132101,285.9252136496328,-0.0760004599034171,,,0.382043361505524,,,1.2339350025973568,0.3818408303693823,0.003991852696432017,,,0.3096138457060918,0.382043361505524
ZS,ZS260320P00135000,Put,2026-03-20,135.0,0.4617633494298089,1.27,2.1,20.0,90.0,262.63,308.41,285.52,0.646676066374366,2026-03-20,0.5065023956194388,292.35754671023517,-0.7727027498067548,,,0.646676066374366,,,2.0886535771666956,0.5620656347513384,0.1600131112584767,,,0.3096138457060918,0.646676066374366
ZS,ZS251010C00315000,Call,2025-10-10,315.0,1.099501465120445,1.62,2.21,4.0,17.0,262.63,308.41,285.52,0.34493044295594466,2025-10-10,0.06570841889117043,286.4934790837166,0.09485686354516536,,,0.34493044295594466,,,1.1140665953401128,7.368738320925407,3.5678557333732788,,,0.3096138457060918,0.34493044295594466
ZS,ZS251017C00340000,Call,2025-10-17,340.0,1.1855851737781102,0.49,0.86,7.0,176.0,262.63,308.41,285.52,0.35562094619750617,2025-10-17,0.08487337440109514,286.7782151125594,0.17023647023361138,,,0.35562094619750617,,,1.1485951004112642,4.442645820462953,1.6751544379695698,,,0.3096138457060918,0.35562094619750617
ZS,ZS270115P00150000,Put,2027-01-15,150.0,0.4985164752529681,3.8,6.65,1.0,197.0,262.63,308.41,285.52,0.47520149256121846,2027-01-15,1.3305954825462012,300.8927637223699,-0.696118640471471,,,0.47520149256121846,,,1.5348199027646672,0.49777253083423206,0.3296916121347423,,,0.3096138457060918,0.47520149256121846
ZS,ZS260220P00180000,Put,2026-02-20,180.0,0.6175901422412499,1.4,2.05,,40.0,262.63,308.41,285.52,0.4695073981108919,2026-02-20,0.42984257357973993,291.45542923786894,-0.48193024179589505,,,0.4695073981108919,,,1.5164289472912746,0.47943857232143045,0.09880419194209174,,,0.3096138457060918,0.4695073981108919
