Ticker,Company Name,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Debt Class,Spread 1Y,Spread 3Y,Spread 5Y
BKNG,Booking Holdings Inc.,,5444.44,,,,,,,,,,,,,,
AXON,"Axon Enterprise, Inc.",,774.53,,,,,,,,,,,,,,
SPOT,Spotify Technology S.A.,,734.92,,,,,,,,,,,,,,
TYL,"Tyler Technologies, Inc.",,534.32,,,,,,,,,,,,,,
HUBS,"HubSpot, Inc.",,518.84,,,,,,,,,,,,,,
MSFT,Microsoft Corporation,,517.93,,,,,,,,,,,SENIOR_NORE_14,8.18,12.06,20.76
CYBR,CyberArk Software Ltd.,,490.64,,,,,,,,,,,,,,
ALNY,"Alnylam Pharmaceuticals, Inc.",,453.56,,,,,,,,,,,,,,
TSLA,"Tesla, Inc.",,442.79,,,,,,,,,,,SENIOR_NORE_14,24.5,45.62,70.22
CMI,Cummins Inc.,,423.64,,,,,,,,,,,SENIOR_NORE_14,12.35,26.32,48.9
CMI,Cummins Inc.,,423.64,,,,,,,,,,,SENIOR_NORE,12.35,26.32,48.9
AVGO,Broadcom Inc.,,344.94,,,,,,,,,,,SENIOR_NORE,19.03,49.96,97.77
AVGO,Broadcom Inc.,,344.94,,,,,,,,,,,SENIOR_NORE_14,19.02,49.92,97.76
AVGO,Broadcom Inc.,,344.94,,,,,,,,,,,SENIOR_NORE_14,10.1,20.55,33.77
V,Visa Inc.,,341.61,,,,,,,,,,,,,,
IDCC,"InterDigital, Inc.",,334.81,,,,,,,,,,,,,,
PODD,Insulet Corporation,,330.84,,,,,,,,,,,,,,
RCL,Royal Caribbean Cruises Ltd.,,328.6,,,,,,,,,,,SENIOR_NORE,60.0,103.58,152.63
RCL,Royal Caribbean Cruises Ltd.,,328.6,,,,,,,,,,,SENIOR_NORE_14,24.49,50.22,72.76
MDB,"MongoDB, Inc.",,323.43,,,,,,,,,,,,,,
MSTR,MicroStrategy Incorporated,,323.31,,,,,,,,,,,,,,
COIN,"Coinbase Global, Inc.",,321.77,,,,,,,,,,,,,,
JPM,JPMorgan Chase & Co.,,314.78,,,,,,,,,,,SENIOR_NORE,20.22,28.94,38.68
JPM,JPMorgan Chase & Co.,,314.78,,,,,,,,,,,SENIOR_NORE_14,20.22,28.94,38.68
NVMI,Nova Ltd.,,309.59,,,,,,,,,,,,,,
ZS,"Zscaler, Inc.",,294.27,,,,,,,,,,,,,,
IBM,International Business Machines Corporation,,266.4,,,,,,,,,,,SENIOR_NORE,11.76,23.98,37.92
IBM,International Business Machines Corporation,,266.4,,,,,,,,,,,SENIOR_NORE_14,11.05,22.42,36.28
BURL,"Burlington Stores, Inc.",,263.11,,,,,,,,,,,,,,
CHTR,"Charter Communications, Inc.",,262.55,,,,,,,,,,,SENIOR_NORE_14,37.57,90.49,157.81
CHTR,"Charter Communications, Inc.",,262.55,,,,,,,,,,,SENIOR_NORE_14,51.75,117.53,191.14
CHTR,"Charter Communications, Inc.",,262.55,,,,,,,,,,,SENIOR_NORE,50.04,120.51,198.89
CHTR,"Charter Communications, Inc.",,262.55,,,,,,,,,,,SENIOR_NORE,37.57,90.49,157.81
TTWO,"Take-Two Interactive Software, Inc.",,250.85,,,,,,,,,,,SENIOR_NORE_14,17.0,45.17,75.22
GWRE,"Guidewire Software, Inc.",,244.77,,,,,,,,,,,,,,
NET,"Cloudflare, Inc.",,225.94,,,,,,,,,,,,,,
RH,RH,,224.7,,,,,,,,,,,,,,
ABBV,AbbVie Inc.,,222.47,,,,,,,,,,,SENIOR_NORE_14,10.56,28.2,47.14
EXPE,"Expedia Group, Inc.",,222.43,,,,,,,,,,,SENIOR_NORE,11.21,31.44,57.43
EXPE,"Expedia Group, Inc.",,222.43,,,,,,,,,,,SENIOR_NORE_14,10.3,29.96,55.34
STX,Seagate Technology Holdings plc,,221.23,,,,,,,,,,,SENIOR_NORE_14,21.0,67.2,135.5
