Company,Price,Chg,%Chg,YoY
Electronic Arts EA EA,193.35,25.03,14.87%,33.66%
PACCAR PCAR,100.54,4.97,5.20%,2.46%
CDW CDW,164.37,7.40,4.71%,-27.48%
AppLovin APP,669.77,29.86,4.67%,424.28%
Lamb Weston Holdings LW,55.22,2.39,4.52%,-17.32%
Take Two Interactive Software TTWO,256.12,11.01,4.49%,67.30%
Intel INTC,35.50,1.51,4.44%,48.29%
