Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
GB100,9285,71,0.77%,0.74%,0.32%,13.60%,11.59%,Sep/26
DE40,23739,205,0.87%,0.42%,-1.28%,19.24%,21.91%,Sep/26
FR40,7871,75,0.97%,0.22%,1.64%,6.64%,1.01%,Sep/26
IT40,42642,424,1.00%,0.78%,0.69%,24.73%,22.79%,Sep/26
ES35,15350,197,1.30%,0.59%,2.19%,32.39%,28.26%,Sep/26
MOEX,2725,17,0.61%,-0.83%,-6.40%,-5.47%,-4.66%,Sep/26
NL25,938,4,0.43%,0.90%,3.38%,6.80%,2.28%,Sep/26
BIST 100,11184,194,-1.70%,-0.98%,-1.54%,13.77%,14.38%,Sep/26
CH20,11930,54,0.45%,-1.49%,-2.27%,2.84%,-2.49%,Sep/26
Stockholm,2645,21,0.80%,-0.07%,-0.04%,6.50%,0.20%,Sep/26
WIG,106571,"1,009",0.96%,1.13%,-0.27%,33.92%,25.46%,Sep/26
BE20,4670,28,0.61%,-0.82%,-3.44%,9.52%,8.16%,Sep/26
Oslo,1923,9,0.45%,1.41%,1.39%,16.92%,18.65%,Sep/26
ATX,4654,24,0.52%,0.55%,0.03%,27.06%,27.59%,Sep/26
Copenhagen,1530,27,-1.75%,-5.50%,-2.78%,-27.21%,-39.10%,Sep/26
Helsinki,10997,70,0.64%,0.00%,0.93%,16.07%,6.28%,Sep/26
Helsinki 25,4993,25,0.50%,-0.19%,0.62%,15.68%,5.24%,Sep/26
ISEQ,11493,45,0.39%,2.83%,1.41%,17.79%,13.71%,Sep/26
Athens General,2032,3,-0.17%,0.07%,-1.83%,38.25%,38.34%,Sep/26
PSI Geral,5252,27,0.52%,3.74%,2.35%,26.66%,11.02%,Sep/26
PSI,7953,39,0.49%,3.23%,1.75%,24.71%,16.81%,Sep/26
PX,2331,27,1.16%,1.60%,1.92%,32.42%,44.78%,Sep/26
BET,21058,293,1.41%,0.75%,2.07%,25.94%,19.76%,Sep/25
BUX,99208,"1,193",1.22%,-0.89%,-4.82%,25.06%,33.15%,Sep/26
PFTS,463,0,0.00%,0.00%,0.00%,-7.87%,-8.65%,Sep/26
SAX,269,0,0.10%,-0.54%,-2.27%,-8.72%,-11.68%,Sep/26
LuxX,1644,21,1.32%,0.54%,2.22%,26.10%,15.07%,Sep/26
CROBEX,3797,8,0.21%,-1.17%,3.15%,18.98%,28.54%,Sep/26
SOFIX,1067,0,0.00%,0.14%,-0.11%,19.52%,24.68%,Sep/26
SBITOP,2484,0,0.00%,0.02%,2.85%,48.80%,55.30%,Sep/26
Vilnius,1235,1,-0.04%,0.24%,1.12%,15.92%,22.23%,Sep/26
BELEX 15,1220,7,-0.58%,-0.60%,1.25%,6.43%,8.32%,Sep/26
EU600,554.52,4.30,0.78%,0.07%,-0.04%,9.24%,5.01%,Sep/26
EU100,1651,15,0.91%,1.08%,3.17%,13.55%,9.65%,Sep/26
EU50,5498,53,0.97%,0.72%,1.94%,12.29%,8.49%,Sep/26
EU350,2232.96,13.10,-0.58%,-0.73%,-0.48%,8.30%,4.66%,Sep/25
SASX-10,1473,2,-0.13%,-0.56%,-0.21%,19.62%,31.39%,Sep/26
CSE General,288,0,0.16%,-0.48%,-3.02%,33.70%,50.74%,Sep/26
Tallinn,1925,15,-0.78%,-1.80%,-4.62%,11.10%,14.32%,Sep/26
Riga,904,9,-1.00%,-1.13%,-1.63%,3.94%,3.61%,Sep/26
ICEX,2101,4,0.19%,0.19%,1.96%,-12.03%,-0.40%,Sep/26
MBI 10,10407,2,-0.02%,-0.43%,0.23%,2.02%,18.73%,Sep/26
MSE,3790,3,-0.09%,0.00%,-1.93%,0.62%,0.52%,Sep/26
Monex,17899.53,26.66,-0.15%,-0.45%,-0.39%,8.92%,13.71%,Sep/26
DE Mid,29986.85,47.74,-0.16%,-0.69%,-1.63%,17.19%,10.20%,Sep/26
DE Small,16775.08,27.07,-0.16%,-0.99%,-1.03%,22.34%,18.05%,Sep/26
Euro Stoxx Banks,234.99,3.18,1.37%,0.86%,4.58%,60.91%,59.52%,Sep/26
