Company,Price,Chg,%Chg,YoY
Costco Wholesale COST,915.95,27.36,-2.90%,3.37%
Oracle ORCL,283.46,7.87,-2.70%,68.00%
eBay EBAY,91.14,1.97,-2.12%,42.40%
Fair Isaac FICO,1518.78,29.58,-1.91%,-21.03%
Dexcom DXCM,67.10,1.20,-1.76%,-0.23%
Insulet PODD,318.00,5.58,-1.72%,37.05%
CarMax KMX,44.86,0.74,-1.62%,-42.06%
