Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitcoin,109538,530,0.49%,-5.26%,-1.48%,17.46%,66.79%,22:32
BTCETH,27.8907,0.2946,-1.05%,7.77%,12.74%,-0.45%,14.53%,Sep/26
BTCEUR,93396.2,79.0,-0.08%,-5.19%,-2.22%,3.68%,58.66%,Sep/26
BTCGBP,81554.3,188.4,-0.23%,-5.07%,-1.01%,9.42%,65.96%,Sep/26
BTCAUD,167179.7,452.3,0.27%,-4.80%,-2.14%,10.89%,75.59%,Sep/26
BTCCAD,152235.3,265.1,0.17%,-4.44%,-0.71%,13.47%,71.46%,Sep/26
BTCCNY,780428,"1,702",0.22%,-5.20%,-1.88%,13.99%,70.14%,Sep/26
BTCJPY,16327059,"10,733",-0.07%,-4.58%,-0.39%,11.20%,74.73%,Sep/26
BTCNZD,189850.9,738.8,0.39%,-3.96%,0.01%,13.80%,83.18%,Sep/26
BTCCHF,87119.6,96.6,-0.11%,-5.26%,-2.30%,2.89%,57.75%,Sep/26
BTCMXN,2004909,"9,933",-0.49%,-5.34%,-3.38%,3.05%,54.90%,Sep/26
BTCINR,9690472,"14,121",0.15%,-4.93%,-0.64%,21.35%,76.14%,Sep/26
BTCBRL,584047,705,-0.12%,-5.21%,-3.10%,1.21%,63.57%,Sep/26
BTCRUB,9139714,"11,508",-0.13%,-5.39%,2.25%,-13.70%,47.45%,Sep/26
BTCKRW,154038443,"430,910",0.28%,-4.71%,-0.62%,11.67%,78.90%,Sep/26
BTCIDR,1822670765,"5,066,371",-0.28%,-5.34%,0.22%,20.08%,83.39%,Sep/26
BTCTRY,4541902,"21,776",0.48%,-5.05%,-0.48%,37.75%,102.31%,Sep/26
BTCSAR,409862,"1,033",0.25%,-5.54%,-1.82%,16.93%,66.27%,Sep/26
BTCSEK,1027469,"4,094",-0.40%,-5.05%,-3.07%,-0.47%,55.01%,Sep/26
BTCNGN,162362453,"169,565",-0.10%,-6.11%,-5.12%,12.69%,48.09%,Sep/26
BTCPLN,398125,899,-0.23%,-4.98%,-2.29%,3.29%,58.25%,Sep/26
BTCARS,145265612,"756,298",-0.52%,-14.88%,-3.35%,51.00%,128.78%,Sep/26
BTCNOK,1088984,"4,539",-0.42%,-5.24%,-2.81%,2.51%,57.91%,Sep/26
BTCTWD,3328839,847,0.03%,-4.82%,-2.08%,8.75%,60.36%,Sep/26
BTCIRR,4583786400,"188,528,438",-3.95%,-6.95%,-2.47%,16.96%,67.67%,Sep/25
