Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6648.92,44.20,0.67%,-0.23%,2.58%,13.05%,15.87%,Sep/26
US30,46264,316,0.69%,-0.11%,1.53%,8.74%,9.34%,Sep/26
US100,24505,108,0.44%,-0.49%,3.99%,16.63%,22.47%,Sep/26
Ecuador General,1330,5,0.36%,0.98%,1.19%,12.80%,16.74%,Sep/22
TSX,29761,29,0.10%,-0.02%,4.67%,20.35%,24.23%,Sep/26
IBOVESPA,145447,141,0.10%,-0.29%,4.48%,20.92%,9.58%,Sep/26
IPC,62307,362,0.58%,1.81%,6.24%,25.75%,18.05%,Sep/26
Peru General,34938,101,0.29%,1.89%,5.80%,20.64%,21.64%,Aug/29
Merval,1791255,"23,407",1.32%,6.37%,-9.26%,-29.30%,3.67%,Sep/26
IBC,1083,30,2.89%,11.90%,31.90%,806.92%,"1,071.76%",Sep/26
COLCAP,1863,12,-0.65%,0.29%,1.06%,35.07%,41.08%,Sep/26
IGPA,45401,90,-0.20%,-0.93%,1.80%,34.79%,38.37%,Sep/26
BVPSI,532,0,0.00%,0.22%,3.63%,14.15%,20.55%,Sep/26
BSX,2757,0,0.00%,0.00%,-7.30%,10.36%,7.21%,Sep/12
JSE,320385,"4,299",1.36%,0.52%,1.48%,-4.59%,2.36%,Sep/26
US1000,3634.33,22.41,0.62%,-0.41%,2.45%,12.83%,16.00%,Sep/26
