Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Ether,4034.22,166.68,4.31%,-9.69%,-10.22%,21.22%,49.63%,22:33
ETHBTC,0.0357316,0.0002522,0.71%,-7.53%,-11.60%,0.11%,-12.98%,Sep/26
ETHEUR,3425.88,109.44,3.30%,-10.00%,-11.27%,6.55%,41.73%,Sep/26
ETHGBP,2991.51,91.32,3.15%,-9.88%,-10.17%,12.44%,48.25%,Sep/26
ETHAUD,6132.34,216.96,3.67%,-9.63%,-11.19%,13.96%,56.86%,Sep/26
ETHCAD,5584.17,192.35,3.57%,-9.29%,-9.89%,16.61%,53.17%,Sep/26
ETHCNY,28627.0,998.3,3.61%,-10.01%,-10.96%,17.14%,51.98%,Sep/26
ETHJPY,598895,"19,240",3.32%,-9.42%,-9.61%,14.28%,56.09%,Sep/26
ETHNZD,6963.95,254.37,3.79%,-8.83%,-9.24%,16.94%,63.63%,Sep/26
ETHCHF,3195.65,101.27,3.27%,-10.07%,-11.34%,5.74%,40.92%,Sep/26
ETHMXN,73542.4,"2,057.0",2.88%,-10.14%,-12.32%,5.90%,38.37%,Sep/26
ETHINR,355458,"12,147",3.54%,-9.75%,-9.83%,24.71%,57.35%,Sep/26
ETHBRL,21423.5,676.9,3.26%,-10.02%,-12.07%,4.01%,46.12%,Sep/26
ETHRUB,330565,"5,885",1.81%,-11.44%,-8.52%,-12.55%,29.88%,Sep/26
ETHKRW,5650309,"200,404",3.68%,-9.54%,-9.82%,14.76%,59.81%,Sep/26
ETHIDR,66857679,"2,010,639",3.10%,-10.15%,-9.05%,23.40%,63.82%,Sep/26
ETHTRY,166602.2,"6,230.8",3.89%,-9.87%,-9.69%,41.56%,80.73%,Sep/26
ETHSAR,15034.2,529.2,3.65%,-10.33%,-10.91%,20.16%,48.53%,Sep/26
ETHSEK,37688.8,"1,089.5",2.98%,-9.87%,-12.04%,2.28%,38.47%,Sep/26
ETHNGN,5955643,"189,103",3.28%,-10.87%,-13.90%,15.81%,32.29%,Sep/26
ETHPLN,14603.7,446.6,3.15%,-9.80%,-11.33%,6.15%,41.36%,Sep/26
ETHARS,5328511,"147,740",2.85%,-19.20%,-12.29%,55.18%,104.37%,Sep/26
ETHNOK,39945.2,"1,147.6",2.96%,-10.04%,-11.81%,5.35%,41.06%,Sep/26
ETHTWD,122105.7,"4,030.5",3.41%,-9.65%,-11.14%,11.76%,43.25%,Sep/26
ETHIRR,162630049,"12,288,431",-7.03%,-15.77%,-15.92%,16.26%,47.36%,Sep/25
