Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitumen CNY/T,3463.00,23.00,0.67%,1.23%,-0.83%,-6.13%,9.38%,Sep/26
Cobalt USD/T,34550,0,0.00%,3.64%,3.64%,42.18%,42.18%,Sep/25
Lead USD/T,2004.68,14.75,-0.73%,0.06%,0.97%,2.70%,-5.42%,Sep/26
Aluminum USD/T,2652.60,8.55,-0.32%,-0.75%,1.81%,3.96%,0.23%,Sep/26
Tin USD/T,34440,119,0.35%,2.16%,0.71%,18.42%,6.18%,Sep/25
Zinc USD/T,2893.45,34.65,-1.18%,-0.03%,4.70%,-2.86%,-6.35%,Sep/26
Nickel USD/T,15155,85,-0.56%,-0.75%,-0.23%,-0.95%,-10.83%,Sep/26
Molybdenum CNY/Kg,507.50,0.00,0.00%,-0.98%,-2.39%,8.21%,6.84%,Sep/26
Palladium USD/t.oz,1282.00,17.50,1.38%,11.14%,17.45%,44.21%,27.44%,Sep/26
Rhodium USD/t oz.,7175,0,0.00%,2.14%,-1.37%,56.83%,51.05%,Sep/26
Phosphorus CNY/T,1025.00,0.00,0.00%,0.00%,0.01%,-4.63%,-8.05%,Sep/26
Polyethylene CNY/T,7103.00,20.00,-0.28%,-0.35%,-3.20%,-16.66%,-11.56%,Sep/26
Polyvinyl CNY/T,4817.00,21.00,-0.43%,-1.03%,-0.48%,-2.21%,-10.81%,Sep/26
Polypropylene CNY/T,6830.00,3.00,0.04%,-0.23%,-2.25%,-7.43%,-7.75%,Sep/26
Synthetic Rubber CNY/T,12125.00,16.67,-0.14%,0.07%,-3.00%,-18.67%,-26.70%,Sep/26
Soda Ash CNY/T,1186.00,0.00,0.00%,-0.17%,-1.98%,-22.38%,-26.52%,Sep/26
Neodymium CNY/T,785000,0,0.00%,0.00%,0.66%,57.95%,47.42%,Sep/26
Sulfur CNY/T,2637.67,0.00,0.00%,-0.25%,0.25%,55.37%,87.38%,Sep/26
Tellurium CNY/Kg,595.00,0.00,0.00%,1.71%,1.72%,-7.75%,-19.05%,Sep/26
Urea USD/T,381.50,3.00,0.79%,-2.80%,-12.55%,13.04%,20.92%,Sep/26
Di-ammonium USD/T,755.00,0.00,0.00%,-0.98%,-3.82%,30.74%,36.34%,Sep/26
Magnesium CNY/T,17700,0,0.00%,-0.28%,-2.75%,4.12%,-5.35%,Sep/26
Gallium CNY/Kg,1665.00,0.00,0.00%,0.00%,3.74%,-19.76%,-36.57%,Sep/26
Germanium CNY/Kg,14250,0,0.00%,0.00%,-1.05%,-18.80%,-23.18%,Sep/26
Manganese CNY/mtu,29.85,0.00,0.00%,0.00%,0.67%,3.83%,-2.93%,Sep/26
Indium CNY/Kg,2525,0,0.00%,0.00%,-1.56%,-0.79%,-12.17%,Sep/26
Kraft Pulp CNY/T,4986.00,32.00,-0.64%,0.12%,0.04%,-14.97%,-13.01%,Sep/26
