Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDNGN,1485.720,5.290,-0.35%,-0.60%,-3.41%,-3.78%,-10.95%,Sep/26
USDZAR,17.3333,0.0851,-0.49%,-0.08%,-1.95%,-8.05%,1.27%,Sep/26
USDZMW,23.6300,0.2200,-0.92%,-0.02%,0.94%,-15.62%,-10.63%,Sep/26
USDEGP,48.1300,0.0000,0.00%,-0.08%,-1.05%,-5.24%,-0.37%,Sep/26
USDDZD,129.782,0.084,0.06%,0.16%,-0.13%,-4.10%,-2.04%,Sep/26
USDAOA,918.655,0.005,0.00%,-0.44%,0.18%,-0.43%,-2.97%,Sep/26
USDMAD,9.09210,0.00190,0.02%,0.70%,0.69%,-10.13%,-6.20%,Sep/26
USDSDG,600.500,0.229,0.04%,0.05%,0.02%,0.28%,0.29%,Sep/26
USDKES,129.200,0.000,0.00%,0.00%,0.00%,0.27%,0.16%,Sep/26
USDETB,144.3500,0.4700,-0.32%,0.10%,0.71%,13.13%,21.10%,Sep/26
USDTZS,2451.25,3.75,-0.15%,-0.96%,-2.05%,1.08%,-10.21%,Sep/26
USDTND,2.90900,0.01240,-0.42%,0.24%,0.83%,-8.77%,-4.29%,Sep/26
USDLYD,5.41500,0.00660,0.12%,0.40%,-0.23%,10.43%,14.24%,Sep/26
USDGHS,12.40000,0.02500,0.20%,1.33%,10.96%,-15.65%,-21.24%,Sep/26
USDCDF,2730.00,125.00,-4.38%,-4.38%,-6.02%,-4.43%,-4.08%,Sep/25
USDUGX,3484.13,19.58,-0.56%,-0.55%,-2.18%,-5.13%,-5.68%,Sep/26
USDMZN,63.9100,0.3000,0.47%,0.00%,0.00%,0.01%,0.01%,Sep/26
USDBWP,14.2074,0.8147,6.08%,0.30%,-1.69%,1.72%,9.25%,Sep/26
USDXAF,560.702,9.018,-1.58%,-0.93%,-1.93%,-12.42%,-4.57%,Sep/26
USDNAD,17.3352,0.1003,-0.58%,-0.08%,-2.02%,-7.95%,0.87%,Sep/26
USDSSP,4563.526,1.471,0.03%,0.20%,0.69%,17.52%,48.79%,Sep/25
USDMUR,45.7800,0.3200,0.70%,0.95%,-0.50%,-2.18%,-0.37%,Sep/26
USDMGA,4450.00,7.58,-0.17%,-0.40%,-0.28%,-5.17%,-2.22%,Sep/26
USDRWF,1447.50,3.51,-0.24%,-0.22%,0.24%,5.71%,8.67%,Sep/26
USDGNF,8677.00,0.00,0.00%,0.02%,0.08%,0.87%,0.52%,Sep/26
USDMRO,39.9400,0.0400,-0.10%,-0.15%,0.00%,0.43%,0.45%,Sep/26
USDSLL,23126.4,157.8,-0.68%,0.00%,0.47%,1.09%,2.43%,Sep/26
USDXOF,561.500,3.000,0.54%,1.08%,-0.35%,-10.41%,-4.59%,Sep/26
USDMWK,1733.670,0.000,0.00%,0.00%,0.00%,0.00%,-0.13%,Sep/26
USDERN,15.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/26
USDSZL,17.3500,0.0900,-0.52%,0.13%,-1.95%,-7.81%,0.96%,Sep/26
USDBIF,2944.76,0.20,0.01%,-1.35%,-1.27%,-0.42%,1.89%,Sep/26
USDLSL,17.3352,0.1049,-0.60%,-0.08%,-2.02%,-7.95%,0.87%,Sep/26
USDLRD,181.000,0.150,0.08%,1.69%,-9.73%,-1.90%,-6.46%,Sep/25
USDCVE,94.5447,0.3182,-0.34%,0.55%,-0.66%,-11.37%,-4.69%,Sep/26
USDDJF,178.080,0.000,0.00%,0.00%,0.00%,0.27%,0.02%,Sep/26
USDSCR,14.2522,0.5318,-3.60%,-2.77%,0.76%,0.01%,7.55%,Sep/26
USDSOS,569.710,1.790,-0.31%,-0.31%,-0.31%,0.30%,0.30%,Sep/26
USDGMD,73.4000,0.0000,0.00%,0.00%,0.69%,1.73%,4.34%,Sep/26
USDKMF,421.000,2.000,-0.47%,0.19%,-0.96%,-11.18%,-4.67%,Sep/26
USDSTD,21.1641,0.0583,-0.27%,0.46%,-0.49%,-11.47%,-4.99%,Sep/26
USDZIG,26.571,0.006,0.02%,0.00%,-0.65%,2.99%,8.94%,Sep/26
