Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
JP225,45355,400,-0.87%,0.69%,6.67%,13.69%,13.87%,Sep/26
SHANGHAI,3828,25,-0.65%,0.21%,0.73%,14.21%,23.99%,Sep/26
CSI 300,4550,43,-0.95%,1.07%,3.74%,15.63%,22.85%,Sep/26
SHANGHAI 50,2941,12,-0.40%,1.07%,0.78%,9.54%,14.39%,Sep/26
CH50,15028.07,187.56,-1.23%,0.52%,2.46%,11.21%,14.91%,Sep/26
SENSEX,80426,733,-0.90%,-2.66%,0.43%,2.93%,-6.01%,Sep/26
DSE Broad,5415,22,0.42%,-0.64%,-0.62%,3.81%,-3.97%,Sep/25
JCI,8099,59,0.73%,0.60%,2.06%,14.40%,5.23%,Sep/26
TASI,11308,118,-1.04%,4.89%,3.99%,-6.05%,-8.62%,Sep/25
Taiwan Stock Market Index,25580,444,-1.70%,0.01%,4.32%,11.05%,12.08%,Sep/26
ADX General,10000,53,0.54%,-1.27%,-1.79%,6.17%,5.60%,Sep/26
SET 50,826,7,-0.88%,-1.11%,1.05%,-8.90%,-9.81%,Sep/26
FKLCI,1609,11,0.66%,0.68%,1.33%,-2.03%,-3.07%,Sep/26
STI,4266,8,-0.18%,-0.85%,0.48%,12.63%,19.38%,Sep/26
TA-125,3069,38,1.26%,-0.39%,-1.90%,26.47%,46.77%,Sep/25
HK50,26128,356,-1.35%,-1.57%,3.68%,30.25%,26.64%,Sep/26
PSEi,6027,15,-0.25%,-3.79%,-3.92%,-7.68%,-18.86%,Sep/26
KSE 100,162257,"2,977",1.87%,2.67%,10.01%,40.94%,99.60%,Sep/26
KASE,7144,8,-0.10%,0.70%,4.91%,28.08%,38.25%,Sep/26
QE,10959,120,-1.08%,-3.09%,-3.92%,3.67%,3.56%,Sep/25
HNX,276.06,1.59,-0.57%,-0.07%,-0.12%,21.38%,17.12%,Sep/26
VN,1661,5,-0.32%,0.13%,-0.72%,31.10%,28.64%,Sep/26
MSM 30,5117,2,0.05%,-0.14%,2.04%,11.80%,8.82%,Sep/25
ASPI,21599,78,0.36%,2.44%,4.08%,35.46%,82.49%,Sep/26
Blom,1957,67,-3.33%,-1.68%,2.93%,-22.26%,-4.80%,Sep/25
ASE,3030,1,-0.02%,-1.70%,2.39%,21.74%,26.88%,Sep/25
LSX Composite,1372,50,-3.49%,-3.77%,-4.88%,19.27%,37.57%,Sep/26
MSE 20,49059,157,-0.32%,0.20%,2.15%,-4.36%,2.40%,Sep/26
DFM General,5855,39,0.67%,-2.79%,-4.44%,13.50%,29.51%,Sep/26
Kuwait All Share,8778.10,48.49,-0.55%,-0.48%,2.31%,19.23%,21.97%,Sep/25
JPVIX,25.99,1.89,7.84%,8.07%,10.64%,19.27%,-1.96%,Sep/26
NIFTY 50,24655,236,-0.95%,-2.65%,0.63%,4.27%,-5.82%,Sep/26
TEDPIX,2523000.00,0.00,0.00%,0.00%,-2.55%,-9.51%,20.82%,Sep/03
Estirad,1952.45,4.01,0.21%,1.51%,1.18%,-1.68%,-3.05%,Sep/25
