Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6648.92,44.20,0.67%,-0.23%,2.58%,13.05%,15.87%,Sep/26
US30,46264,316,0.69%,-0.11%,1.53%,8.74%,9.34%,Sep/26
US100,24505,108,0.44%,-0.49%,3.99%,16.63%,22.47%,Sep/26
JP225,45355,400,-0.87%,0.69%,6.67%,13.69%,13.87%,Sep/26
GB100,9285,71,0.77%,0.74%,0.32%,13.60%,11.59%,Sep/26
DE40,23739,205,0.87%,0.42%,-1.28%,19.24%,21.91%,Sep/26
FR40,7871,75,0.97%,0.22%,1.64%,6.64%,1.01%,Sep/26
IT40,42642,424,1.00%,0.78%,0.69%,24.73%,22.79%,Sep/26
ES35,15350,197,1.30%,0.59%,2.19%,32.39%,28.26%,Sep/26
ASX200,8788,15,0.17%,0.16%,-1.93%,7.70%,7.01%,Sep/26
SHANGHAI,3828,25,-0.65%,0.21%,0.73%,14.21%,23.99%,Sep/26
SENSEX,80426,733,-0.90%,-2.66%,0.43%,2.93%,-6.01%,Sep/26
TSX,29761,29,0.10%,-0.02%,4.67%,20.35%,24.23%,Sep/26
MOEX,2725,17,0.61%,-0.83%,-6.40%,-5.47%,-4.66%,Sep/26
IBOVESPA,145447,141,0.10%,-0.29%,4.48%,20.92%,9.58%,Sep/26
IPC,62307,362,0.58%,1.81%,6.24%,25.75%,18.05%,Sep/26
NL25,938,4,0.43%,0.90%,3.38%,6.80%,2.28%,Sep/26
CH20,11930,54,0.45%,-1.49%,-2.27%,2.84%,-2.49%,Sep/26
SAALL,106700,897,0.85%,0.56%,4.60%,26.88%,21.83%,Sep/26
STI,4266,8,-0.18%,-0.85%,0.48%,12.63%,19.38%,Sep/26
HK50,26128,356,-1.35%,-1.57%,3.68%,30.25%,26.64%,Sep/26
NZX 50,13112,42,-0.32%,-0.91%,1.94%,0.01%,5.25%,Sep/26
EU50,5498,53,0.97%,0.72%,1.94%,12.29%,8.49%,Sep/26
