Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
Japan,1.6590,0.0099,0.02%,0.03%,0.57%,0.85%,Sep/26
India,6.4980,0.0110,-0.01%,-0.07%,-0.30%,-0.26%,Sep/26
China,1.8810,0.0220,0.01%,0.11%,0.20%,-0.30%,Sep/26
Singapore,1.9380,0.1070,0.14%,0.14%,-0.92%,-0.69%,Sep/26
South Korea,2.9670,0.1070,0.18%,0.14%,0.10%,-0.03%,Sep/26
Taiwan,1.3720,0.0000,-0.02%,-0.05%,-0.30%,-0.14%,Sep/25
Thailand,1.3700,0.0200,0.01%,0.07%,-0.90%,-1.12%,Sep/25
Vietnam,3.7590,0.0090,0.06%,0.07%,0.64%,1.01%,Sep/26
Hong Kong,3.1030,0.0270,0.01%,-0.03%,-0.70%,0.29%,Sep/26
Indonesia,6.4310,0.0020,0.11%,0.09%,-0.57%,-0.02%,Sep/26
Israel,4.1930,0.0150,0.01%,0.05%,-0.27%,-0.66%,Sep/25
Malaysia,3.4710,0.0150,0.06%,0.07%,-0.35%,-0.30%,Sep/26
Pakistan,12.0020,0.0080,0.01%,0.02%,-0.16%,-0.45%,Sep/26
Philippines,6.0250,0.0280,0.09%,0.03%,-0.19%,0.34%,Sep/26
