Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Gold USD/t.oz,3754.06,4.28,0.11%,1.88%,10.48%,43.05%,41.22%,Sep/26
Silver USD/t.oz,46.040,0.830,1.84%,6.87%,19.31%,59.42%,45.60%,Sep/26
Copper USD/Lbs,4.7111,0.0097,-0.21%,3.02%,6.63%,18.37%,3.97%,Sep/26
Steel CNY/T,3021.00,56.00,-1.82%,-2.83%,-2.58%,-8.73%,-5.59%,Sep/26
Lithium CNY/T,73600,150,-0.20%,0.14%,-9.79%,-1.93%,-2.52%,Sep/26
Iron Ore CNY CNY/T,799.00,3.50,-0.44%,-2.02%,2.96%,2.57%,6.53%,Sep/26
Platinum USD/t.oz,1588.80,58.10,3.80%,12.17%,18.70%,77.72%,58.72%,Sep/26
HRC Steel USD/T,806.03,11.97,-1.46%,-2.89%,-0.86%,13.69%,9.81%,Sep/26
Iron Ore USD/T,105.44,0.10,-0.09%,0.00%,3.79%,1.77%,13.40%,Sep/26
Silicon CNY/T,8930.00,110.00,-1.22%,-3.51%,5.24%,-20.97%,-31.25%,Sep/26
Scrap Steel USD/T,340.00,1.00,0.30%,0.59%,-1.88%,%,-5.42%,Sep/25
Titanium CNY/KG,48.50,0.50,-1.02%,-1.02%,-1.02%,8.99%,10.23%,Sep/26
