Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
CRB Index Index Points,376.40,0.62,0.17%,0.78%,1.98%,5.49%,11.28%,Sep/25
LME Index Index Points,4362.50,18.00,-0.41%,1.91%,3.17%,11.70%,0.99%,Sep/25
GSCI Index Points,561.44,3.32,0.59%,2.84%,2.79%,2.15%,5.35%,Sep/26
SSE Consume Commodity Index Index Points,8642.12,126.64,-1.44%,-2.40%,0.48%,9.72%,9.07%,Sep/26
Containerized Freight Index Points,1114.52,83.70,-6.99%,-6.99%,-21.26%,-54.70%,-47.80%,Sep/26
Nuclear Energy Index USD,48.50,1.03,-2.08%,-2.75%,20.80%,81.17%,66.90%,Sep/26
Solar Energy Index USD,43.42,0.33,-0.75%,0.58%,6.11%,28.88%,1.02%,Sep/26
EU Carbon Permits EUR,75.76,0.26,-0.34%,-2.67%,4.14%,3.78%,13.89%,Sep/25
Wind Energy Index USD,18.38,0.51,-2.70%,-1.24%,-1.66%,24.19%,2.05%,Sep/26
