Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Australia All Ordinaries,9079,16,0.17%,0.20%,-1.65%,7.82%,7.11%,Sep/26
ASX200,8788,15,0.17%,0.16%,-1.93%,7.70%,7.01%,Sep/26
AU50,8448,18,0.22%,0.06%,-2.54%,5.33%,4.79%,Sep/26
NZX 50,13112,42,-0.32%,-0.91%,1.94%,0.01%,5.25%,Sep/26
