Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
NSE-All Share,142133,976,0.69%,0.20%,0.63%,38.09%,44.36%,Sep/26
SAALL,106700,897,0.85%,0.56%,4.60%,26.88%,21.83%,Sep/26
SA40,99706,"1,005",1.02%,1.00%,5.66%,32.27%,25.40%,Sep/26
EGX 30,35671,278,-0.77%,0.76%,0.89%,19.94%,14.05%,Sep/25
CFG 25,19343,87,-0.45%,-3.01%,-4.40%,30.93%,33.87%,Sep/26
Nairobi 20,2979,4,0.14%,2.60%,4.99%,48.14%,67.55%,Sep/26
Nairobi All Share,178,0,0.05%,2.53%,3.68%,44.06%,66.00%,Sep/26
DSEI,2499,2,-0.08%,-0.43%,-3.19%,16.77%,17.36%,Sep/26
TUN,12417,6,0.05%,0.34%,4.13%,24.75%,24.30%,Sep/26
GGSECI,8120,77,0.96%,4.34%,10.64%,66.10%,85.39%,Sep/26
SEMDEX,2459,1,0.03%,-0.21%,0.61%,2.33%,4.87%,Sep/26
USE All Share,1441.47,12.22,0.86%,0.09%,0.65%,20.65%,33.62%,Sep/24
NSX Overall,1903,2,-0.09%,0.05%,4.56%,5.66%,-0.90%,Sep/26
Gaborone,10611,0,0.00%,0.00%,0.48%,5.59%,9.92%,Sep/26
ZSI Industrials,207.21,0.98,-0.47%,-0.26%,0.67%,-4.67%,-15.59%,Sep/25
