Ticker,Company Name,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Debt Class,Spread 1Y,Spread 3Y,Spread 5Y
BKNG,Booking Holdings Inc.,5570.64,5571.83,5604.43,5517.5,0.0,1.0,0.0,-0.03,0.0,0.31,0.0,0.77,,,,
AXON,"Axon Enterprise, Inc.",736.74,731.98,740.0,718.02,0.0,-0.07,0.0,0.92,0.0,0.27,0.0,0.67,,,,
SPOT,Spotify Technology S.A.,715.57,719.16,727.0,710.67,0.0,3.15,0.0,3.13,0.0,2.23,0.0,3.13,,,,
TYL,"Tyler Technologies, Inc.",566.34,558.41,565.12,554.47,0.0,2.65,0.0,0.83,0.0,1.98,0.0,0.94,,,,
HUBS,"HubSpot, Inc.",496.18,502.29,505.0,496.57,0.0,3.98,0.0,6.26,0.0,5.23,0.0,6.76,,,,
MSFT,Microsoft Corporation,501.39,498.41,502.25,497.71,0.0,-0.48,0.0,-1.37,0.0,-1.09,0.0,-0.92,SENIOR_NORE_14,8.18,12.06,20.76
ALNY,"Alnylam Pharmaceuticals, Inc.",460.0,482.13,484.21,455.3,0.0,3.42,0.0,7.76,0.0,6.14,0.0,2.84,,,,
CYBR,CyberArk Software Ltd.,468.5,469.49,471.2,465.66,0.0,4.24,0.0,3.06,0.0,3.11,0.0,3.86,,,,
CMI,Cummins Inc.,396.68,394.78,396.0,390.11,0.0,0.49,0.0,0.68,0.0,-0.52,0.0,0.15,SENIOR_NORE_14,12.35,26.32,48.9
CMI,Cummins Inc.,396.68,394.78,396.0,390.11,0.0,0.49,0.0,0.68,0.0,-0.52,0.0,0.15,SENIOR_NORE,12.35,26.32,48.9
PODD,Insulet Corporation,350.0,352.82,353.5,347.3,0.0,0.97,0.0,2.7,0.0,1.98,0.0,2.45,,,,
TSLA,"Tesla, Inc.",348.45,346.97,350.76,343.82,0.0,3.95,0.0,3.86,0.0,2.16,0.0,4.66,SENIOR_NORE_14,24.5,45.62,70.22
RCL,Royal Caribbean Cruises Ltd.,349.95,345.31,353.72,345.21,0.0,-1.34,0.0,-2.73,0.0,-1.4,0.0,-2.03,SENIOR_NORE,60.0,103.58,152.63
RCL,Royal Caribbean Cruises Ltd.,349.95,345.31,353.72,345.21,0.0,-1.34,0.0,-2.73,0.0,-1.4,0.0,-2.03,SENIOR_NORE_14,24.49,50.22,72.76
V,Visa Inc.,341.69,343.99,346.32,341.49,0.0,-2.19,0.0,-1.96,0.0,-1.3,0.0,-1.66,,,,
AVGO,Broadcom Inc.,349.55,336.67,350.98,335.83,0.0,15.63,0.0,11.34,0.0,15.28,0.0,13.3,SENIOR_NORE,19.03,49.96,97.77
AVGO,Broadcom Inc.,349.55,336.67,350.98,335.83,0.0,15.63,0.0,11.34,0.0,15.28,0.0,13.3,SENIOR_NORE_14,10.1,20.55,33.77
AVGO,Broadcom Inc.,349.55,336.67,350.98,335.83,0.0,15.63,0.0,11.34,0.0,15.28,0.0,13.3,SENIOR_NORE_14,19.02,49.92,97.76
MDB,"MongoDB, Inc.",322.63,331.09,331.89,322.0,0.0,0.83,0.0,5.82,0.0,3.57,0.0,5.22,,,,
MSTR,MicroStrategy Incorporated,330.23,328.53,331.96,324.45,0.0,-3.38,0.0,-0.52,0.0,-3.64,0.0,-0.96,,,,
COIN,"Coinbase Global, Inc.",303.77,318.78,319.39,303.77,0.0,-0.41,0.0,5.45,0.0,3.57,0.0,0.87,,,,
IDCC,"InterDigital, Inc.",299.67,305.7,305.91,296.59,0.0,8.53,0.0,7.35,0.0,7.08,0.0,7.42,,,,
JPM,JPMorgan Chase & Co.,292.6,297.85,298.98,292.31,0.0,-2.65,0.0,-0.55,0.0,-0.53,0.0,-1.37,SENIOR_NORE,20.22,28.94,38.68
JPM,JPMorgan Chase & Co.,292.6,297.85,298.98,292.31,0.0,-2.65,0.0,-0.55,0.0,-0.53,0.0,-1.37,SENIOR_NORE_14,20.22,28.94,38.68
ZS,"Zscaler, Inc.",281.35,282.29,284.34,279.0,0.0,3.25,0.0,4.33,0.0,3.58,0.0,7.14,,,,
BURL,"Burlington Stores, Inc.",288.05,281.55,286.83,280.45,0.0,-0.65,0.0,-3.99,0.0,-3.21,0.0,-2.82,,,,
NVMI,Nova Ltd.,270.38,277.22,281.16,268.27,0.0,13.92,0.0,15.12,0.0,14.95,0.0,15.27,,,,
CHTR,"Charter Communications, Inc.",262.65,263.35,264.19,259.02,0.0,-0.4,0.0,0.82,0.0,-0.34,0.0,0.26,SENIOR_NORE,50.04,120.51,198.89
