Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility
BHR,BHR250919C00002500,Call,2025-09-19,2.5,1.08,0.2,0.6,112,104,2.68,2.7,2.7300000190734863,1.0078174609375
BHR,BHR250919P00002500,Put,2025-09-19,2.5,1.08,0.0,0.05,115,12,2.68,2.7,2.7300000190734863,0.507817421875
BHR,BHR251017C00002500,Call,2025-10-17,2.5,1.08,0.25,0.35,373,565,2.68,2.7,2.7300000190734863,0.5468795312500001
BHR,BHR251017C00005000,Call,2025-10-17,5.0,0.54,0.0,0.05,269,531,2.68,2.7,2.7300000190734863,0.9531254687499999
BHR,BHR251017P00002500,Put,2025-10-17,2.5,1.08,0.1,0.15,45,204,2.68,2.7,2.7300000190734863,0.5625043750000001
BHR,BHR260116C00002500,Call,2026-01-16,2.5,1.08,0.3,0.45,136,1081,2.68,2.7,2.7300000190734863,0.49609878906250005
BHR,BHR260116C00005000,Call,2026-01-16,5.0,0.54,0.0,0.2,10,19,2.68,2.7,2.7300000190734863,0.8007832421875
BHR,BHR260116P00002500,Put,2026-01-16,2.5,1.08,0.1,1.0,2,124,2.68,2.7,2.7300000190734863,1.0273486132812502
BHR,BHR260417C00002500,Call,2026-04-17,2.5,1.08,0.0,0.8,21,1,2.68,2.7,2.7300000190734863,0.8281267187499999
