Ticker,Strike,Expiry,Type,Bid,Ask,Volume,Open Interest
SATS,80.0,16/01/2026,Call,6.4,6.7,"3,251","3,181"
SATS,75.0,19/12/2025,Call,6.9,7.2,"1,003","6,426"
SATS,42.0,16/01/2026,Put,0.0,1.15,"1,002","1,006"
SATS,100.0,19/12/2025,Call,2.0,2.2,767,"1,199"
SATS,70.0,16/01/2026,Call,10.1,10.3,543,"1,018"
SATS,80.0,19/12/2025,Call,5.3,5.6,523,"11,726"
SATS,125.0,16/01/2026,Call,1.15,1.3,400,655
SATS,70.0,16/01/2026,Put,7.4,7.6,376,"1,004"
SATS,70.0,20/03/2026,Put,7.7,9.4,267,198
SATS,75.0,15/01/2027,Call,16.0,17.8,246,81
INVA,20.0,19/12/2025,Put,0.0,2.15,100,"1,608"
INVA,20.0,19/12/2025,Call,0.0,2.25,20,23
INVA,25.0,19/12/2025,Call,0.0,1.3,9,9
INVA,15.0,19/12/2025,Call,4.5,7.4,8,8
INVA,22.5,19/12/2025,Put,2.85,4.7,3,3
INVA,20.0,20/03/2026,Call,0.0,2.9,1,7
INVA,22.5,20/03/2026,Call,0.0,1.85,1,92
INVA,17.5,20/03/2026,Call,1.9,5.2,1,7
INVA,22.5,19/12/2025,Call,0.0,1.0,1,13
INVA,25.0,20/03/2026,Call,0.0,1.0,1,289
IONS,35.0,16/01/2026,Put,0.0,0.75,147,206
IONS,32.5,15/01/2027,Put,7.5,10.8,139,666
IONS,35.0,15/01/2027,Put,0.5,3.6,125,291
IONS,75.0,15/01/2027,Call,7.6,12.5,40,148
IONS,60.0,17/12/2027,Call,16.5,21.5,31,38
IONS,85.0,17/04/2026,Call,2.15,3.7,30,79
IONS,30.0,16/01/2026,Call,29.8,33.8,28,19
IONS,50.0,17/04/2026,Call,14.1,18.1,22,13
IONS,55.0,16/01/2026,Call,9.1,11.5,20,993
IONS,65.0,16/01/2026,Put,6.3,10.2,20,98
GPRO,3.0,16/01/2026,Call,0.5,0.6,"3,084","11,103"
GPRO,2.0,17/04/2026,Call,0.8,1.05,453,"54,264"
GPRO,2.0,16/01/2026,Call,0.8,0.9,383,"8,053"
GPRO,4.0,16/01/2026,Call,0.35,0.45,208,"2,777"
GPRO,5.0,16/01/2026,Call,0.25,0.3,162,"4,130"
GPRO,1.5,16/01/2026,Call,1.0,1.1,138,"7,122"
GPRO,4.0,17/04/2026,Call,0.5,0.6,130,"1,435"
GPRO,3.0,17/04/2026,Call,0.7,0.8,114,"2,429"
GPRO,5.0,17/04/2026,Call,0.35,0.5,108,"1,459"
GPRO,1.0,17/04/2026,Put,0.1,0.2,100,840
OPEN,10.0,16/01/2026,Call,3.75,3.8,"15,333","38,511"
OPEN,21.0,16/01/2026,Call,1.94,2.08,"7,337","5,063"
OPEN,18.0,16/01/2026,Call,2.3,2.38,"5,389","1,645"
OPEN,15.0,16/01/2026,Call,2.7,2.75,"4,131","5,800"
OPEN,13.0,16/01/2026,Call,3.05,3.1,"4,037","9,807"
OPEN,20.0,15/01/2027,Call,4.15,4.5,"3,857","4,177"
OPEN,20.0,16/01/2026,Call,2.08,2.17,"3,807","4,846"
OPEN,9.0,16/01/2026,Call,4.0,4.15,"3,803","19,800"
OPEN,12.0,16/01/2026,Call,3.25,3.35,"3,713","8,221"
OPEN,7.0,16/01/2026,Put,1.69,1.77,"3,633","5,281"
MNKD,7.0,20/02/2026,Call,0.0,0.4,503,"1,385"
MNKD,3.0,15/01/2027,Call,2.65,3.1,421,"1,970"
MNKD,10.0,16/01/2026,Call,0.05,0.1,410,"9,506"
MNKD,12.0,16/01/2026,Call,0.0,0.2,154,602
MNKD,4.0,15/01/2027,Put,0.0,0.8,56,130
MNKD,6.0,16/01/2026,Call,0.5,0.6,28,"3,373"
MNKD,7.0,16/01/2026,Put,0.0,1.95,24,179
MNKD,10.0,15/01/2027,Call,0.3,0.7,24,"3,202"
MNKD,15.0,16/01/2026,Call,0.0,0.15,20,272
MNKD,12.0,15/01/2027,Call,0.35,0.45,20,"3,315"
ETSY,90.0,16/01/2026,Put,29.5,30.05,"2,000","2,000"
ETSY,45.0,16/01/2026,Call,17.65,18.15,"1,100","4,154"
ETSY,70.0,16/01/2026,Call,3.9,4.05,638,"2,280"
ETSY,60.0,18/06/2026,Put,9.15,9.4,604,658
