Ticker,Normalized 3m,Normalized 6m,Normalized 1y,Normalized 3m_Color,Normalized 6m_Color,Normalized 1y_Color
SATS,21.63,31.28,25.73,#FFFFFF,#FFFFFF,#FFFFFF
OPEN,9.84,18.66,32.08,#FFFFFF,#FFFFFF,#FFFFFF
TPIC,3246.75,2779.22,9038.96,#FFFFFF,#FFFFFF,#FFFFFF
IONS,55.31,51.18,65.82,#FFFFFF,#FFFFFF,#FFFFFF
GPRO,50.6,42.69,75.45,#FFFFFF,#FFFFFF,#FFFFFF
MNKD,69.51,94.37,109.26,#FFFFFF,#FFFFFF,#FFFFFF
RUN,52.84,40.55,107.3,#FFFFFF,#FFFFFF,#FFFFFF
DAY,86.49,80.39,83.41,#FFFFFF,#FFFFFF,#FFFFFF
ETSY,105.84,81.49,93.86,#FFFFFF,#FFFFFF,#FFFFFF
AORT,67.7,56.82,57.57,#FFFFFF,#FFFFFF,#FFFFFF
DDD,82.86,123.81,93.33,#FFFFFF,#FFFFFF,#FFFFFF
WK,86.55,113.42,91.89,#FFFFFF,#FFFFFF,#FFFFFF
HAE,131.56,120.8,136.32,#FFFFFF,#FFFFFF,#FFFFFF
MLAB,161.8,204.07,191.63,#FFFFFF,#FFFFFF,#FFFFFF
SABR,162.71,188.14,164.41,#FFFFFF,#FFFFFF,#FFFFFF
ZD,84.56,105.17,125.97,#FFFFFF,#FFFFFF,#FFFFFF
BLMN,124.84,118.99,221.3,#FFFFFF,#FFFFFF,#FFFFFF
FLR,118.87,90.42,107.96,#FFFFFF,#FFFFFF,#FFFFFF
GWRE,97.92,72.61,65.42,#FFFFFF,#FFFFFF,#FFFFFF
XRX,142.87,151.13,247.71,#FFFFFF,#FFFFFF,#FFFFFF
LNTH,145.52,183.58,179.92,#FFFFFF,#FFFFFF,#FFFFFF
RNG,83.25,85.01,87.37,#FFFFFF,#FFFFFF,#FFFFFF
CABO,80.31,139.6,200.89,#FFFFFF,#FFFFFF,#FFFFFF
CHTR,150.71,133.47,122.8,#FFFFFF,#FFFFFF,#FFFFFF
WOLF,74.18,321.43,419.23,#FFFFFF,#FFFFFF,#FFFFFF
SRPT,211.51,550.96,719.61,#FFFFFF,#FFFFFF,#FFFFFF
ENOV,103.53,118.79,138.25,#FFFFFF,#FFFFFF,#FFFFFF
MTH,82.83,87.9,118.02,#FFFFFF,#FFFFFF,#FFFFFF
INVA,106.05,86.17,96.53,#FFFFFF,#FFFFFF,#FFFFFF
MP,46.24,42.49,21.95,#FFFFFF,#FFFFFF,#FFFFFF
AMPH,90.15,90.9,151.24,#FFFFFF,#FFFFFF,#FFFFFF
MIDD,103.75,109.37,93.5,#FFFFFF,#FFFFFF,#FFFFFF
IART,82.24,144.85,114.84,#FFFFFF,#FFFFFF,#FFFFFF
GMED,101.9,120.24,117.43,#FFFFFF,#FFFFFF,#FFFFFF
ENPH,117.82,153.22,275.72,#FFFFFF,#FFFFFF,#FFFFFF
SEDG,69.97,53.66,59.42,#FFFFFF,#FFFFFF,#FFFFFF
PAR,135.79,125.33,114.32,#FFFFFF,#FFFFFF,#FFFFFF
NEO,94.02,124.94,198.73,#FFFFFF,#FFFFFF,#FFFFFF
MODG,86.53,67.58,102.41,#FFFFFF,#FFFFFF,#FFFFFF
SPB,96.22,125.95,156.08,#FFFFFF,#FFFFFF,#FFFFFF
WIX,92.64,103.32,91.99,#FFFFFF,#FFFFFF,#FFFFFF
DOCN,82.17,105.36,110.02,#FFFFFF,#FFFFFF,#FFFFFF
CFLT,122.29,132.06,97.19,#FFFFFF,#FFFFFF,#FFFFFF
LCID,111.4,107.79,182.05,#FFFFFF,#FFFFFF,#FFFFFF
CHGG,94.84,50.97,121.94,#FFFFFF,#FFFFFF,#FFFFFF
NSIT,105.9,119.48,156.82,#FFFFFF,#FFFFFF,#FFFFFF
IIIV,78.35,75.42,69.46,#FFFFFF,#FFFFFF,#FFFFFF
BOX,106.83,93.11,97.47,#FFFFFF,#FFFFFF,#FFFFFF
DVAX,104.84,139.82,112.8,#FFFFFF,#FFFFFF,#FFFFFF
PEP,91.56,101.71,119.63,#FFFFFF,#FFFFFF,#FFFFFF
CYTK,64.47,86.14,105.15,#FFFFFF,#FFFFFF,#FFFFFF
TTGT,121.96,222.64,403.72,#FFFFFF,#FFFFFF,#FFFFFF
KHC,97.78,110.05,126.06,#FFFFFF,#FFFFFF,#FFFFFF
HALO,71.7,81.86,77.9,#FFFFFF,#FFFFFF,#FFFFFF
LIVN,79.41,66.83,80.02,#FFFFFF,#FFFFFF,#FFFFFF
FARO,96.75,66.9,38.21,#FFFFFF,#FFFFFF,#FFFFFF
PLUG,92.2,117.73,133.33,#FFFFFF,#FFFFFF,#FFFFFF
SKIN,63.93,54.1,61.07,#FFFFFF,#FFFFFF,#FFFFFF
ARRY,93.81,76.77,71.84,#FFFFFF,#FFFFFF,#FFFFFF
RPAY,83.89,95.13,133.05,#FFFFFF,#FFFFFF,#FFFFFF
PRGS,147.38,128.71,134.28,#FFFFFF,#FFFFFF,#FFFFFF
BHR,83.92,97.53,93.25,#FFFFFF,#FFFFFF,#FFFFFF
ATI,112.35,68.75,79.5,#FFFFFF,#FFFFFF,#FFFFFF
GPN,89.78,108.09,124.53,#FFFFFF,#FFFFFF,#FFFFFF
HLX,116.09,130.21,151.07,#FFFFFF,#FFFFFF,#FFFFFF
VREX,73.6,107.85,97.93,#FFFFFF,#FFFFFF,#FFFFFF
WGO,93.44,100.14,150.96,#FFFFFF,#FFFFFF,#FFFFFF
VERI,38.28,67.97,77.99,#FFFFFF,#FFFFFF,#FFFFFF
NBR,83.48,108.22,163.88,#FFFFFF,#FFFFFF,#FFFFFF
IRWD,60.36,134.23,367.57,#FFFFFF,#FFFFFF,#FFFFFF
RTX,92.5,84.85,77.72,#FFFFFF,#FFFFFF,#FFFFFF
NOG,123.88,115.18,129.93,#FFFFFF,#FFFFFF,#FFFFFF
MRK,95.74,109.72,131.86,#FFFFFF,#FFFFFF,#FFFFFF
HUBS,113.44,121.28,97.98,#FFFFFF,#FFFFFF,#FFFFFF
MCHP,104.17,81.41,112.79,#FFFFFF,#FFFFFF,#FFFFFF
NRG,98.91,62.23,50.4,#FFFFFF,#FFFFFF,#FFFFFF
BTU,71.44,71.45,109.3,#FFFFFF,#FFFFFF,#FFFFFF
VSH,103.91,109.9,114.54,#FFFFFF,#FFFFFF,#FFFFFF
PCG,95.35,111.73,130.61,#FFFFFF,#FFFFFF,#FFFFFF
PR,104.18,97.05,90.94,#FFFFFF,#FFFFFF,#FFFFFF
NMFC,99.56,100.12,102.58,#FFFFFF,#FFFFFF,#FFFFFF
RIG,102.23,96.82,124.84,#FFFFFF,#FFFFFF,#FFFFFF
GPRE,46.41,51.5,119.16,#FFFFFF,#FFFFFF,#FFFFFF
JAZZ,85.82,107.34,83.33,#FFFFFF,#FFFFFF,#FFFFFF
MDB,63.63,55.99,88.04,#FFFFFF,#FFFFFF,#FFFFFF
INN,82.85,98.01,105.22,#FFFFFF,#FFFFFF,#FFFFFF
AAL,85.42,85.19,86.13,#FFFFFF,#FFFFFF,#FFFFFF
KOS,129.01,137.65,233.95,#FFFFFF,#FFFFFF,#FFFFFF
CBRL,108.9,79.13,70.83,#FFFFFF,#FFFFFF,#FFFFFF
STX,65.45,45.27,51.92,#FFFFFF,#FFFFFF,#FFFFFF
HCAT,117.06,121.76,230.88,#FFFFFF,#FFFFFF,#FFFFFF
EVH,84.58,94.19,303.3,#FFFFFF,#FFFFFF,#FFFFFF
LRN,85.46,73.05,47.0,#FFFFFF,#FFFFFF,#FFFFFF
GES,68.52,54.21,103.82,#FFFFFF,#FFFFFF,#FFFFFF
EZPW,78.65,78.89,65.1,#FFFFFF,#FFFFFF,#FFFFFF
IDCC,72.37,70.6,42.45,#FFFFFF,#FFFFFF,#FFFFFF
CNMD,101.46,108.59,131.79,#FFFFFF,#FFFFFF,#FFFFFF
CYBR,83.52,72.31,55.58,#FFFFFF,#FFFFFF,#FFFFFF
SPOT,97.73,79.93,45.47,#FFFFFF,#FFFFFF,#FFFFFF
ECPG,88.66,78.21,105.18,#FFFFFF,#FFFFFF,#FFFFFF
KPTI,68.88,106.64,171.8,#FFFFFF,#FFFFFF,#FFFFFF
SLB,98.79,113.0,107.42,#FFFFFF,#FFFFFF,#FFFFFF
V,107.78,96.13,82.37,#FFFFFF,#FFFFFF,#FFFFFF
PEB,81.74,93.35,109.06,#FFFFFF,#FFFFFF,#FFFFFF
TWO,103.33,124.24,116.97,#FFFFFF,#FFFFFF,#FFFFFF
ON,108.97,88.83,140.33,#FFFFFF,#FFFFFF,#FFFFFF
NEE,104.57,103.32,113.91,#FFFFFF,#FFFFFF,#FFFFFF
FRPT,136.42,154.02,237.1,#FFFFFF,#FFFFFF,#FFFFFF
CSIQ,98.64,85.42,112.05,#FFFFFF,#FFFFFF,#FFFFFF
NICE,119.6,100.88,112.08,#FFFFFF,#FFFFFF,#FFFFFF
GBX,100.0,117.87,96.7,#FFFFFF,#FFFFFF,#FFFFFF
TTWO,94.59,82.53,62.47,#FFFFFF,#FFFFFF,#FFFFFF
PI,55.75,46.25,91.77,#FFFFFF,#FFFFFF,#FFFFFF
AMZN,89.51,83.09,75.37,#FFFFFF,#FFFFFF,#FFFFFF
BABA,79.28,94.33,56.02,#FFFFFF,#FFFFFF,#FFFFFF
XYZ,84.56,75.78,81.27,#FFFFFF,#FFFFFF,#FFFFFF
SE,80.26,66.14,40.21,#FFFFFF,#FFFFFF,#FFFFFF
EEFT,122.75,112.0,105.79,#FFFFFF,#FFFFFF,#FFFFFF
TYL,105.25,100.89,106.63,#FFFFFF,#FFFFFF,#FFFFFF
MSFT,95.92,77.69,82.49,#FFFFFF,#FFFFFF,#FFFFFF
MITT,93.21,91.34,85.82,#FFFFFF,#FFFFFF,#FFFFFF
INSM,65.82,52.0,48.62,#FFFFFF,#FFFFFF,#FFFFFF
EQT,110.15,100.33,63.08,#FFFFFF,#FFFFFF,#FFFFFF
SPHR,75.65,60.81,76.71,#FFFFFF,#FFFFFF,#FFFFFF
KRG,97.63,93.19,108.78,#FFFFFF,#FFFFFF,#FFFFFF
DDOG,87.34,72.48,76.98,#FFFFFF,#FFFFFF,#FFFFFF
MMSI,102.09,107.94,105.56,#FFFFFF,#FFFFFF,#FFFFFF
FRT,95.21,93.67,111.39,#FFFFFF,#FFFFFF,#FFFFFF
XOM,98.25,99.28,96.66,#FFFFFF,#FFFFFF,#FFFFFF
XMTR,64.49,49.76,35.13,#FFFFFF,#FFFFFF,#FFFFFF
PD,90.08,110.46,106.31,#FFFFFF,#FFFFFF,#FFFFFF
NVST,90.68,80.01,82.84,#FFFFFF,#FFFFFF,#FFFFFF
TEVA,89.99,82.98,89.02,#FFFFFF,#FFFFFF,#FFFFFF
RH,75.92,96.6,104.77,#FFFFFF,#FFFFFF,#FFFFFF
MCS,110.67,102.84,91.36,#FFFFFF,#FFFFFF,#FFFFFF
IBM,107.73,94.57,77.06,#FFFFFF,#FFFFFF,#FFFFFF
DXCM,105.68,90.17,87.44,#FFFFFF,#FFFFFF,#FFFFFF
IMCR,97.38,78.71,93.63,#FFFFFF,#FFFFFF,#FFFFFF
RPD,116.38,137.27,165.52,#FFFFFF,#FFFFFF,#FFFFFF
EVRG,94.66,93.04,81.61,#FFFFFF,#FFFFFF,#FFFFFF
U,54.9,45.65,36.81,#FFFFFF,#FFFFFF,#FFFFFF
AWK,100.3,101.82,103.32,#FFFFFF,#FFFFFF,#FFFFFF
MKSI,86.39,79.34,96.87,#FFFFFF,#FFFFFF,#FFFFFF
SPCE,94.95,101.89,186.75,#FFFFFF,#FFFFFF,#FFFFFF
PODD,86.06,72.4,64.2,#FFFFFF,#FFFFFF,#FFFFFF
VNET,69.39,139.86,36.49,#FFFFFF,#FFFFFF,#FFFFFF
VECO,86.05,86.58,116.85,#FFFFFF,#FFFFFF,#FFFFFF
CHEF,95.96,81.17,61.1,#FFFFFF,#FFFFFF,#FFFFFF
UNIT,96.78,115.16,121.21,#FFFFFF,#FFFFFF,#FFFFFF
BTSG,82.32,66.39,51.71,#FFFFFF,#FFFFFF,#FFFFFF
APLS,71.76,91.88,145.98,#FFFFFF,#FFFFFF,#FFFFFF
TRIP,78.83,77.93,74.49,#FFFFFF,#FFFFFF,#FFFFFF
GOSS,45.85,52.35,33.25,#FFFFFF,#FFFFFF,#FFFFFF
AXON,105.9,75.99,49.09,#FFFFFF,#FFFFFF,#FFFFFF
GKOS,107.36,112.41,138.31,#FFFFFF,#FFFFFF,#FFFFFF
TNDM,166.56,152.63,326.43,#FFFFFF,#FFFFFF,#FFFFFF
VRNT,90.11,106.98,127.35,#FFFFFF,#FFFFFF,#FFFFFF
CYRX,70.05,65.08,79.19,#FFFFFF,#FFFFFF,#FFFFFF
MGNI,72.24,51.66,52.4,#FFFFFF,#FFFFFF,#FFFFFF
POST,107.31,105.95,108.86,#FFFFFF,#FFFFFF,#FFFFFF
PTCT,87.26,93.29,53.99,#FFFFFF,#FFFFFF,#FFFFFF
PEGA,88.72,63.05,56.56,#FFFFFF,#FFFFFF,#FFFFFF
RKLB,56.13,40.0,13.08,#FFFFFF,#FFFFFF,#FFFFFF
INDI,85.43,57.78,78.52,#FFFFFF,#FFFFFF,#FFFFFF
ABBV,90.66,98.87,91.47,#FFFFFF,#FFFFFF,#FFFFFF
XIFR,89.29,88.59,237.64,#FFFFFF,#FFFFFF,#FFFFFF
NKE,84.88,96.22,103.8,#FFFFFF,#FFFFFF,#FFFFFF
GEO,122.95,123.41,62.45,#FFFFFF,#FFFFFF,#FFFFFF
OMER,83.33,197.65,85.45,#FFFFFF,#FFFFFF,#FFFFFF
GVA,83.17,68.7,66.94,#FFFFFF,#FFFFFF,#FFFFFF
LUV,103.95,101.23,92.28,#FFFFFF,#FFFFFF,#FFFFFF
PATK,82.87,75.99,74.28,#FFFFFF,#FFFFFF,#FFFFFF
TCOM,84.14,85.26,64.7,#FFFFFF,#FFFFFF,#FFFFFF
RWT,90.86,96.91,107.77,#FFFFFF,#FFFFFF,#FFFFFF
XERS,57.55,62.76,35.29,#FFFFFF,#FFFFFF,#FFFFFF
CTO,108.26,106.76,114.46,#FFFFFF,#FFFFFF,#FFFFFF
VAC,85.82,84.01,85.02,#FFFFFF,#FFFFFF,#FFFFFF
PANW,100.06,92.3,87.97,#FFFFFF,#FFFFFF,#FFFFFF
CNX,110.24,104.81,91.99,#FFFFFF,#FFFFFF,#FFFFFF
PRO,116.25,132.37,109.83,#FFFFFF,#FFFFFF,#FFFFFF
AKAM,100.45,103.29,121.19,#FFFFFF,#FFFFFF,#FFFFFF
MTN,102.76,105.3,115.33,#FFFFFF,#FFFFFF,#FFFFFF
FOUR,106.95,96.85,87.0,#FFFFFF,#FFFFFF,#FFFFFF
HLF,87.13,84.92,75.74,#FFFFFF,#FFFFFF,#FFFFFF
AEIS,81.8,68.51,60.41,#FFFFFF,#FFFFFF,#FFFFFF
CMI,81.84,80.62,73.27,#FFFFFF,#FFFFFF,#FFFFFF
DBRG,95.28,84.95,108.24,#FFFFFF,#FFFFFF,#FFFFFF
VERX,148.57,135.72,144.08,#FFFFFF,#FFFFFF,#FFFFFF
PPL,96.22,96.86,87.88,#FFFFFF,#FFFFFF,#FFFFFF
BMY,105.93,121.99,99.65,#FFFFFF,#FFFFFF,#FFFFFF
AR,124.43,116.75,78.46,#FFFFFF,#FFFFFF,#FFFFFF
QD,69.74,64.54,43.5,#FFFFFF,#FFFFFF,#FFFFFF
EQX,65.73,67.74,54.17,#FFFFFF,#FFFFFF,#FFFFFF
BE,40.45,44.49,18.45,#FFFFFF,#FFFFFF,#FFFFFF
MDRX,90.72,108.25,198.97,#FFFFFF,#FFFFFF,#FFFFFF
W,54.65,37.0,50.32,#FFFFFF,#FFFFFF,#FFFFFF
DIS,100.63,83.69,74.67,#FFFFFF,#FFFFFF,#FFFFFF
JAMF,104.37,137.04,179.29,#FFFFFF,#FFFFFF,#FFFFFF
PSEC,113.59,139.44,161.11,#FFFFFF,#FFFFFF,#FFFFFF
SHOP,76.14,66.13,47.53,#FFFFFF,#FFFFFF,#FFFFFF
CMS,99.13,101.11,95.11,#FFFFFF,#FFFFFF,#FFFFFF
BILL,86.35,91.16,104.75,#FFFFFF,#FFFFFF,#FFFFFF
CVX,92.59,99.08,85.39,#FFFFFF,#FFFFFF,#FFFFFF
ALNY,63.19,50.14,53.14,#FFFFFF,#FFFFFF,#FFFFFF
FIVN,105.19,111.75,102.31,#FFFFFF,#FFFFFF,#FFFFFF
PMT,100.79,109.95,98.79,#FFFFFF,#FFFFFF,#FFFFFF
PSN,94.47,78.15,127.93,#FFFFFF,#FFFFFF,#FFFFFF
QTWO,105.13,90.16,85.0,#FFFFFF,#FFFFFF,#FFFFFF
BAND,91.47,95.25,105.58,#FFFFFF,#FFFFFF,#FFFFFF
BYND,126.74,131.4,236.43,#FFFFFF,#FFFFFF,#FFFFFF
CDLX,163.27,252.04,327.55,#FFFFFF,#FFFFFF,#FFFFFF
REAL,64.22,67.59,28.55,#FFFFFF,#FFFFFF,#FFFFFF
WELL,89.57,86.77,75.02,#FFFFFF,#FFFFFF,#FFFFFF
ARAY,78.12,114.38,126.87,#FFFFFF,#FFFFFF,#FFFFFF
TTEK,103.09,82.66,131.29,#FFFFFF,#FFFFFF,#FFFFFF
BURL,84.21,81.16,93.79,#FFFFFF,#FFFFFF,#FFFFFF
NVMI,82.45,79.05,71.43,#FFFFFF,#FFFFFF,#FFFFFF
UPWK,90.44,78.75,57.13,#FFFFFF,#FFFFFF,#FFFFFF
FE,92.84,89.98,97.94,#FFFFFF,#FFFFFF,#FFFFFF
REXR,85.44,91.49,113.48,#FFFFFF,#FFFFFF,#FFFFFF
GTLS,74.25,74.67,53.59,#FFFFFF,#FFFFFF,#FFFFFF
MIRM,63.1,57.0,53.76,#FFFFFF,#FFFFFF,#FFFFFF
SHEL,98.35,93.67,87.88,#FFFFFF,#FFFFFF,#FFFFFF
ATEC,71.96,58.8,35.25,#FFFFFF,#FFFFFF,#FFFFFF
NVCR,143.76,153.95,133.49,#FFFFFF,#FFFFFF,#FFFFFF
SHAK,130.34,88.97,98.69,#FFFFFF,#FFFFFF,#FFFFFF
OKTA,106.74,119.93,75.65,#FFFFFF,#FFFFFF,#FFFFFF
RCL,76.95,61.23,45.34,#FFFFFF,#FFFFFF,#FFFFFF
ITGR,112.54,111.72,116.72,#FFFFFF,#FFFFFF,#FFFFFF
TGT,108.05,112.65,156.76,#FFFFFF,#FFFFFF,#FFFFFF
MTSI,101.93,84.04,74.39,#FFFFFF,#FFFFFF,#FFFFFF
BMRN,102.86,124.69,152.36,#FFFFFF,#FFFFFF,#FFFFFF
WT,74.85,62.3,67.58,#FFFFFF,#FFFFFF,#FFFFFF
BBAI,79.79,73.54,31.04,#FFFFFF,#FFFFFF,#FFFFFF
TSLA,91.97,72.05,65.18,#FFFFFF,#FFFFFF,#FFFFFF
HOUS,66.67,54.08,78.59,#FFFFFF,#FFFFFF,#FFFFFF
LAB,82.03,89.06,156.25,#FFFFFF,#FFFFFF,#FFFFFF
MTCH,79.77,80.01,93.23,#FFFFFF,#FFFFFF,#FFFFFF
MMM,94.14,97.33,83.32,#FFFFFF,#FFFFFF,#FFFFFF
TVTX,69.04,91.17,59.33,#FFFFFF,#FFFFFF,#FFFFFF
CDP,93.44,86.07,92.43,#FFFFFF,#FFFFFF,#FFFFFF
PRCH,60.02,31.66,6.45,#FFFFFF,#FFFFFF,#FFFFFF
RGEN,110.62,126.9,123.6,#FFFFFF,#FFFFFF,#FFFFFF
CMPO,75.04,58.28,52.93,#FFFFFF,#FFFFFF,#FFFFFF
EYE,93.85,51.16,43.83,#FFFFFF,#FFFFFF,#FFFFFF
LYV,82.98,70.03,56.41,#FFFFFF,#FFFFFF,#FFFFFF
ABR,86.7,99.35,101.7,#FFFFFF,#FFFFFF,#FFFFFF
ALRM,102.17,103.96,96.41,#FFFFFF,#FFFFFF,#FFFFFF
SNAP,114.01,118.68,118.68,#FFFFFF,#FFFFFF,#FFFFFF
LNT,95.38,96.77,89.73,#FFFFFF,#FFFFFF,#FFFFFF
AMD,76.05,64.8,91.67,#FFFFFF,#FFFFFF,#FFFFFF
PCT,86.38,56.99,34.72,#FFFFFF,#FFFFFF,#FFFFFF
DUK,96.59,98.04,93.67,#FFFFFF,#FFFFFF,#FFFFFF
CRNC,93.26,101.04,28.53,#FFFFFF,#FFFFFF,#FFFFFF
MGPI,102.07,107.88,277.71,#FFFFFF,#FFFFFF,#FFFFFF
IRTC,78.05,54.01,38.85,#FFFFFF,#FFFFFF,#FFFFFF
AVDL,59.91,53.43,92.3,#FFFFFF,#FFFFFF,#FFFFFF
JPM,89.63,77.19,67.5,#FFFFFF,#FFFFFF,#FFFFFF
LYFT,83.96,64.82,61.28,#FFFFFF,#FFFFFF,#FFFFFF
