Pair,Price,Day,Weekly,Monthly,YTD,YoY,Date
EURUSD,1.18679,0.0105,0.89%,1.41%,1.71%,14.57%,6.70%
GBPUSD,1.36529,0.00519,0.38%,0.98%,1.08%,9.06%,3.69%
AUDUSD,0.66834,0.00111,0.17%,1.49%,2.91%,7.98%,-1.14%
NZDUSD,0.59887,0.00213,0.36%,1.05%,1.10%,7.07%,-3.29%
USDJPY,146.468,0.928,-0.63%,-0.63%,-0.98%,-6.92%,3.16%
USDCNY,7.10431,0.01428,-0.20%,-0.27%,-1.16%,-3.18%,-0.05%
USDCHF,0.78603,0.00865,-1.09%,-1.43%,-2.65%,-13.37%,-7.13%
USDCAD,1.37415,0.00330,-0.24%,-0.76%,-0.44%,-4.42%,1.09%
USDMXN,18.2863,0.0741,-0.40%,-1.83%,-2.62%,-12.30%,-4.36%
USDINR,87.8940,0.2284,-0.26%,-0.40%,0.67%,2.71%,4.92%
USDBRL,5.29530,0.02190,-0.41%,-2.65%,-2.61%,-14.38%,-3.43%
USDRUB,83.3289,0.3289,0.40%,-0.44%,3.82%,-26.58%,-8.93%
USDKRW,1378.64,6.52,-0.47%,-0.76%,-0.74%,-6.74%,4.46%
DXY,96.640,0.662,-0.68%,-1.17%,-1.56%,-10.92%,-4.23%
USDTRY,41.2677,0.0138,-0.03%,0.07%,0.98%,16.79%,21.12%
USDSEK,9.22770,0.0506,-0.55%,-1.62%,-3.46%,-16.59%,-9.34%
USDPLN,3.58031,0.02954,-0.82%,-1.42%,-1.64%,-13.32%,-6.80%
USDNOK,9.75868,0.06462,-0.66%,-2.18%,-4.36%,-14.28%,-7.88%
USDZAR,17.3482,0.0004,0.00%,-1.03%,-1.53%,-7.96%,-1.38%
USDDKK,6.28960,0.05573,-0.88%,-1.40%,-1.67%,-12.63%,-6.24%
USDSGD,1.27595,0.0045,-0.35%,-0.56%,-0.67%,-6.57%,-1.54%
USDILS,3.31977,0.02940,-0.88%,-0.71%,-1.67%,-8.73%,-11.83%
USDHKD,7.78076,0.00145,0.02%,-0.11%,-0.51%,0.18%,-0.17%
USDCLP,947.900,3.920,-0.41%,-2.00%,-1.71%,-4.68%,1.83%
USDPKR,281.500,2.060,-0.73%,-0.83%,-0.20%,1.12%,0.98%
USDCZK,20.4853,0.1854,-0.90%,-1.58%,-2.26%,-15.79%,-9.18%
USDHUF,328.211,2.834,-0.86%,-2.26%,-2.97%,-17.37%,-7.46%
USDRON,4.26620,0.03740,-0.87%,-1.52%,-1.60%,-11.22%,-4.60%
USDUAH,41.1717,0.0783,-0.19%,-0.43%,-0.43%,-2.09%,-0.89%
USDBYR,3.38610,0.00100,0.03%,0.03%,1.65%,3.67%,3.30%
USDRSD,98.736,0.896,-0.90%,-1.35%,-1.72%,-12.64%,-6.21%
USDBAM,1.64810,0.01430,-0.86%,-1.34%,-1.71%,-12.73%,-6.30%
USDISK,120.500,1.260,-1.03%,-1.60%,-1.75%,-13.30%,-12.00%
USDALL,81.420,0.975,-1.18%,-1.82%,-2.26%,-14.12%,-8.87%
USDMKD,52.3950,0.1250,-0.24%,-0.13%,-0.59%,-11.09%,-5.23%
USDMDL,16.4700,0.0600,-0.36%,0.12%,-0.78%,-9.91%,-5.83%
USDBGN,1.64810,0.01440,-0.87%,-1.36%,-1.69%,-12.77%,-6.25%
USDARS,1469.506,3.693,0.25%,3.79%,13.67%,42.53%,52.90%
USDCOP,3867.63,39.37,-1.01%,-1.40%,-3.85%,-12.21%,-8.03%
USDPEN,3.47900,0.01100,-0.32%,-0.39%,-2.25%,-7.32%,-8.17%
USDCUC,24.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%
USDDOP,62.5000,0.2000,-0.32%,-1.75%,1.69%,2.64%,4.08%
USDGTQ,7.66000,0.00550,-0.07%,-0.07%,-0.13%,-0.58%,-1.13%
USDURY,40.1849,0.0199,0.05%,0.63%,0.60%,-7.96%,-1.63%
USDCRC,503.950,0.240,0.05%,-0.07%,-0.27%,-0.53%,-2.85%
USDPAB,1.00000,0.00000,0.00%,0.00%,-0.20%,0.00%,-0.16%
USDBOB,6.91360,0.02140,-0.31%,-0.31%,0.20%,-0.31%,-0.12%
USDPYG,7138.92,2.92,0.04%,-0.34%,-2.37%,-8.62%,-8.37%
USDSVC,8.75380,0.00100,-0.01%,-0.01%,0.20%,0.05%,-0.13%
USDTTD,6.79500,0.00340,0.05%,0.11%,0.30%,0.43%,-0.09%
USDHNL,26.2209,0.0000,0.00%,0.07%,0.12%,3.58%,5.53%
USDJMD,160.782,0.072,0.04%,0.42%,0.63%,3.92%,2.23%
