Crypto,Price,Day,Weekly,Monthly,YTD,YoY,MarketCap,Date
Bitcoin,116816,1370,1.19%,4.68%,-0.60%,25.12%,93.90%,"$2,329,195M"
Ether,4515.10,12.05,-0.27%,4.58%,0.77%,35.28%,92.88%,"$689,541M"
Binance,956.8,38.4,4.19%,9.00%,11.78%,37.09%,75.40%,"$132,918M"
Cardano,0.88294,0.0191,2.21%,2.03%,-8.20%,4.76%,164.35%,"$31,389M"
Solana,237.9587,3.6187,1.54%,9.50%,24.46%,25.80%,81.08%,"$129,070M"
Ripple,3.05118,0.05363,1.79%,3.48%,-1.28%,46.99%,421.48%,"$182,106M"
Polkadot,4.28,0.12,2.97%,3.36%,5.53%,-35.33%,3.03%,"$6,915M"
Avalanche,30.04,0.19,0.64%,15.74%,19.76%,-15.53%,26.36%,"$12,660M"
Polygon,0.26,0.00,0.00%,-4.45%,4.50%,-42.73%,-32.30%,$505M
Cosmos,4.55,0.04,0.81%,-0.84%,-1.58%,-26.29%,9.18%,"$2,132M"
Dai,0.99982,0.00010,0.01%,-0.01%,-0.02%,-0.03%,-0.01%,"$5,363M"
Litecoin,115.270,1.49,1.31%,2.93%,-4.60%,12.18%,80.79%,"$8,778M"
Uniswap,9.36,0.19,2.03%,-1.88%,-15.12%,-29.19%,38.15%,"$5,850M"
Algorand,0.24,0.01,2.56%,2.11%,-11.15%,-29.71%,91.41%,"$2,086M"
Bitcoin Cash,600.89,7.15,1.20%,3.44%,3.15%,38.49%,91.65%,"$11,971M"
Stellar,0.38553,0.00455,1.20%,3.70%,-9.22%,16.30%,307.65%,"$12,281M"
Monero,317.690,12.064,3.95%,19.21%,10.05%,64.82%,84.31%,"$5,917M"
Chainlink,23.6281,0.0442,0.19%,2.35%,-8.21%,18.42%,122.42%,"$15,965M"
Tether,1.00,0.00,0.01%,0.03%,-0.03%,0.22%,0.01%,"$170,280M"
USD Coin,1.00,0.00,-0.01%,-0.01%,-0.02%,-0.02%,-0.01%,"$73,220M"
Sui,3.62,0.10,2.79%,4.37%,-3.82%,-12.20%,209.83%,"$12,755M"
Toncoin,3.17,0.01,0.37%,2.32%,-9.93%,-42.49%,-42.75%,"$8,153M"
Tron,0.3428,0.002,-0.59%,2.20%,-3.09%,34.47%,128.18%,"$32,347M"
