Company,Price,Chg,%Chg,YoY
Warner Bros Discovery WBD,18.24,1.22,-6.27%,115.73%
Paramount Global PARA,17.53,1.05,-5.65%,67.75%
Emerson Electric EMR,129.03,6.63,-4.89%,24.12%
Principal Financial PFG,80.09,2.86,-3.45%,-4.45%
Eversource Energy ES,63.44,2.08,-3.17%,-6.99%
Prudential Financial PRU,102.15,3.30,-3.13%,-13.99%
NiSource NI,39.34,1.20,-2.96%,15.10%
