Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
United States,4.0350,0.0090,-0.05%,-0.31%,-0.54%,0.38%,Sep/16
United Kingdom,4.6440,0.0088,0.02%,-0.10%,0.08%,0.87%,Sep/16
Japan,1.6040,0.0020,0.04%,0.03%,0.51%,0.77%,Sep/16
Australia,4.2190,0.0560,-0.06%,-0.05%,-0.15%,0.38%,Sep/16
Germany,2.6955,0.0004,0.03%,-0.08%,0.33%,0.55%,Sep/16
Brazil,13.6300,0.0700,-0.24%,-0.11%,-1.47%,1.59%,Sep/16
Russia,14.1400,0.0500,0.43%,0.67%,-1.08%,-1.49%,Sep/16
India,6.4950,0.0160,0.03%,0.04%,-0.30%,-0.28%,Sep/16
Canada,3.1580,0.0170,-0.08%,-0.33%,-0.08%,0.27%,Sep/16
Italy,3.5044,0.0013,-0.01%,-0.09%,-0.01%,0.00%,Sep/16
France,3.4889,0.0037,0.02%,0.04%,0.30%,0.63%,Sep/16
South Africa,9.2350,0.0350,-0.25%,-0.41%,0.20%,0.38%,Sep/16
Switzerland,0.2890,0.0040,0.03%,-0.06%,0.04%,-0.13%,Sep/16
Mexico,8.5640,0.1700,-0.16%,-0.39%,-1.85%,-0.68%,Sep/12
Netherlands,2.8600,0.0065,0.03%,-0.08%,0.27%,0.42%,Sep/16
New Zealand,4.2950,0.0417,-0.03%,-0.16%,-0.13%,0.19%,Sep/16
Portugal,3.1000,0.0040,0.01%,-0.07%,0.26%,0.37%,Sep/16
South Korea,2.8060,0.0150,-0.02%,-0.02%,-0.07%,-0.17%,Sep/16
Spain,3.2500,0.0000,0.00%,-0.08%,0.19%,0.31%,Sep/16
Greece,3.3740,0.0020,0.03%,-0.07%,0.17%,0.27%,Sep/16
Turkey,29.3500,0.5800,1.27%,2.59%,4.65%,4.71%,Sep/16
Finland,3.0680,0.0030,0.03%,-0.08%,0.31%,0.46%,Sep/16
Lithuania,3.5850,0.0050,0.01%,0.03%,0.36%,0.30%,Sep/16
Norway,4.0100,0.0100,0.11%,0.09%,0.16%,0.78%,Sep/16
Poland,5.5060,0.1860,0.08%,0.07%,-0.36%,0.19%,Sep/16
Romania,7.3700,0.2300,-0.26%,0.02%,0.03%,0.55%,Sep/16
Slovakia,3.4760,0.0180,0.02%,-0.07%,0.28%,0.26%,Sep/16
Slovenia,3.0360,0.0020,0.04%,-0.06%,0.00%,0.11%,Sep/16
Sweden,2.5350,0.0060,0.06%,0.11%,0.21%,0.65%,Sep/16
Hungary,7.0200,0.0500,-0.12%,-0.02%,0.48%,0.74%,Sep/16
Iceland,6.8580,0.0010,-0.03%,-0.16%,-0.04%,-0.16%,Sep/16
Ireland,2.9402,0.0021,0.04%,-0.08%,0.30%,0.43%,Sep/16
Austria,3.0048,0.0006,0.03%,-0.07%,0.24%,0.35%,Sep/16
Belgium,3.2312,0.0115,0.02%,-0.06%,0.25%,0.50%,Sep/16
Croatia,3.0680,0.0000,-0.04%,-0.08%,0.11%,-0.18%,Sep/15
Czech Republic,4.3490,0.0190,0.02%,0.03%,0.21%,0.67%,Sep/16
Denmark,2.5340,0.0027,0.04%,-0.09%,0.45%,0.46%,Sep/16
Euro area,3.16,0.02,0.03%,-0.05%,0.21%,0.33%,Sep/15
Chile,5.5400,0.0600,-0.06%,-0.03%,-0.30%,0.28%,Sep/15
Colombia,11.1850,0.1050,-0.21%,-0.57%,-0.39%,1.64%,Sep/16
China,1.8550,0.0340,0.06%,0.09%,0.18%,-0.18%,Sep/16
Singapore,1.7660,0.0200,-0.08%,-0.12%,-1.10%,-0.64%,Sep/16
Taiwan,1.3780,0.0080,0.00%,-0.01%,-0.29%,-0.07%,Sep/16
Thailand,1.2800,0.0150,0.05%,-0.05%,-0.99%,-1.26%,Sep/15
Vietnam,3.6900,0.0000,0.02%,0.14%,0.57%,0.91%,Sep/16
Hong Kong,3.0400,0.0560,0.03%,-0.01%,-0.77%,0.38%,Sep/16
Indonesia,6.3310,0.0040,-0.13%,-0.06%,-0.67%,-0.23%,Sep/16
Israel,4.1670,0.0570,0.08%,0.02%,-0.30%,-0.84%,Sep/16
Malaysia,3.4190,0.0000,0.01%,0.04%,-0.40%,-0.34%,Sep/12
Pakistan,11.9950,0.0030,0.01%,0.01%,-0.17%,-1.13%,Sep/16
Philippines,5.9540,0.0000,-0.01%,-0.06%,-0.27%,-0.10%,Sep/16
Zambia,19.5000,0.0100,0.00%,-0.01%,-2.65%,-6.88%,Sep/16
Kenya,13.4300,0.0000,-0.01%,0.04%,-0.91%,-3.47%,Sep/16
Nigeria,16.6330,0.0010,0.01%,0.96%,-5.11%,-3.22%,Sep/15
