Company,Price,Chg,%Chg,YoY
APA APA,24.51,1.60,6.98%,-2.99%
Steel Dynamics STLD,139.67,8.09,6.15%,22.00%
Occidental Petroleum OXY,47.76,2.29,5.04%,-8.33%
Hershey HSY,193.45,7.89,4.25%,-2.95%
Bunge BG,83.68,3.38,4.21%,-14.37%
Moderna MRNA,24.84,0.96,4.02%,-65.48%
Devon Energy DVN,34.97,1.20,3.55%,-13.70%
