Ticker,Company Name,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Debt Class,Spread 1Y,Spread 3Y,Spread 5Y
BKNG,Booking Holdings Inc.,5577.32,5505.55,5577.32,5456.97,-1.01,-2.17,-1.67,-3.51,-1.01,-2.63,-2.34,-3.31,N/A,,,
AXON,"Axon Enterprise, Inc.",733.81,743.59,748.83,726.0,-6.44,-3.98,-0.5,-3.31,-4.71,-3.38,-2.61,-4.61,N/A,,,
SPOT,Spotify Technology S.A.,669.81,689.62,691.7,663.06,-2.78,-3.6,1.14,-0.98,0.12,-0.95,-1.55,-2.59,N/A,,,
TYL,"Tyler Technologies, Inc.",555.24,552.49,560.17,548.4,-0.37,0.36,-1.85,0.97,-0.48,-0.15,-1.52,0.24,N/A,,,
MSFT,Microsoft Corporation,500.0,505.12,505.92,496.81,-1.7,-0.86,-0.31,0.61,-0.72,0.19,-1.52,-0.34,N/A,,,
HUBS,"HubSpot, Inc.",470.52,471.54,475.02,462.3,-1.45,1.06,-2.41,3.11,-2.16,1.0,-3.04,1.27,N/A,,,
CYBR,CyberArk Software Ltd.,445.67,453.17,454.98,443.23,-1.56,1.41,-0.02,3.45,-0.46,2.48,-1.83,1.3,N/A,,,
ALNY,"Alnylam Pharmaceuticals, Inc.",445.84,447.0,454.5,441.5,-1.41,-1.25,0.11,-0.93,0.12,0.66,-0.74,-0.62,N/A,,,
CMI,Cummins Inc.,392.87,395.23,395.81,391.69,-1.55,-0.71,-0.81,-0.81,-1.47,-0.87,-0.91,-0.84,N/A,,,
RCL,Royal Caribbean Cruises Ltd.,355.5,354.08,358.3,348.27,-2.58,2.81,-2.52,0.1,-2.24,1.2,-2.49,0.77,N/A,,,
V,Visa Inc.,349.31,350.07,350.17,346.08,-0.33,0.18,-0.49,-0.32,-0.7,-0.91,-0.84,-0.39,N/A,,,
PODD,Insulet Corporation,338.13,344.92,350.0,334.91,0.24,2.28,1.48,3.94,2.6,5.32,-0.27,1.84,N/A,,,
MSTR,MicroStrategy Incorporated,334.93,341.62,348.6,331.57,0.1,-2.01,2.16,-2.77,2.64,-0.96,-0.32,-2.67,N/A,,,
