Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Last Option Price,Last Stock Price,Implied Volatility,Spread,Mid Price
COIN,COIN271217P00125000,Put,2027-12-17,125.0,2.5500000000000003,12.35,13.2,2.0,26.0,12.5,319.6199951171875,0.5847209497070311,0.8499999999999996,12.774999999999999
MSTR,MSTR251219P00640000,Put,2025-12-19,640.0,0.65,250.25,253.1,1.0,20.0,252.0,400.25,0.6721834539794924,2.8499999999999943,251.675
MSTR,MSTR260320P00770000,Put,2026-03-20,770.0,0.5,404.75,407.2,10.0,9.0,405.2,400.25,0.9093331820678712,2.4499999999999886,405.975
MSTR,MSTR260618P00137000,Put,2026-06-18,137.0,2.9000000000000004,18.5,21.2,6.0,21.0,20.35,400.25,1.1779521083068845,2.6999999999999993,19.85
MSTR,MSTR260618P00940000,Put,2026-06-18,940.0,0.45,546.0,549.95,16.0,8.0,546.33,400.25,0.5923807852172852,3.9500000000000455,547.975
MSTR,MSTR260618P01020000,Put,2026-06-18,1020.0,0.4,624.4,628.3,10.0,43.0,626.19,400.25,0.6041299353027345,3.8999999999999773,626.3499999999999
MSTR,MSTR261218C00195000,Call,2026-12-18,195.0,2.0500000000000003,228.85,237.05,1.0,75.0,232.57,400.25,0.7636132037353516,8.200000000000017,232.95
MSTR,MSTR270115P00840000,Put,2027-01-15,840.0,0.5,483.5,496.9,11.0,12.0,488.98,400.25,0.7179669927215576,13.399999999999977,490.2
MSTR,MSTR270115P01020000,Put,2027-01-15,1020.0,0.4,706.0,726.0,2.0,6.0,722.0,400.25,1.058026255302429,20.0,716.0
MSTR,MSTR270617C00090000,Call,2027-06-17,90.0,4.45,321.1,335.8,10.0,11.0,321.17,400.25,1.06271830947876,14.699999999999989,328.45000000000005
MSTR,MSTR270617C00125000,Call,2027-06-17,125.0,3.2,262.0,281.45,10.0,19.0,272.0,400.25,0.6056252816772462,19.44999999999999,271.725
MSTR,MSTR270617P00810000,Put,2027-06-17,810.0,0.5,465.95,478.5,1.0,10.0,470.29,400.25,0.6754259142303468,12.550000000000011,472.225
MSTR,MSTR271217P00560000,Put,2027-12-17,560.0,0.7000000000000001,232.05,237.75,1.0,10.0,233.99,400.25,0.5078631977844239,5.699999999999989,234.9
BBIO,BBIO270115C00012500,Call,2027-01-15,12.5,3.85,32.5,37.5,1.0,7.0,33.0,48.2400016784668,1.0131885278320314,5.0,35.0
BBIO,BBIO270115C00022500,Call,2027-01-15,22.5,2.15,25.0,29.5,1.0,12.0,26.0,48.2400016784668,0.5798381860351562,4.5,27.25
DDOG,DDOG261218P00090000,Put,2026-12-18,90.0,1.4500000000000002,6.2,7.25,2.0,34.0,6.2,128.8300018310547,0.4275569940185547,1.0499999999999998,6.725
DDOG,DDOG261218P00095000,Put,2026-12-18,95.0,1.35,7.35,8.4,2.0,68.0,7.71,128.8300018310547,0.4143735321044921,1.0500000000000007,7.875
ETSY,ETSY261218P00095000,Put,2026-12-18,95.0,0.65,41.6,42.4,2.0,10.0,42.02,61.77000045776367,0.6104164935302736,0.7999999999999972,42.0
