Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Last Option Price,Last Stock Price,Implied Volatility,Spread,Mid Price
COIN,COIN251219C00135000,Call,2025-12-19,135.0,2.35,180.95,185.8,4.0,111.0,216.0,319.6199951171875,0.7788108056640625,4.850000000000023,183.375
COIN,COIN260116C00125000,Call,2026-01-16,125.0,2.5500000000000003,251.9,258.75,2.0,82.0,236.45,319.6199951171875,2.8877591282653805,6.849999999999994,255.325
COIN,COIN260320C00125000,Call,2026-03-20,125.0,2.5500000000000003,255.75,260.0,1.0,58.0,220.15,319.6199951171875,2.515323535919189,4.25,257.875
COIN,COIN260320C00165000,Call,2026-03-20,165.0,1.95,252.2,256.2,3.0,83.0,108.72,319.6199951171875,2.7051423973083493,4.0,254.2
COIN,COIN260515C00130000,Call,2026-05-15,130.0,2.45,265.35,271.4,1.0,74.0,228.69,319.6199951171875,2.5695836541748047,6.0499999999999545,268.375
COIN,COIN260515C00135000,Call,2026-05-15,135.0,2.35,260.95,267.35,1.0,97.0,229.3,319.6199951171875,2.4857825941467286,6.400000000000034,264.15
COIN,COIN260515P00480000,Put,2026-05-15,480.0,0.65,215.0,218.0,2.0,89.0,242.05,319.6199951171875,0.8948832533264159,3.0,216.5
COIN,COIN260618C00155000,Call,2026-06-18,155.0,2.0500000000000003,264.35,270.35,10.0,25.0,119.1,319.6199951171875,2.5383337322998045,6.0,267.35
COIN,COIN260918C00090000,Call,2026-09-18,90.0,3.5500000000000003,304.8,311.55,20.0,28.0,298.1,319.6199951171875,3.442384206542969,6.75,308.175
COIN,COIN260918C00110000,Call,2026-09-18,110.0,2.9000000000000004,286.45,293.4,10.0,27.0,236.0,319.6199951171875,2.636783193206787,6.949999999999989,289.92499999999995
COIN,COIN260918C00140000,Call,2026-09-18,140.0,2.3000000000000003,260.05,267.15,5.0,52.0,212.75,319.6199951171875,2.0755052995300285,7.099999999999966,263.6
COIN,COIN260918C00160000,Call,2026-09-18,160.0,2.0,229.9,236.7,1.0,76.0,197.07,319.6199951171875,1.612215073699951,6.799999999999983,233.3
COIN,COIN261218C00125000,Call,2026-12-18,125.0,2.5500000000000003,304.35,310.15,1.0,89.0,198.54,319.6199951171875,3.19214069152832,5.7999999999999545,307.25
COIN,COIN261218P00690000,Put,2026-12-18,690.0,0.45,380.0,384.8,2.0,79.0,352.26,319.6199951171875,0.5069324209594727,4.800000000000011,382.4
COIN,COIN271217P00125000,Put,2027-12-17,125.0,2.5500000000000003,12.35,13.2,2.0,26.0,12.5,319.6199951171875,0.5847209497070311,0.8499999999999996,12.774999999999999
MSTR,MSTR250919P00620000,Put,2025-09-19,620.0,0.65,224.35,226.25,5.0,41.0,193.35,400.25,0.9519047778320312,1.9000000000000057,225.3
MSTR,MSTR251219C00028000,Call,2025-12-19,28.0,14.3,363.9,377.55,10.0,198.0,355.02,400.25,3.1701680902099607,13.650000000000034,370.725
MSTR,MSTR251219C00083000,Call,2025-12-19,83.0,4.800000000000001,316.0,329.6,2.0,40.0,272.5,400.25,1.7951670397949218,13.600000000000023,322.8
MSTR,MSTR251219C00086000,Call,2025-12-19,86.0,4.65,321.3,324.85,8.0,50.0,294.59,400.25,1.9797364294433597,3.5500000000000114,323.07500000000005
MSTR,MSTR251219C00096000,Call,2025-12-19,96.0,4.15,340.0,352.65,1.0,32.0,132.7,400.25,3.377931242675781,12.649999999999977,346.325
MSTR,MSTR251219C00127000,Call,2025-12-19,127.0,3.1500000000000004,283.1,294.1,1.0,52.0,225.25,400.25,1.7708751690673827,11.0,288.6
MSTR,MSTR251219C00141000,Call,2025-12-19,141.0,2.85,286.65,288.8,1.0,230.0,169.04,400.25,2.0509692280578613,2.150000000000034,287.725
MSTR,MSTR251219C00142000,Call,2025-12-19,142.0,2.8000000000000003,285.8,287.85,1.0,270.0,168.39,400.25,2.0416308724975583,2.0500000000000114,286.82500000000005
MSTR,MSTR251219C00174000,Call,2025-12-19,174.0,2.3000000000000003,236.65,240.7,1.0,182.0,223.65,400.25,1.2479285650634764,4.049999999999983,238.675
MSTR,MSTR251219P00052000,Put,2025-12-19,52.0,7.7,0.64,0.76,1.0,164.0,0.95,400.25,1.588869243164062,0.12,0.7
MSTR,MSTR251219P00118000,Put,2025-12-19,118.0,3.4000000000000004,2.56,3.1,5.0,73.0,2.1,400.25,1.2133828393554684,0.54,2.83
MSTR,MSTR251219P00132000,Put,2025-12-19,132.0,3.0500000000000003,3.05,3.6,5.0,137.0,2.58,400.25,1.1462445031738282,0.5500000000000003,3.325
MSTR,MSTR251219P00174000,Put,2025-12-19,174.0,2.3000000000000003,4.85,5.45,3.0,102.0,4.05,400.25,0.977661356201172,0.6000000000000005,5.15
MSTR,MSTR251219P00182000,Put,2025-12-19,182.0,2.2,5.2,5.7,1.0,129.0,4.53,400.25,0.9447027014160156,0.5,5.45
MSTR,MSTR251219P00620000,Put,2025-12-19,620.0,0.65,231.55,233.65,10.0,41.0,204.73,400.25,0.6578403356933593,2.0999999999999943,232.60000000000002
MSTR,MSTR251219P00650000,Put,2025-12-19,650.0,0.6000000000000001,248.05,251.4,1.0,39.0,264.24,400.25,0.4393366613769531,3.3499999999999943,249.72500000000002
MSTR,MSTR251219P00840000,Put,2025-12-19,840.0,0.5,444.05,447.6,10.0,35.0,413.85,400.25,0.7758811474609376,3.5500000000000114,445.82500000000005
MSTR,MSTR251219P00950000,Put,2025-12-19,950.0,0.4,579.85,582.0,2.0,225.0,544.34,400.25,1.3111759294891354,2.1499999999999773,580.925
MSTR,MSTR260116C00025000,Call,2026-01-16,25.0,16.0,368.45,381.55,10.0,35.0,315.3,400.25,3.194826231689453,13.100000000000023,375.0
MSTR,MSTR260116C00036000,Call,2026-01-16,36.0,11.1,367.85,375.85,10.0,50.0,298.8,400.25,2.821047869262696,8.0,371.85
MSTR,MSTR260116C00054000,Call,2026-01-16,54.0,7.4,352.3,359.3,11.0,60.0,283.8,400.25,2.432132825927734,7.0,355.8
MSTR,MSTR260116C00071000,Call,2026-01-16,71.0,5.65,325.6,329.55,1.0,81.0,360.6,400.25,1.087895185546875,3.9499999999999886,327.57500000000005
MSTR,MSTR260116C00098000,Call,2026-01-16,98.0,4.1000000000000005,300.25,304.2,1.0,50.0,312.6,400.25,1.1733439770507812,3.9499999999999886,302.225
MSTR,MSTR260116C00115000,Call,2026-01-16,115.0,3.5,291.85,297.0,10.0,106.0,270.8,400.25,1.4816920446777342,5.149999999999977,294.425
MSTR,MSTR260116C00122000,Call,2026-01-16,122.0,3.3000000000000003,305.5,309.15,2.0,74.0,256.12,400.25,2.1148728768920897,3.6499999999999773,307.325
MSTR,MSTR260116C00123000,Call,2026-01-16,123.0,3.25,304.3,308.05,2.0,48.0,252.08,400.25,2.0964403057861327,3.75,306.175
MSTR,MSTR260116C00125000,Call,2026-01-16,125.0,3.2,274.95,278.75,1.0,164.0,296.47,400.25,0.945190977783203,3.8000000000000114,276.85
MSTR,MSTR260116C00127000,Call,2026-01-16,127.0,3.1500000000000004,299.75,302.6,1.0,70.0,189.33,400.25,2.012517175750732,2.8500000000000227,301.175
MSTR,MSTR260116C00128000,Call,2026-01-16,128.0,3.1500000000000004,277.85,280.75,10.0,61.0,179.25,400.25,1.269656972045898,2.8999999999999773,279.3
MSTR,MSTR260116C00136000,Call,2026-01-16,136.0,2.95,273.6,275.8,1.0,173.0,198.25,400.25,1.3463777798461911,2.1999999999999886,274.70000000000005
MSTR,MSTR260116C00141000,Call,2026-01-16,141.0,2.85,288.25,290.45,1.0,214.0,158.2,400.25,1.905395980834961,2.1999999999999886,289.35
MSTR,MSTR260116C00155000,Call,2026-01-16,155.0,2.6,301.3,308.9,3.0,46.0,229.1,400.25,2.4918860945129397,7.599999999999966,305.1
MSTR,MSTR260116C00158000,Call,2026-01-16,158.0,2.5500000000000003,271.35,275.4,1.0,289.0,223.19,400.25,1.74862796585083,4.0499999999999545,273.375
MSTR,MSTR260116C00185000,Call,2026-01-16,185.0,2.15,219.95,222.7,1.0,195.0,255.57,400.25,0.8646864117431641,2.75,221.325
MSTR,MSTR260116P00044000,Put,2026-01-16,44.0,9.1,0.61,0.74,5.0,174.0,0.75,400.25,1.555666284179687,0.13,0.675
MSTR,MSTR260116P00136000,Put,2026-01-16,136.0,2.95,3.85,4.15,5.0,89.0,6.25,400.25,1.054936365966797,0.30000000000000027,4.0
MSTR,MSTR260116P00144000,Put,2026-01-16,144.0,2.8000000000000003,9.4,10.15,3.0,66.0,22.2,400.25,1.2577551760864258,0.75,9.775
MSTR,MSTR260116P00194000,Put,2026-01-16,194.0,2.0500000000000003,4.65,5.55,3.0,239.0,7.5,400.25,0.7839377075195313,0.8999999999999995,5.1
MSTR,MSTR260116P00560000,Put,2026-01-16,560.0,0.7000000000000001,201.25,209.2,2.0,64.0,178.87,400.25,0.8680127944946289,7.949999999999989,205.225
MSTR,MSTR260116P00570000,Put,2026-01-16,570.0,0.7000000000000001,187.8,190.8,1.0,111.0,166.11,400.25,0.6085549398803712,3.0,189.3
MSTR,MSTR260116P00690000,Put,2026-01-16,690.0,0.6000000000000001,296.4,299.55,5.0,32.0,317.7,400.25,0.6076699389648439,3.150000000000034,297.975
MSTR,MSTR260116P00730000,Put,2026-01-16,730.0,0.55,410.1,420.15,10.0,44.0,435.25,400.25,1.5223412554931637,10.049999999999955,415.125
MSTR,MSTR260116P00820000,Put,2026-01-16,820.0,0.5,449.0,450.8,5.0,26.0,421.63,400.25,1.058293282775879,1.8000000000000114,449.9
MSTR,MSTR260116P00870000,Put,2026-01-16,870.0,0.45,495.35,497.9,12.0,29.0,480.1,400.25,1.066075226287842,2.5499999999999545,496.625
MSTR,MSTR260116P00890000,Put,2026-01-16,890.0,0.45,559.3,570.4,2.0,26.0,573.05,400.25,1.6022969104003906,11.100000000000023,564.8499999999999
MSTR,MSTR260116P00910000,Put,2026-01-16,910.0,0.45,534.5,537.2,2.0,33.0,518.55,400.25,1.0917403811645507,2.7000000000000455,535.85
MSTR,MSTR260116P00930000,Put,2026-01-16,930.0,0.45,554.35,556.95,12.0,40.0,535.06,400.25,1.1060835711669923,2.6000000000000227,555.6500000000001
MSTR,MSTR260116P00940000,Put,2026-01-16,940.0,0.45,605.05,617.3,2.0,27.0,621.45,400.25,1.6129169744873046,12.25,611.175
MSTR,MSTR260320C00170000,Call,2026-03-20,170.0,2.35,290.95,295.45,1.0,52.0,226.12,400.25,1.989471488189697,4.5,293.2
MSTR,MSTR260618C00020000,Call,2026-06-18,20.0,20.0,376.05,392.7,1.0,24.0,362.13,400.25,2.232914573974609,16.649999999999977,384.375
MSTR,MSTR260618C00050000,Call,2026-06-18,50.0,8.0,369.25,377.55,5.0,32.0,221.58,400.25,2.5644567138671874,8.300000000000011,373.4
MSTR,MSTR260618C00075000,Call,2026-06-18,75.0,5.3500000000000005,347.55,354.9,10.0,36.0,212.0,400.25,2.052434068145752,7.349999999999966,351.225
MSTR,MSTR260618C00109000,Call,2026-06-18,109.0,3.65,319.6,333.4,4.0,56.0,252.5,400.25,1.7999887930297849,13.799999999999955,326.5
MSTR,MSTR260618C00110000,Call,2026-06-18,110.0,3.65,318.85,327.75,2.0,176.0,204.0,400.25,1.7327894219970703,8.899999999999977,323.3
MSTR,MSTR260618C00112000,Call,2026-06-18,112.0,3.5500000000000003,317.35,331.5,10.0,46.0,257.3,400.25,1.7843638711547851,14.149999999999977,324.425
MSTR,MSTR260618C00113000,Call,2026-06-18,113.0,3.5500000000000003,316.65,330.7,8.0,40.0,253.65,400.25,1.7778331420898437,14.050000000000011,323.67499999999995
MSTR,MSTR260618C00114000,Call,2026-06-18,114.0,3.5,316.0,330.1,12.0,30.0,255.5,400.25,1.774354155578613,14.100000000000023,323.05
MSTR,MSTR260618C00115000,Call,2026-06-18,115.0,3.5,289.5,293.4,4.0,101.0,297.6,400.25,0.9521489160156248,3.8999999999999773,291.45
MSTR,MSTR260618C00123000,Call,2026-06-18,123.0,3.25,309.9,313.9,1.0,29.0,258.0,400.25,1.621339783935547,4.0,311.9
MSTR,MSTR260618C00139000,Call,2026-06-18,139.0,2.9000000000000004,259.1,262.3,10.0,106.0,287.67,400.25,0.5736126623535156,3.1999999999999886,260.70000000000005
MSTR,MSTR260618C00145000,Call,2026-06-18,145.0,2.75,272.35,275.8,1.0,284.0,265.75,400.25,1.1005904345703126,3.4499999999999886,274.07500000000005
MSTR,MSTR260618C00148000,Call,2026-06-18,148.0,2.7,234.0,253.4,1.0,24.0,223.85,400.25,0.5499312585449221,19.400000000000006,243.7
MSTR,MSTR260618C00165000,Call,2026-06-18,165.0,2.45,245.6,249.45,2.0,52.0,282.47,400.25,0.8469558761596679,3.8499999999999943,247.52499999999998
MSTR,MSTR260618C00174000,Call,2026-06-18,174.0,2.3000000000000003,228.5,232.25,2.0,64.0,219.85,400.25,0.5994913098144532,3.75,230.375
MSTR,MSTR260618C00182000,Call,2026-06-18,182.0,2.2,283.65,289.95,4.0,127.0,228.15,400.25,1.6531084239196778,6.300000000000011,286.79999999999995
MSTR,MSTR260618C00194000,Call,2026-06-18,194.0,2.0500000000000003,230.1,233.6,3.0,50.0,217.6,400.25,0.9361883822631836,3.5,231.85
MSTR,MSTR260618P00126000,Put,2026-06-18,126.0,3.2,7.45,9.05,3.0,50.0,11.6,400.25,0.9556889196777344,1.6000000000000005,8.25
MSTR,MSTR260618P00490000,Put,2026-06-18,490.0,0.8,142.6,144.25,4.0,83.0,132.9,400.25,0.5676160182189942,1.6500000000000057,143.425
MSTR,MSTR260618P00530000,Put,2026-06-18,530.0,0.75,172.6,175.95,6.0,266.0,181.0,400.25,0.569340244140625,3.3499999999999943,174.27499999999998
MSTR,MSTR260618P00540000,Put,2026-06-18,540.0,0.75,180.9,183.2,2.0,141.0,168.06,400.25,0.568287398223877,2.299999999999983,182.05
