Ticker,Latest Close,Close 1d (%),Close 1w (%),Realised Volatility 30d (%),Realised Volatility 60d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score,Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%)
AAL,13.0,-4.05904194090668,-1.2908130243669809,57.58221018002258,55.94609380288429,67.59569240712685,0.34332107851262234,1.4912617876319805,36.46279254905565,68.45714249475931,51.26169630272488,98.4,1.4853887045730123,60.87586435155515,55.11681668105851,52.73023181009122,3.657752630737273,N/A,14.865460597035629,232432,8.011450239785866,N/A,3040777,3.438660729988288,N/A
ABR,11.760000228881836,-0.5917134004705158,2.797208568497285,29.75714960665664,28.71684006084994,41.43758607269145,-0.06425836403224622,1.1556650063605276,20.352821137078514,46.84503643861499,36.567979042261236,72.39999999999999,0.5785772796672671,38.29136654541186,34.532095325426134,40.53374256186189,-0.050018195480846434,N/A,0.9038435108295602,16123,-11.251169703308197,N/A,221390,2.7374693142637048,N/A
AEIS,153.00999450683594,-0.9708109852619508,-0.14357581859775878,39.66372205765924,32.94976466432444,54.93870741774802,0.07227185329292171,-1.8958201858431345,32.61295921255352,63.68226086685925,46.768259266019534,67.60000000000001,0.7720989323684627,51.82570716611863,46.966418384712135,38.61699169952762,-3.4081722396764906,N/A,16.321715718220403,1515,7.370659107016301,N/A,3777,3.9350577875619153,N/A
AG,8.90999984741211,-1.000001695421007,1.2499960715121339,39.6273635175202,56.24537512918231,64.1216265093939,0.008058745520103994,0.7343806292789626,54.01013509457007,72.1706196526597,62.5556613248908,66.0,0.36798751327644064,62.25680390649996,61.98056426177898,68.36349203415932,0.743333667972321,N/A,-4.241865524765416,27984,-17.648097466231132,N/A,731832,1.360088197980089,N/A
AKAM,76.5199966430664,-1.4425589327495005,1.647181035968015,30.306944736069763,25.17484564472937,39.52906709586216,0.15978394244354782,0.3610194924223871,24.46553173788059,56.71393923524049,41.79659613916713,57.599999999999994,-0.20516952481322528,45.05214085880699,42.71485729455473,37.48014658019484,1.0650907370055471,N/A,2.0489205156673194,3076,4.448217317487266,N/A,90074,2.847682119205298,N/A
ALB,81.29000091552734,-0.06146474626774956,-2.166320257186543,68.50287438148096,61.308955750733865,70.20061902725726,-0.0033458643880684607,0.1950207826388941,46.63580497118625,70.26686918970822,58.140864718096786,98.8,1.9985381919271346,60.23744554245628,59.52483826177597,55.91816694133125,8.051748961027362,N/A,14.28245208592601,8009,-20.577151923839747,N/A,361533,1.0933301269772917,N/A
ALHC,15.579999923706056,-1.6414155705633382,1.8966642418348536,54.59819468011864,47.21209472132151,50.4515251673849,-0.27497987072607766,0.715610567333034,45.58952551839149,71.48260479997445,60.56737925853494,7.6,-1.2766892223420725,51.634122203974975,59.386718529513,56.90763162976181,-13.197884201242127,N/A,-6.456106462376908,1957,-64.45695604794768,N/A,35447,13.205799693408277,N/A
ALKT,24.88999938964844,-1.5427266076107746,10.76991611146016,74.26341192124754,62.22165921855549,57.06857611649927,0.04012218626455002,3.1338307261704315,38.19489478960872,57.06857611649927,44.756276500529346,99.6,2.715180333613891,51.734143974000176,49.21715199675074,51.34769326027489,6.09631381257215,N/A,5.720882856224385,589,-42.704280155642024,N/A,4897,0.5544147843942505,N/A
ALRM,57.83000183105469,-2.248137288349911,2.0289370495537784,27.917998064085157,25.40251454571914,31.055837253247557,0.7089887849926547,1.5057653007261074,25.57285096225317,35.352291103837025,30.074922570999675,77.60000000000001,0.4554241294959585,27.875334178636567,29.63463974005948,36.894955133148024,-19.98507063210732,N/A,-5.839117879900467,85,6.25,N/A,444,-0.8928571428571428,N/A
AMBP,3.680000066757202,-2.3872656399110426,-2.3872656399110426,59.241585977124565,46.12724607221136,60.31418829731262,0.232538185217358,0.19651331103497088,27.487947346022217,61.41839387176875,42.2980245516052,91.60000000000001,1.3894719813772607,53.459335704751766,47.83681078289613,67.73694099008402,32.184133911860194,N/A,-7.422752692771404,246,-8.88888888888889,N/A,27111,0.07382525561994759,N/A
AMG,224.3800048828125,-0.24895418890182575,2.414536780932413,26.153067461696764,21.471475792716323,34.42618114691021,-0.0008888974256921013,0.12008418189527444,24.73178662023007,36.80176732740381,30.326444601549472,67.2,0.9552046043319307,30.846900354743823,29.796197519263263,69.69752465553235,73.34646516167717,N/A,-35.27134350862214,112,2.7522935779816518,N/A,368,4.2492917847025495,N/A
APLD,15.949999809265137,-0.6230494239806855,-2.3867829845826933,111.62972236818445,135.57315884415902,143.94123296787114,-0.285626625734337,-1.8337776751539068,110.44806694524168,158.50281272859016,141.0484935312639,42.4,0.2082780269660483,136.19248691087788,142.68913519125198,134.73588614082848,46.8755480609184,N/A,9.20534682704266,59406,-7.257825306377332,N/A,586405,3.6089678238945258,N/A
APLS,27.520000457763672,-1.6088625907686789,0.6215724823504003,65.68653668656522,60.72762183265926,60.72922301343432,-0.2846715343120786,-3.3574922317365217,49.10305191607077,63.18401652778134,55.64957353783747,94.8,1.8251074193023487,57.32230188139768,56.327436392388805,97.03029810743399,5.215053754654042,N/A,-36.30107509399967,6283,1.0941271118262268,N/A,59936,-1.4971978897891434,N/A
