Date,Barclay Hedge Fund Index,Convertible Arbitrage Index,Distressed Securities Index,Equity Long Short Index,Merger Arbitrage Index,Global Macro Index,,,,,,,,,
Jan-21,1.05%,3.34%,2.85%,-0.11%,3.59%,0.52%,,,,,,,,,
Feb-21,2.56%,2.22%,3.66%,5.08%,2.21%,2.27%,,,,,,,,,
Mar-21,1.11%,-0.80%,2.21%,1.45%,-1.05%,1.51%,,,,,,,,,
Apr-21,2.04%,-0.48%,2.06%,1.81%,1.96%,2.18%,,,,,,,,,
May-21,1.02%,0.21%,2.14%,0.71%,0.23%,1.78%,,,,,,,,,
Jun-21,0.77%,0.24%,2.43%,-0.24%,0.29%,-0.78%,,,,,,,,,
Jul-21,-0.18%,-0.24%,0.36%,-0.22%,-1.06%,-0.22%,,,,,,,,,
Aug-21,1.05%,0.04%,1.04%,0.71%,0.18%,0.75%,,,,,,,,,
Sep-21,-0.95%,0.87%,1.05%,0.65%,0.50%,-0.63%,,,,,,,,,
Oct-21,1.57%,1.35%,2.91%,0.82%,0.76%,0.09%,,,,,,,,,
Nov-21,-1.38%,0.11%,-2.65%,-2.34%,-0.10%,-1.18%,,,,,,,,,
Dec-21,1.19%,0.11%,0.72%,2.03%,0.01%,2.29%,,,,,,,,,
Jan-22,-2.62%,-1.08%,-1.86%,-0.96%,-0.39%,0.65%,,,,,,,,,
Feb-22,-0.94%,-0.22%,0.15%,-0.56%,0.21%,1.49%,,,,,,,,,
Mar-22,0.60%,0.11%,1.38%,0.59%,0.56%,4.92%,,,,,,,,,
Apr-22,-2.39%,-0.98%,0.73%,-0.13%,-0.69%,0.24%,,,,,,,,,
May-22,-0.82%,-1.43%,-1.67%,0.24%,-0.58%,-0.19%,,,,,,,,,
Jun-22,-3.85%,-1.29%,-1.95%,-2.73%,-1.20%,-2.49%,,,,,,,,,
Jul-22,2.58%,1.24%,-0.16%,0.92%,1.62%,1.49%,,,,,,,,,
Aug-22,-0.38%,1.62%,0.50%,0.50%,0.22%,0.79%,,,,,,,,,
Sep-22,-3.94%,-1.05%,-0.64%,-1.11%,-0.89%,-1.06%,,,,,,,,,
Oct-22,1.86%,0.32%,0.24%,1.86%,1.79%,0.84%,,,,,,,,,
Nov-22,2.89%,0.74%,-2.54%,1.63%,-0.12%,0.15%,,,,,,,,,
Dec-22,-1.24%,0.72%,-0.93%,-0.23%,0.47%,-0.34%,,,,,,,,,
Jan-23,3.36%,1.34%,1.03%,1.84%,0.52%,1.61%,,,,,,,,,
Feb-23,-1.08%,-0.33%,0.12%,-0.50%,0.09%,-0.88%,,,,,,,,,
Mar-23,0.05%,-0.28%,-2.66%,-0.02%,-0.61%,-0.48%,,,,,,,,,
Apr-23,0.40%,0.16%,0.39%,0.20%,0.31%,-0.12%,,,,,,,,,
May-23,-0.63%,0.60%,0.17%,-0.27%,-1.15%,-0.83%,,,,,,,,,
Jun-23,2.18%,0.78%,0.72%,1.23%,1.13%,2.27%,,,,,,,,,
Jul-23,1.69%,0.53%,0.40%,0.85%,0.96%,0.36%,,,,,,,,,
Aug-23,-0.61%,-0.15%,-0.72%,0.38%,1.05%,-1.44%,,,,,,,,,
Sep-23,-1.27%,-0.04%,0.15%,-0.07%,0.29%,-0.25%,,,,,,,,,
Oct-23,-1.61%,-1.48%,-0.11%,-0.97%,-0.23%,-0.25%,,,,,,,,,
Nov-23,3.82%,1.19%,-0.02%,2.17%,1.23%,2.34%,,,,,,,,,
Dec-23,2.81%,2.38%,2.74%,1.66%,0.93%,2.54%,,,,,,,,,
Jan-24,0.44%,0.25%,0.72%,1.22%,0.03%,0.81%,,,,,,,,,
Feb-24,1.94%,0.71%,1.54%,1.89%,0.37%,1.30%,,,,,,,,,
Mar-24,1.91%,1.46%,1.54%,1.77%,1.00%,2.75%,,,,,,,,,
Apr-24,-1.10%,-0.23%,0.18%,-0.58%,-0.39%,-1.58%,,,,,,,,,
May-24,1.69%,0.94%,1.18%,1.66%,0.85%,1.66%,,,,,,,,,
Jun-24,0.45%,0.40%,0.27%,0.29%,0.21%,0.59%,,,,,,,,,
Jul-24,1.46%,1.35%,0.62%,1.31%,1.46%,0.68%,,,,,,,,,
Aug-24,0.71%,0.92%,0.00%,0.08%,0.34%,-0.20%,,,,,,,,,
Sep-24,1.62%,1.26%,1.31%,0.37%,0.25%,2.48%,,,,,,,,,
Oct-24,-0.59%,0.54%,-0.26%,-0.35%,-0.11%,-1.12%,,,,,,,,,
Nov-24,2.07%,1.22%,1.98%,2.28%,0.63%,1.91%,,,,,,,,,
Dec-24,-1.25%,0.33%,2.56%,-1.08%,-0.27%,-0.36%,,,,,,,,,
Jan-25,1.71%,1.09%,0.36%,1.73%,0.69%,3.20%,,,,,,,,,
Feb-25,-0.16%,1.05%,-1.15%,-0.08%,0.75%,-0.19%,,,,,,,,,
Mar-25,-1.55%,0.14%,-1.42%,-1.68%,0.17%,-0.57%,,,,,,,,,
Apr-25,-0.13%,0.48%,-1.68%,0.16%,0.39%,-1.16%,,,,,,,,,
May-25,2.80%,1.18%,0.75%,3.24%,1.06%,1.30%,,,,,,,,,
Jun-25,2.38%,0.80%,1.79%,2.72%,0.87%,1.96%,,,,,,,,,
Jul-25,0.94%,0.91%,0.95%,0.73%,0.56%,-0.50%,,,,,,,,,
Aug-25,1.99%,1.25%,0.00%,2.60%,1.04%,1.42%,,,,,,,,,
Sep-25,-,-,-,-,-,-,,,,,,,,,
Oct-25,-,-,-,-,-,-,,,,,,,,,
Nov-25,-,-,-,-,-,-,,,,,,,,,
Dec-25,-,-,-,-,-,-,,,,,,,,,
