Ticker,Latest Close,Latest High,Latest Low,Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Realised Volatility 30d (%),Realised Volatility 60d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score Percentile (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%)
AAL,12.885000228881836,N/A,N/A,-2.5340395717122313,-1.716242819890635,N/A,N/A,N/A,N/A,64.25011308997982,53.52047232165046,66.58327190960075,-0.014350063998943657,-0.3271272287515573,36.46279254905565,68.45714249475931,50.93949177567456,90.83665338645417,92.47310158730212,59.95617365251727,54.44386435412947,54.44607170968943,N/A,N/A,12.137200199911327,86799,N/A,N/A,3006735,N/A,N/A
ABR,11.539999961853027,N/A,N/A,0.4351626782495353,-1.92266340276262,N/A,N/A,N/A,N/A,27.127184059790228,28.152922965190918,40.96491358602471,-0.012119121502265809,0.13414795505534793,20.352814954112294,46.84503361653489,36.654539754016376,67.33067729083665,69.48036987046203,38.03855588846333,34.3657289236727,40.51985360825941,N/A,N/A,0.4450599777652968,15672,N/A,N/A,214302,N/A,N/A
AEIS,145.30999755859375,N/A,N/A,-3.390735974564966,-10.589469764605113,N/A,N/A,N/A,N/A,39.5320866030945,33.2578464343249,55.56599857012738,-0.5701745061433903,1.2342231801992947,32.612960776661744,63.68226086685925,46.53239959122523,69.32270916334662,80.33698453000459,51.83177185752604,46.95902174310793,37.27312045374877,N/A,N/A,18.29287811637861,1072,N/A,N/A,3266,N/A,N/A
AG,8.515000343322754,N/A,N/A,1.8540752752508387,-4.753906677950035,N/A,N/A,N/A,N/A,43.864651319867406,57.08672340149585,64.10619140185958,-0.09744951298122428,0.563718496545546,54.01014566144183,72.17061965265955,62.4985378610117,66.13545816733067,64.72204376683399,62.64446207500691,61.98478750535209,64.29067147549128,N/A,N/A,-0.18448007363170404,15421,N/A,N/A,742733,N/A,N/A
AKAM,75.91999816894531,N/A,N/A,-0.7451950722229088,0.6362615482573347,N/A,N/A,N/A,N/A,30.73764886608802,25.67960027312781,39.48562745609319,0.03525393920891729,0.054391446422727634,24.46553173788059,56.71393923524049,41.65660328098814,56.97211155378486,42.25115150939881,45.24923161418417,42.67621413553388,37.216440841189524,-4.842252279524069,N/A,2.269186614903667,2803,-25.70898489265836,N/A,84850,-1.4689659176682344,N/A
ALB,80.55000305175781,N/A,N/A,0.0,-1.3713666490730665,N/A,N/A,N/A,N/A,70.07649422748514,60.94138798605525,70.12305426520132,0.0,0.12369974520816573,46.63579368197087,70.12305426520132,57.85348628252123,99.6,98.15521383031974,60.20375159632751,59.75314011333257,59.01377871466704,N/A,N/A,11.109275550534278,11260,N/A,N/A,365804,N/A,N/A
ALHC,14.8149995803833,N/A,N/A,-0.5704700692828288,0.372624326887503,N/A,N/A,N/A,N/A,53.96275901749424,46.29634683019166,49.99345197218859,-0.49429287814946865,-0.30055517103082074,45.58952551839149,71.48260479997445,60.72096000922833,3.187250996015936,8.546605588783567,51.41794310377943,59.31955832705113,55.42628229360703,N/A,N/A,-5.432830321418443,868,N/A,N/A,27279,N/A,N/A
ALKT,22.18000030517578,N/A,N/A,-1.3783880351145517,-1.8149616850053014,N/A,N/A,N/A,N/A,69.54183089204797,59.17099198849702,55.27041537589851,-0.11548079491263871,-0.35613573046648983,38.19489478960872,55.467956588268976,44.52926887899397,98.00796812749005,99.29454800112667,50.7188372773028,48.39792216969839,51.84436142070429,N/A,N/A,3.42605395519422,869,N/A,N/A,4878,N/A,N/A
ALRM,56.75,N/A,N/A,-1.1496252380531238,-1.3215064227338718,N/A,N/A,N/A,N/A,27.223759940506685,24.371796016234107,30.71482823192187,0.16665256264612593,0.9603035901547154,25.57285096225317,35.352291103837025,30.00757364421151,76.89243027888446,62.61354059894148,27.59725704127692,29.415038193472583,33.48537637612991,N/A,N/A,-2.7705481442080426,74,N/A,N/A,448,N/A,N/A
AMBP,3.714999914169312,N/A,N/A,-0.1344116774855386,-6.186871758019101,N/A,N/A,N/A,N/A,58.79658822675523,45.91254094407884,60.13904966312628,-0.034128897526473204,-0.11105032835234122,27.48794061206671,61.41839306877318,41.89018161353771,88.84462151394422,92.17952027599279,53.44619159250536,47.7960814468657,50.651575457572385,N/A,N/A,9.487474205553895,277,N/A,N/A,26824,N/A,N/A
AMG,216.2400054931641,N/A,N/A,-0.6478237734253791,-3.183344712807506,N/A,N/A,N/A,N/A,25.46865326289933,21.66539599146789,34.37006756540415,-0.11943587578607748,-0.026792161022688325,24.731789574070604,36.80176616070811,30.197010334042872,66.13545816733067,83.36579652345017,30.70290447304255,29.700834229870253,41.22731997112943,N/A,N/A,-6.8572524057252835,91,N/A,N/A,349,N/A,N/A
APLD,15.099900245666504,N/A,N/A,-1.5651884259002522,2.0263516963964965,N/A,N/A,N/A,N/A,112.7888846733609,136.46307600945963,144.93206194362648,-0.3203538018016242,-1.0933008574595027,110.44806694524168,158.50281272859016,140.57446649511573,45.0199203187251,61.99202817523608,136.39980911385234,142.75648897691642,111.94605097116008,N/A,N/A,32.9860109724664,56018,N/A,N/A,621202,N/A,N/A
APLS,26.920000076293945,N/A,N/A,0.8806468617377707,1.2791578388405351,N/A,N/A,N/A,N/A,64.84011073385496,61.02488062631713,62.911301153510855,-0.10064199758813809,0.4853604610354306,49.10305191607077,62.97468012956799,55.61555127011884,99.20318725099602,99.64144742275711,57.38860227088575,56.33889275526306,95.22888008815933,N/A,N/A,-32.31757893464847,5286,N/A,N/A,60378,N/A,N/A
ATEC,15.820300102233888,N/A,N/A,0.12848045097448227,0.12848045097448227,N/A,N/A,N/A,N/A,84.94831651125423,66.66065441540538,59.041042940740994,-0.20844610635299943,-1.4891664051770048,46.13566585599735,104.7262878086064,73.72084687614124,34.26294820717131,21.432952312537907,56.49186351961132,67.29596006968762,53.528209545300086,N/A,N/A,5.512833395440907,859,N/A,N/A,34084,N/A,N/A
BABA,119.88999938964844,N/A,N/A,-0.08333900816850807,-5.494246560908802,N/A,N/A,N/A,N/A,36.71424271547378,34.09819107244298,45.271269204351874,-0.425086294462392,0.2906754141189045,32.97436320662046,56.82270691973934,45.42882782475878,50.199203187250994,49.143697313490016,47.83751647899592,46.80694692780602,47.67139522805458,-8.712087771250191,N/A,-2.400126023702704,100206,-28.663263780620635,N/A,1248173,1.4891137927193279,N/A
BB,3.632699966430664,N/A,N/A,-0.7459048841478021,-3.6419102172543463,N/A,N/A,N/A,N/A,30.71185725893728,46.29031359684522,50.703007146012055,-1.0029520674440402,-1.8439191937654043,37.722849312758086,80.1150637197087,59.26594901958444,26.693227091633464,23.249350098908046,65.27626748726126,59.187722340192096,68.42511286904912,N/A,N/A,-17.72210572303706,6244,N/A,N/A,289632,N/A,N/A
BBAI,5.610099792480469,N/A,N/A,2.0018144087357954,-3.4406222421310173,N/A,N/A,N/A,N/A,100.67522615327992,124.22400259295246,114.29898247852934,-0.19864702653830985,-2.987362982076176,74.45200322398932,165.75447639108805,124.06719747317838,32.669322709163346,37.08442008908818,144.27982903652818,132.96285814511228,127.40407565079866,N/A,N/A,-13.10509317226932,35694,N/A,N/A,1010991,N/A,N/A
