Ticker,Timestamp,Option_Type,One_Yr_ATM_Rel_Error_Pct,P90_Rel_Error_Pct,N_Valid_Options,ATM_Dist_T,ATM_Dist_M,ATM_IV
AAL,20250918_2126,Call,,72.7820937485541,118,,,0.4169590820406338
AAL,20250918_2126,Put,,15.884362271277631,120,,,0.4555599477294472
ABBV,20250918_2126,Call,,1.3254786051928222,123,,,96.63037143364092
ABBV,20250918_2126,Put,,,0,,,
ABNB,20250918_2126,Call,0.13903258602088314,53.831996089222145,256,0.003422313483915085,0.00634784282721057,0.35219307004560874
ABNB,20250918_2126,Put,0.372063066574154,61.80282201278498,189,0.003422313483915085,0.00634784282721057,0.3624001526252172
ABR,20250918_2126,Call,,,0,,,
ABR,20250918_2126,Put,,,0,,,
AEIS,20250918_2126,Call,,56.03212443301594,51,,,0.6377607146030839
AEIS,20250918_2126,Put,,47.79274434747914,10,,,0.27525712740002484
AFRM,20250918_2126,Call,,,302,,,0.6312997519676915
AFRM,20250918_2126,Put,,,209,,,0.6496964002905862
AG,20250918_2126,Call,,17.281876625457187,117,,,1.019618748520077
AG,20250918_2126,Put,,22.79855325048691,26,,,0.3907032984582286
AKAM,20250918_2126,Call,0.5200275922148342,135.04369156874958,73,0.003422313483915085,0.025977574238116197,0.3172681483340386
AKAM,20250918_2126,Put,0.4809744215381835,12.925281334944986,74,0.003422313483915085,0.025977574238116197,0.38999713814266895
ALNY,20250918_2126,Call,,63.35943605654394,110,,,0.40909576666158154
ALNY,20250918_2126,Put,3.7457366707264232,17.778929401280614,67,0.17590691307323747,0.0037743936235068443,0.4254765975743476
ALRM,20250918_2126,Call,,,0,,,
ALRM,20250918_2126,Put,,,0,,,
AMD,20250918_2126,Call,0.7456652133146924,4.908853108447659,484,0.003422313483915085,0.01261739204916923,0.4348747852067058
AMD,20250918_2126,Put,0.5111812863674347,13.829704341928089,411,0.003422313483915085,0.01261739204916923,0.49405012678931093
AMPH,20250918_2126,Call,,313.3396615625026,10,,,0.4171621249486266
AMPH,20250918_2126,Put,,,0,,,
AMZN,20250918_2126,Call,0.4385823856687801,8.441426145366401,502,0.003422313483915085,0.006682309870562841,0.30817782553212403
AMZN,20250918_2126,Put,0.5913940080857875,22.169419427006336,393,0.003422313483915085,0.006682309870562841,0.3255062803196518
AORT,20250918_2126,Call,,,0,,,
AORT,20250918_2126,Put,,,0,,,
APLS,20250918_2126,Call,,57.52067679361632,46,,,0.5928930296171395
APLS,20250918_2126,Put,,,31,,,0.6920908020287223
AR,20250918_2126,Call,,96.43704023465375,122,,,0.39442693960395553
AR,20250918_2126,Put,,50.44428470599955,108,,,0.4148450600690804
ARAY,20250918_2126,Call,,,0,,,
ARAY,20250918_2126,Put,,,0,,,
ARRY,20250918_2126,Call,,11.031809706231337,31,,,0.7555587968483641
ARRY,20250918_2126,Put,,20.177204909145566,23,,,0.7875067274768123
ASND,20250918_2126,Call,,68.5912361437533,50,,,0.4365557992331366
ASND,20250918_2126,Put,,34.54939177414119,29,,,0.778509713279095
ASRT,20250918_2126,Call,,,0,,,
ASRT,20250918_2126,Put,,,0,,,
ATEC,20250918_2126,Call,6.138502958552728,23.51427071987833,26,0.17590691307323747,0.027339104508592005,0.5513587026479393
