Ticker,Normalized 3m,Normalized 6m,Normalized 1y,Normalized 3m_Color,Normalized 6m_Color,Normalized 1y_Color
SATS,35.63,37.91,37.12,#FFFFFF,#FFFFFF,#FFFFFF
CABO,73.83,149.97,193.72,#FFFFFF,#FFFFFF,#FFFFFF
TPIC,4241.38,2879.31,15068.97,#FFFFFF,#FFFFFF,#FFFFFF
INVA,110.96,89.3,101.91,#FFFFFF,#FFFFFF,#FFFFFF
IONS,60.36,53.67,67.7,#FFFFFF,#FFFFFF,#FFFFFF
GPRO,37.3,36.09,57.94,#FFFFFF,#FFFFFF,#FFFFFF
OPEN,6.5,13.45,26.46,#FFFFFF,#FFFFFF,#FFFFFF
MNKD,70.95,97.21,122.16,#FFFFFF,#FFFFFF,#FFFFFF
MLAB,142.81,191.89,187.83,#FFFFFF,#FFFFFF,#FFFFFF
ETSY,93.08,75.93,91.05,#FFFFFF,#FFFFFF,#FFFFFF
AORT,75.08,61.75,63.75,#FFFFFF,#FFFFFF,#FFFFFF
ZD,82.88,109.28,134.15,#FFFFFF,#FFFFFF,#FFFFFF
RUN,37.75,40.58,125.06,#FFFFFF,#FFFFFF,#FFFFFF
DAY,81.42,84.7,85.41,#FFFFFF,#FFFFFF,#FFFFFF
DDD,63.09,110.73,112.45,#FFFFFF,#FFFFFF,#FFFFFF
SABR,139.78,188.17,173.66,#FFFFFF,#FFFFFF,#FFFFFF
LNTH,151.96,187.98,203.04,#FFFFFF,#FFFFFF,#FFFFFF
HAE,137.32,125.44,150.02,#FFFFFF,#FFFFFF,#FFFFFF
WK,84.13,110.19,97.12,#FFFFFF,#FFFFFF,#FFFFFF
BLMN,129.02,110.03,239.64,#FFFFFF,#FFFFFF,#FFFFFF
NEO,86.98,123.4,203.88,#FFFFFF,#FFFFFF,#FFFFFF
RNG,87.18,86.19,96.25,#FFFFFF,#FFFFFF,#FFFFFF
FLR,122.68,92.33,113.29,#FFFFFF,#FFFFFF,#FFFFFF
XRX,143.32,142.67,255.06,#FFFFFF,#FFFFFF,#FFFFFF
WOLF,35.22,254.66,348.18,#FFFFFF,#FFFFFF,#FFFFFF
GWRE,100.16,77.74,70.22,#FFFFFF,#FFFFFF,#FFFFFF
ENOV,92.02,117.29,128.21,#FFFFFF,#FFFFFF,#FFFFFF
CHGG,96.0,48.0,120.67,#FFFFFF,#FFFFFF,#FFFFFF
SRPT,114.75,409.39,694.42,#FFFFFF,#FFFFFF,#FFFFFF
CHTR,144.56,139.35,129.98,#FFFFFF,#FFFFFF,#FFFFFF
MP,56.41,39.25,21.54,#FFFFFF,#FFFFFF,#FFFFFF
AMPH,93.85,104.78,180.15,#FFFFFF,#FFFFFF,#FFFFFF
MTH,81.82,91.61,131.6,#FFFFFF,#FFFFFF,#FFFFFF
SPB,97.34,129.34,168.58,#FFFFFF,#FFFFFF,#FFFFFF
PAR,148.44,145.54,134.39,#FFFFFF,#FFFFFF,#FFFFFF
MIDD,105.26,114.64,103.34,#FFFFFF,#FFFFFF,#FFFFFF
IIIV,82.27,79.72,72.0,#FFFFFF,#FFFFFF,#FFFFFF
TVTX,63.29,90.16,63.24,#FFFFFF,#FFFFFF,#FFFFFF
NSIT,111.46,128.07,176.68,#FFFFFF,#FFFFFF,#FFFFFF
MODG,86.99,70.24,106.87,#FFFFFF,#FFFFFF,#FFFFFF
SEDG,51.28,51.43,68.02,#FFFFFF,#FFFFFF,#FFFFFF
ENPH,93.31,157.84,304.0,#FFFFFF,#FFFFFF,#FFFFFF
GMED,99.19,127.23,119.88,#FFFFFF,#FFFFFF,#FFFFFF
CFLT,122.53,135.69,106.5,#FFFFFF,#FFFFFF,#FFFFFF
DOCN,76.55,101.54,112.77,#FFFFFF,#FFFFFF,#FFFFFF
BOX,107.69,93.39,102.8,#FFFFFF,#FFFFFF,#FFFFFF
CYTK,65.78,91.3,112.86,#FFFFFF,#FFFFFF,#FFFFFF
LCID,112.58,122.72,191.68,#FFFFFF,#FFFFFF,#FFFFFF
IART,80.31,151.65,115.71,#FFFFFF,#FFFFFF,#FFFFFF
WIX,89.04,96.81,89.97,#FFFFFF,#FFFFFF,#FFFFFF
PEP,91.28,101.75,121.61,#FFFFFF,#FFFFFF,#FFFFFF
HALO,70.07,85.91,81.65,#FFFFFF,#FFFFFF,#FFFFFF
DVAX,106.19,142.47,116.08,#FFFFFF,#FFFFFF,#FFFFFF
PLUG,67.86,91.07,124.4,#FFFFFF,#FFFFFF,#FFFFFF
LIVN,82.23,71.87,92.85,#FFFFFF,#FFFFFF,#FFFFFF
FARO,99.52,64.13,40.05,#FFFFFF,#FFFFFF,#FFFFFF
RPAY,80.56,100.53,144.83,#FFFFFF,#FFFFFF,#FFFFFF
TTGT,103.82,219.08,380.0,#FFFFFF,#FFFFFF,#FFFFFF
ARRY,97.54,73.61,93.27,#FFFFFF,#FFFFFF,#FFFFFF
BHR,85.53,90.71,99.84,#FFFFFF,#FFFFFF,#FFFFFF
KHC,97.6,110.54,127.91,#FFFFFF,#FFFFFF,#FFFFFF
PCG,93.95,112.54,132.18,#FFFFFF,#FFFFFF,#FFFFFF
LRN,104.0,87.55,58.85,#FFFFFF,#FFFFFF,#FFFFFF
VERI,37.8,73.99,102.95,#FFFFFF,#FFFFFF,#FFFFFF
SKIN,60.33,54.13,67.77,#FFFFFF,#FFFFFF,#FFFFFF
MRK,97.78,113.68,142.05,#FFFFFF,#FFFFFF,#FFFFFF
PRGS,149.63,129.26,138.07,#FFFFFF,#FFFFFF,#FFFFFF
WGO,93.26,101.45,169.66,#FFFFFF,#FFFFFF,#FFFFFF
NMFC,105.93,109.07,112.61,#FFFFFF,#FFFFFF,#FFFFFF
IRWD,53.85,108.46,344.62,#FFFFFF,#FFFFFF,#FFFFFF
BTU,69.32,67.67,108.85,#FFFFFF,#FFFFFF,#FFFFFF
VREX,65.95,108.08,95.53,#FFFFFF,#FFFFFF,#FFFFFF
HLX,110.36,135.16,157.3,#FFFFFF,#FFFFFF,#FFFFFF
STX,61.86,41.59,47.03,#FFFFFF,#FFFFFF,#FFFFFF
CBRL,114.83,78.05,81.07,#FFFFFF,#FFFFFF,#FFFFFF
KOS,119.23,124.18,240.11,#FFFFFF,#FFFFFF,#FFFFFF
NOG,119.35,113.29,132.49,#FFFFFF,#FFFFFF,#FFFFFF
ATI,103.41,65.48,77.82,#FFFFFF,#FFFFFF,#FFFFFF
EVH,100.12,110.88,353.47,#FFFFFF,#FFFFFF,#FFFFFF
NBR,81.08,104.47,163.63,#FFFFFF,#FFFFFF,#FFFFFF
PR,109.71,101.88,100.48,#FFFFFF,#FFFFFF,#FFFFFF
RIG,89.05,91.93,134.58,#FFFFFF,#FFFFFF,#FFFFFF
INN,81.53,92.0,105.55,#FFFFFF,#FFFFFF,#FFFFFF
NRG,92.7,60.89,48.76,#FFFFFF,#FFFFFF,#FFFFFF
AAL,85.25,91.78,90.01,#FFFFFF,#FFFFFF,#FFFFFF
VSH,101.64,110.2,119.18,#FFFFFF,#FFFFFF,#FFFFFF
