Rank,Ticker,Normalized 3m,Normalized 6m,Normalized 1y,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Realised Volatility 30d (%),Realised Volatility 60d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Weighted IV 1d (%),Weighted IV 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts
1,SATS,20.66531114135359,31.578316963046326,25.918391679440905,83.57499694824219,83.56999969482422,85.36000061035156,79.22000122070312,2.5082769527338744,37.14308964820467,3.6462886537945667,28.096263689846158,1.0416633741122407,30.241073265118896,4.9271539347061255,31.26761097545637,179.81337660171084,155.60485524878567,137.1993496397875,0.5394864813124605,1.6489926267852224,43.71996651172718,137.19934963978753,72.98007486924118,99.75062344139651,99.91532035448594,108.49244949748709,96.99576281588912,225.78021806408634,161.09822803764166,N/A,N/A,33.80290296982657,-52.948821144831506,-64.03678722729049,115.96326307739295,93.98461477197706,-88.58086842429884,61903.0,-47.88695637533043,-19.921607182127474,421519.0,3.044755832828115,16.228840548939374,380.0
2,OPEN,9.950899626248644,18.166939280681408,32.24222562294949,6.019999980926514,6.110000133514404,6.400000095367432,5.900000095367432,-14.000000272478378,42.654035076459486,1.1589432467463363,20.03929175538273,-12.568306758456515,23.314065988565645,-1.3377913620550372,43.552309092565,205.37063547935176,207.93744237325416,182.05406902686155,0.374766031792965,0.666645789146387,66.58193053153752,182.2880700273333,90.26411204746823,99.75062344139651,99.9797084453426,145.82779494398423,129.48501840114508,164.4461670079446,163.50173623678404,N/A,N/A,166.24167503581143,-5.628394957089771,-3.104996887256048,-1.3752728823744516,-1.699767408706021,17.607902018916946,531341.0,-60.19986172522871,-45.87172599128188,2886476.0,10.927262008797396,19.201785336716355,214.0
3,TPIC,3246.7532643461204,2520.259802714433,9051.947828518607,0.0450000017881393,0.0384999997913837,0.050000000745058,0.0379999987781047,0.0,14.795921567434856,0.0,-9.41176614959348,0.0,16.27906755120635,0.0,8.571424618059096,518.1215500919436,377.5899575971583,302.27471611279014,0.5037815259211786,0.6501042931058233,87.014334442032,302.2747161127903,132.12905235531125,99.75,99.99465596209583,253.69985246002403,220.1370714469808,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,IONS,56.19564870998669,51.08695768067359,75.04658491604765,61.150001525878906,64.4000015258789,64.70999908447266,60.98500061035156,-0.08169809875365988,24.440379091173593,5.573772993244109,12.01948103264761,5.631734994231563,11.723068249625577,2.7375336645744954,24.12985809994227,92.98148441858793,70.7349091060837,58.46733654385182,1.1887778040642554,-1.2190796308136382,30.080166099861106,59.487079047694365,39.74688711685015,99.50124688279301,99.95436533813486,55.43227881336985,52.29130449804037,62.891777592261334,N/A,N/A,N/A,N/A,N/A,N/A,-2.1513871796402055,6.5940420582732635,-4.424441048409513,3407.0,-9.556676400318556,-74.48322348711804,56032.0,1.0277306984962677,23.10125887031219,87.0
5,GPRO,51.49700816797803,41.31736618846132,75.44910316422151,1.7100000381469729,1.6699999570846558,1.7156000137329102,1.590000033378601,14.000002543131526,15.932204102141117,-2.9069808542953393,12.080533315155916,-0.8323702417233612,14.373334248860678,10.416664597061027,12.765962483567506,129.6383824910928,129.9460270936525,112.87590053140354,0.6631130944309528,2.4049109023910753,49.35301959073332,113.06908241029706,68.34737256026702,99.50124688279301,99.89738722873702,98.8704376432863,90.6056555182287,143.70795010725146,N/A,N/A,N/A,N/A,N/A,N/A,-18.328119524987425,-16.35959296113328,-30.83204957584792,10353.0,-78.70848329048843,56.98256254738438,231644.0,15.336433614483028,7.050793254677962,45.0
6,MNKD,70.4174220193871,93.46642253066729,110.70779766320378,5.550000190734863,5.510000228881836,5.704999923706055,5.480000019073486,0.9090943769975142,-8.415837571951462,-1.0771982213717723,-4.00696082591522,1.6934008543799703,-7.983869367533941,0.7352934086817846,-2.4911008778724986,93.67194003618984,73.7051479416083,64.73415057909932,0.5523416446289283,1.7230555835512578,32.88638227152269,64.90982788483433,44.594299346476525,97.75561097256858,97.87604375229637,53.75572824014833,48.03551820228284,90.10392383902229,75.27965225997224,N/A,N/A,48.22302881079047,-16.292508738435025,-21.805093491187026,-1.4151188432344968,-2.901888134541033,-25.369773259922965,3098.0,21.77672955974843,-64.14351851851852,90620.0,1.098901098901099,4.881831439087058,56.0
7,RUN,54.273234164693775,38.739861335879326,107.86026309987331,16.92099952697754,16.030000686645508,16.92099952697754,15.550000190734863,-6.410400451433959,12.35723144427512,-5.260043650327084,0.627748773094734,-6.5138167383643575,5.492509732947425,-5.419377135413169,4.0133805292618225,136.69314228275883,162.56120137680298,158.32637815195213,0.6740092631219442,0.19034325474059519,74.03717155482322,161.8446869769257,98.81212847327973,96.75810473815461,99.39730887910136,131.2137940177473,121.29781919448163,107.47591954130853,91.30968191002417,N/A,N/A,89.90623389194509,-13.3894999600421,2.811448467675425,17.03384507012328,10.043607138509296,50.8504586106436,150681.0,159.54423315419595,374.1676631631947,1013790.0,1.9983338833396382,2.5986932655407484,348.0
8,DAY,88.02612508375447,75.73294506470646,82.452830355821,69.19999694824219,68.9000015258789,69.26000213623047,68.875,0.1447155952666838,-0.3886631174845468,-0.6345469213289892,-0.8633071570087679,-0.1585708605972088,-0.7878462134333304,0.007256066819623816,-0.4984126186347682,73.58667605162475,57.63919177959942,50.46885338590844,0.5047453706062626,-7.633549416233834,28.840294612645422,57.91461249555342,37.92938330234577,96.25935162094763,98.01329190011091,48.10448859915178,43.786750913403935,33.32297364686032,24.16964627823166,N/A,N/A,5.0,0.0,0.0,0.7443448605464551,4.254050517426561,17.14587973904812,943.0,-26.557632398753896,-63.56259659969088,33766.0,0.05333649401446012,1.1018623869692794,40.0
9,ETSY,107.4616213334866,79.2574101447113,93.44876480961548,57.209999084472656,56.02000045776367,57.68000030517578,53.970001220703125,5.456219510548675,9.524262306862468,-3.7457049426087985,8.355898706138822,-1.1228229871888686,10.424044474396286,-0.3324105265071083,5.5235130269915285,61.28335792387767,53.89358921810064,49.052035387277925,1.3835449069567483,1.6507441190376098,37.28757008718875,51.84004671749417,44.42112745222574,96.00997506234414,91.86688800589987,48.83546860897863,46.315064463555736,57.37897103322746,55.17135294771952,N/A,N/A,57.70149224250325,-9.311840902164109,8.753986248336066,-14.849631056762558,0.846380699693761,-8.326935645949533,27930.0,-40.418542142201936,-51.80993132958349,354398.0,3.921108654472093,2.2607722116902265,319.0
10,AORT,68.43344809176625,55.17078835188277,57.361601752262516,43.5099983215332,42.45000076293945,43.54499816894531,41.75,-1.0011431940116804,-0.2064223755450436,-2.279000679251464,-2.8826317728768824,-0.9215075926361677,-1.9698334895739047,-2.7033322105268396,-3.601942562516421,70.39880999968527,53.529810240788265,48.93007064198108,0.8992828280619767,-1.7845747098394875,24.515859038401597,51.54716725853362,34.89604742858893,95.76059850374065,97.91554765353435,43.51643745800052,39.24889429638083,79.18643684753978,N/A,N/A,N/A,N/A,N/A,N/A,50.49707796234764,30.12953852819461,-30.2563662055587,105.0,0.0,-0.9433962264150944,517.0,0.9765625,-1.5238095238095237,10.0
11,DDD,87.61905318755436,120.9523846286767,97.14285973788944,2.150000095367432,2.0999999046325684,2.1698999404907227,2.0899999141693115,0.9389661902325159,-5.286338615302673,-3.225814248860645,-3.669732095175381,-0.004614552981660448,-5.656522370556591,1.9512176967531925,-2.7907059784509736,111.42495693633708,106.9663470503084,107.01950987034596,0.6159254059065301,0.14791811099184707,61.210357977333494,111.19770210636841,87.32557559737471,95.26184538653366,93.11339452982035,101.41069386738562,100.1943249035137,103.30581490941707,99.37261832729489,N/A,N/A,98.99799457140675,9.780695082751272,9.903681363054575,-1.3162035999416566,2.7836181134375084,3.7136949609288905,2986.0,9.457478005865102,10.633567988143756,87981.0,0.8054721693897661,3.7940187577419926,54.0
12,ZD,88.42435262036406,101.07133483801391,124.09198095223095,38.8307991027832,38.27000045776367,38.8307991027832,37.93999862670898,1.7578596909155524,2.8085746152049165,-0.6232092293687127,0.8166527417484056,0.1568187885005721,1.6779274656115557,0.6633059408573121,1.989241528475311,71.76238990624726,57.33130864863792,53.101154376301,0.34319344376222616,-7.413185376957728,29.11884855233121,60.964616545865894,40.66392422078797,94.51371571072319,94.63161297214447,51.56241140311023,48.92544854997466,69.3035478334276,63.97631975366871,N/A,N/A,42.783048812098265,4.326135006457816,6.421491790813604,4.122299242069125,4.096084771613371,-16.202393457126604,946.0,0.5313496280552604,-47.5609756097561,4859.0,0.3510945890128046,0.767316466196599,36.0
13,SABR,164.4067862818528,181.35593631287415,160.45197428096594,1.7699999809265137,1.7699999809265137,1.7699999809265137,1.7100000381469729,3.5087685053246678,-1.1173173940076098,1.724136277318624,1.1428560529436385,0.0,-3.278691835069315,0.8849548808677385,-1.156068248902366,131.45397813110114,100.69515627581052,88.20089173065094,0.5560243322387287,-9.992930797525965,50.548637779694694,104.2381782643277,70.89520972961739,94.51371571072319,90.61628089901957,86.29764947042511,80.90681976337054,115.96584667700067,99.65732085420878,N/A,N/A,59.60417288410791,N/A,N/A,32.63888136650676,34.50542249372589,-27.764954946349732,11545.0,6.602031394275161,3.4312847160007167,235521.0,0.19100530901170706,1.759350872114375,63.0
14,HAE,131.83997036014074,121.55235668318554,134.08923507796885,53.9900016784668,54.2400016784668,54.27000045776367,53.5099983215332,-0.2954752408190489,-0.935776736758171,0.2587859672725892,1.3074350970667301,-0.23897254497941678,-0.822369796967762,0.45053099625899007,0.4882597587477993,93.88421786374292,68.63854388596899,56.20600669368693,0.3746476583574976,-2.7670877863733003,25.214113995597,59.07047489789142,34.90404007748373,94.51371571072319,99.71885163037288,50.89902213782631,46.76188953641881,57.044125918591334,45.05370211116619,N/A,N/A,42.73097203304489,6.177324888066718,29.717320630883,5.5503680399700475,12.023593946111298,-0.8381192249044034,1036.0,-12.647554806070826,-21.693121693121693,16655.0,-0.2873735257139436,-2.0812511023575753,44.0
15,WK,87.85954559531963,110.20989533850718,95.03757214834081,81.01000213623047,77.18000030517578,81.19499969482422,77.18000030517578,1.5544760503281825,0.6585471635063171,-5.149320757006183,-0.14232191622275384,-0.5755234377445057,-1.102312784551563,-2.254304457871896,1.1666003132361944,93.16422610661294,68.99314180225579,58.4362697397298,1.567068750522391,-3.6299835046080613,26.379587505684537,64.00821244415378,39.28056001658082,94.51371571072319,97.56945523131513,56.65169472469047,50.66264460187752,77.23649869680592,56.11587185274327,N/A,N/A,29.570926755936277,-23.923271079293993,-28.940223643713036,25.87487467641939,39.616662498019714,-18.800228957076122,292.0,0.0,2.097902097902098,2943.0,0.3751705320600273,3.5174111853675694,44.0
16,MLAB,169.28382728780105,197.8454361969122,194.8601243607409,62.994998931884766,61.59000015258789,63.06999969482422,60.43000030517578,-0.3243699819302863,-5.681991213688269,-3.403384921690713,-4.08035970914433,-1.252543056895491,-5.865672097277286,-0.3298709540096507,-5.1929734642746785,103.90060671101958,84.00332272966209,70.63944389108094,0.6263946861330512,-2.6042299704659637,44.72582196334948,74.42259421403212,54.9521402962722,94.51371571072319,99.72660080107427,63.0930020525584,60.88969216030973,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
