Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Volume Rank,Open Interest Rank,Close 1d (%)_Color,Close 1w (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,OI 1d (%)_Color,OI 1w (%)_Color
SATS,79.89,83.5,79.5,85.0,"56,096",0.0,18.85,137.26,98.49,-3.83,,37.93,14.82,"433,081",0.29,7.21,1.017,44 of 371,62 of 371,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#10B981,#10B981
OPEN,5.86,6.36,5.57,6.43,"3,369,264",0.0,-1.68,182.31,169.54,0.66,,355.56,119.63,"3,048,778",2.88,11.95,0.7422,1 of 371,9 of 371,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#10B981,#10B981,#10B981
TPIC,0.03,0.04,0.03,0.04,N/A,0.0,-35.79,303.48,,,,,,N/A,,,,367 of 371,367 of 371,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
GPRO,1.63,1.65,1.59,1.7,"41,068",0.0,11.64,113.0,185.17,-0.44,,655.9,579.6,"233,033",-0.17,6.81,0.9214,56 of 371,94 of 371,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#F87171,#10B981
IONS,64.0,64.57,62.87,64.71,"2,780",0.0,7.83,58.49,90.94,2.21,,-6.77,-13.26,"56,445",0.09,7.04,1.0103,189 of 371,175 of 371,#FFFFFF,#10B981,#10B981,#FFFFFF,#F87171,#F87171,#10B981,#10B981
MNKD,5.57,5.49,5.43,5.61,"2,344",0.0,4.31,64.62,75.49,-11.3,,11.57,-45.8,"92,544",0.92,4.16,0.8984,207 of 371,141 of 371,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#F87171,#10B981,#10B981
RUN,16.2,16.21,16.06,16.73,"45,605",0.0,-1.4,158.22,92.47,-25.6,,62.93,14.33,"1,061,882",-0.46,6.27,0.8137,52 of 371,29 of 371,#FFFFFF,#F87171,#F87171,#FFFFFF,#10B981,#10B981,#F87171,#10B981
ETSY,57.82,55.51,55.0,58.41,"86,762",0.0,10.75,49.1,54.37,-6.43,,299.42,181.99,"365,008",2.25,-0.91,0.9194,32 of 371,71 of 371,#FFFFFF,#10B981,#F87171,#FFFFFF,#10B981,#10B981,#10B981,#F87171
AORT,41.04,42.58,40.81,42.28,106,0.0,-6.79,49.34,61.13,-12.28,,0.0,7.07,504,-2.51,-1.75,0.8117,353 of 371,356 of 371,#FFFFFF,#F87171,#F87171,#FFFFFF,#FFFFFF,#10B981,#F87171,#F87171
DAY,68.89,68.87,68.85,69.17,704,0.0,-0.95,50.4,34.36,8.06,,1.15,-73.06,"33,736",-0.06,0.2,1.5613,283 of 371,211 of 371,#FFFFFF,#F87171,#10B981,#FFFFFF,#10B981,#F87171,#F87171,#10B981
