Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
Japan,1.6410,0.0405,0.04%,0.03%,0.55%,0.78%,Sep/19
India,6.5080,0.0050,0.03%,0.01%,-0.29%,-0.26%,Sep/19
China,1.8690,0.0030,0.05%,0.08%,0.19%,-0.18%,Sep/19
Singapore,1.7960,0.0280,0.03%,-0.14%,-1.07%,-0.69%,Sep/19
South Korea,2.8130,0.0850,0.00%,-0.04%,-0.06%,-0.18%,Sep/19
Taiwan,1.4000,0.0100,0.03%,-0.03%,-0.27%,-0.06%,Sep/19
Thailand,1.3600,0.0800,0.10%,0.04%,-0.91%,-1.15%,Sep/18
Vietnam,3.7040,0.0070,0.01%,0.14%,0.59%,0.93%,Sep/19
Hong Kong,3.0890,0.0610,0.06%,0.00%,-0.72%,0.35%,Sep/19
Indonesia,6.3240,0.0190,0.01%,-0.11%,-0.67%,-0.10%,Sep/19
Israel,4.1810,0.0320,0.11%,0.04%,-0.29%,-0.82%,Sep/18
Malaysia,3.4140,0.0180,-0.01%,0.03%,-0.41%,-0.34%,Sep/19
Pakistan,11.9940,0.0010,0.00%,0.01%,-0.17%,-0.87%,Sep/19
Philippines,5.9390,0.0080,-0.04%,-0.08%,-0.28%,0.27%,Sep/19
