Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitcoin,115663,"1,491",-1.27%,-0.39%,1.23%,23.95%,82.99%,Sep/19
BTCETH,25.7726,0.2594,1.02%,4.68%,-2.30%,-8.01%,4.32%,Sep/19
BTCEUR,98242.5,"1,137.4",-1.14%,-0.73%,0.18%,9.06%,73.51%,Sep/19
BTCGBP,85678.9,753.0,-0.87%,-0.03%,0.98%,14.95%,80.57%,Sep/19
BTCAUD,175133.2,"1,908.8",-1.08%,0.06%,-1.36%,16.17%,88.60%,Sep/19
BTCCAD,158884.3,"2,739.0",-1.69%,-1.10%,0.23%,18.43%,85.23%,Sep/19
BTCCNY,821402,"11,205",-1.35%,-0.67%,0.11%,19.97%,84.58%,Sep/19
BTCJPY,17063764,"270,693",-1.56%,-0.45%,1.39%,16.22%,87.71%,Sep/19
BTCNZD,197058.9,"1,864.6",-0.94%,0.83%,0.50%,18.12%,94.46%,Sep/19
BTCCHF,91798.9,"1,048.0",-1.13%,-0.67%,-0.08%,8.42%,70.83%,Sep/19
BTCMXN,2122617,"28,915",-1.34%,-0.71%,-1.04%,9.10%,73.02%,Sep/19
BTCINR,10164164,"169,457",-1.64%,-0.84%,2.23%,27.29%,92.65%,Sep/19
BTCBRL,614400,"8,262",-1.33%,-1.19%,-1.94%,6.47%,76.37%,Sep/19
BTCRUB,9652868,"100,202",-1.03%,-1.03%,4.95%,-8.85%,65.37%,Sep/19
BTCKRW,161218346,"1,419,523",-0.87%,-0.33%,0.94%,16.88%,91.41%,Sep/19
BTCIDR,1912749478,"29,312,380",-1.51%,0.40%,2.81%,26.01%,99.61%,Sep/19
BTCTRY,4774282,"60,898",-1.26%,-0.52%,2.13%,44.80%,121.35%,Sep/19
BTCSAR,432718,"6,663",-1.52%,-0.67%,0.92%,23.45%,82.45%,Sep/19
BTCSEK,1084737,"10,030",-0.92%,0.56%,-0.94%,5.07%,68.83%,Sep/19
BTCNGN,172234447,"2,949,444",-1.68%,-1.26%,-1.94%,19.54%,66.21%,Sep/19
BTCPLN,418535,"4,804",-1.13%,-0.45%,0.50%,8.59%,73.19%,Sep/19
BTCARS,170189165,"2,537,586",-1.47%,0.76%,14.53%,76.91%,179.75%,Sep/19
BTCNOK,1146237,"10,166",-0.88%,0.32%,-1.95%,7.90%,73.06%,Sep/19
BTCTWD,3488970,"38,794",-1.10%,-0.83%,0.83%,13.98%,72.60%,Sep/19
BTCIRR,4926325700,"29,897,550",0.61%,1.25%,3.98%,25.70%,86.18%,Sep/18
