Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Crude Oil USD/Bbl,62.702,0.868,-1.37%,0.02%,-0.01%,-12.57%,-11.69%,Sep/19
Brent USD/Bbl,66.630,0.810,-1.20%,-0.54%,-0.31%,-10.73%,-10.55%,Sep/19
Natural gas USD/MMBtu,2.9155,0.0235,-0.80%,-0.87%,5.94%,-19.75%,19.78%,Sep/19
Gasoline USD/Gal,1.9681,0.0447,-2.22%,-0.86%,-7.54%,-2.20%,-3.76%,Sep/19
Heating Oil USD/Gal,2.3022,0.0378,-1.62%,0.53%,0.99%,-0.65%,5.86%,Sep/19
Coal USD/T,103.35,0.45,0.44%,2.43%,-6.98%,-17.49%,-25.91%,Sep/18
TTF Gas EUR/MWh,32.32,0.64,-1.93%,-1.06%,1.29%,-35.95%,-6.62%,Sep/19
UK Gas GBp/thm,80.2636,1.2364,-1.52%,0.13%,1.55%,-35.99%,-3.41%,Sep/19
Ethanol USD/Gal,1.8300,0.1050,-5.43%,-8.04%,2.81%,8.28%,17.31%,Sep/19
Naphtha USD/T,563.36,1.74,-0.31%,0.40%,1.74%,-7.87%,-10.47%,Sep/18
Uranium USD/Lbs,76.9000,0.3500,0.46%,1.59%,4.77%,5.34%,-3.21%,Sep/19
Propane USD/Gal,0.71,0.00,-0.14%,0.42%,4.50%,-8.66%,10.25%,Sep/19
Methanol CNY/T,2244.00,13.00,-0.58%,0.63%,-3.07%,-18.90%,-6.50%,Sep/19
Coking Coal CNY/T,192.00,1.25,-0.65%,1.99%,0.79%,-4.95%,1.59%,Sep/19
Germany Natural Gas THE EUR/MWh,33.77,0.61,-1.76%,-1.75%,1.18%,-32.28%,-2.84%,Sep/19
Urals Oil USD/Bbl,63.19,0.51,-0.80%,3.62%,1.12%,-7.77%,-9.53%,Sep/18
