Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Ether,4475.00,116.9,-2.55%,-5.12%,3.32%,34.36%,74.92%,22:31
ETHBTC,0.0388025,0.0003929,-1.00%,-4.47%,2.36%,8.71%,-4.13%,Sep/19
ETHEUR,3792.40,102.84,-2.64%,-5.66%,2.01%,17.95%,65.48%,Sep/19
ETHGBP,3307.41,80.32,-2.37%,-5.00%,2.83%,24.32%,72.22%,Sep/19
ETHAUD,6760.56,178.67,-2.57%,-4.90%,0.44%,25.63%,79.87%,Sep/19
ETHCAD,6133.32,201.58,-3.18%,-6.01%,2.06%,28.08%,76.66%,Sep/19
ETHCNY,31708.1,926.3,-2.84%,-5.60%,1.94%,29.75%,76.03%,Sep/19
ETHJPY,658703,"20,729",-3.05%,-5.39%,3.24%,25.69%,79.03%,Sep/19
ETHNZD,7606.95,189.94,-2.44%,-4.17%,2.34%,27.74%,85.46%,Sep/19
ETHCHF,3543.66,95.51,-2.62%,-5.60%,1.75%,17.25%,62.93%,Sep/19
ETHMXN,81938.2,"2,392.0",-2.84%,-5.64%,0.77%,17.99%,65.01%,Sep/19
ETHINR,392361,"12,669",-3.13%,-5.76%,4.10%,37.66%,83.73%,Sep/19
ETHBRL,23717.3,688.2,-2.82%,-6.10%,-0.15%,15.14%,68.21%,Sep/19
ETHRUB,373767,"8,509",-2.23%,-5.65%,7.20%,-1.12%,58.20%,Sep/19
ETHKRW,6223418,"151,241",-2.37%,-5.27%,2.79%,26.40%,82.55%,Sep/19
ETHIDR,73836754,"2,283,173",-3.00%,-4.58%,4.69%,36.28%,90.37%,Sep/19
ETHTRY,184298.8,"5,218.1",-2.75%,-5.46%,4.00%,56.60%,111.10%,Sep/19
ETHSAR,16703.9,517.7,-3.01%,-5.60%,2.77%,33.51%,74.00%,Sep/19
ETHSEK,41873.5,"1,036.4",-2.42%,-4.44%,0.87%,13.64%,61.02%,Sep/19
ETHNGN,6648666,"217,740",-3.17%,-6.16%,-0.14%,29.28%,58.52%,Sep/19
ETHPLN,16156.4,436.5,-2.63%,-5.39%,2.34%,17.44%,65.17%,Sep/19
ETHARS,6569713,"200,384",-2.96%,-4.24%,16.63%,91.32%,166.80%,Sep/19
ETHNOK,44247.5,"1,078.2",-2.38%,-4.66%,-0.16%,16.69%,65.05%,Sep/19
ETHTWD,134682.7,"3,589.5",-2.60%,-5.75%,2.68%,23.27%,64.61%,Sep/19
ETHIRR,193089395,"25,146",-0.01%,2.76%,12.86%,38.03%,86.23%,Sep/18
