Company,Price,Chg,%Chg,YoY
Paramount Global PARA,18.90,1.02,5.70%,82.61%
Eversource Energy ES,67.00,3.12,4.88%,-0.27%
Newmont Mining NEM,81.72,3.40,4.34%,50.23%
Fortinet FTNT,84.32,3.33,4.11%,9.82%
Oracle ORCL,310.25,13.63,4.60%,83.93%
Amgen AMGN,285.41,9.58,3.47%,-15.41%
Warner Bros Discovery WBD,19.33,0.63,3.37%,135.02%
