Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Gold USD/t.oz,3682.50,38.49,1.06%,1.08%,10.09%,40.32%,40.47%,Sep/19
Silver USD/t.oz,43.055,1.235,2.95%,2.03%,13.57%,49.09%,38.11%,Sep/19
Copper USD/Lbs,4.5729,0.0384,0.85%,-0.19%,3.39%,14.90%,7.14%,Sep/19
Steel CNY/T,3109.00,32.00,1.04%,2.07%,-0.89%,-6.07%,0.36%,Sep/19
Lithium CNY/T,73500,50,0.07%,1.45%,-14.22%,-2.07%,1.38%,Sep/19
Iron Ore CNY CNY/T,807.00,1.50,0.19%,1.38%,3.86%,3.59%,18.68%,Sep/19
Platinum USD/t.oz,1416.40,21.80,1.56%,1.42%,6.15%,58.43%,44.92%,Sep/19
HRC Steel USD/T,807.97,9.00,1.13%,0.00%,-3.12%,13.96%,8.31%,Sep/19
Iron Ore USD/T,105.44,0.20,0.19%,0.01%,3.86%,1.77%,14.70%,Sep/19
Silicon CNY/T,9255.00,365.00,4.11%,6.07%,13.28%,-18.10%,-25.96%,Sep/19
Scrap Steel USD/T,338.00,0.50,-0.15%,0.15%,-2.59%,%,-5.98%,Sep/18
Titanium CNY/KG,49.00,0.00,0.00%,0.00%,0.00%,10.11%,11.36%,Sep/19
