Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
Australia,4.2540,0.0620,0.02%,-0.05%,-0.11%,0.32%,Sep/19
New Zealand,4.2130,0.0228,-0.08%,-0.19%,-0.21%,0.02%,Sep/19
