Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
South Africa,9.1600,0.0200,-0.18%,-0.43%,0.13%,0.28%,Sep/19
Zambia,19.5000,0.0000,-0.01%,-0.02%,-2.66%,-6.89%,Sep/19
Kenya,13.4300,0.0000,0.15%,-0.10%,-0.91%,-3.47%,Sep/19
Nigeria,16.6380,0.0030,0.01%,0.96%,-5.10%,-3.22%,Sep/18
