Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
United Kingdom,4.7170,0.0366,0.04%,0.04%,0.15%,0.82%,Sep/19
Germany,2.7467,0.0307,0.03%,0.03%,0.38%,0.53%,Sep/19
Russia,14.4500,0.2200,0.48%,0.86%,-0.77%,-1.35%,Sep/19
Italy,3.5633,0.0129,0.02%,0.01%,0.04%,0.00%,Sep/19
France,3.5565,0.0160,0.05%,0.14%,0.36%,0.59%,Sep/19
Switzerland,0.2520,0.0190,0.01%,-0.09%,0.00%,-0.25%,Sep/19
Turkey,31.6900,2.1000,-0.93%,0.40%,2.40%,2.85%,Sep/19
Finland,3.1160,0.0040,0.02%,0.00%,0.36%,0.42%,Sep/19
Lithuania,3.6440,0.0250,0.04%,0.10%,0.42%,0.15%,Sep/19
Netherlands,2.9209,0.0304,0.04%,0.02%,0.33%,0.41%,Sep/19
Norway,4.0980,0.0520,0.09%,0.15%,0.25%,0.63%,Sep/19
Poland,5.5110,0.0240,0.00%,0.16%,-0.36%,0.12%,Sep/19
Portugal,3.1650,0.0370,0.04%,0.04%,0.33%,0.38%,Sep/19
Romania,7.3500,0.0000,-0.24%,-0.04%,0.01%,0.66%,Sep/19
Slovakia,3.5070,0.0170,0.01%,0.00%,0.31%,0.20%,Sep/19
Slovenia,3.0850,0.0320,0.05%,0.00%,0.06%,0.07%,Sep/19
Spain,3.2990,0.0130,0.01%,0.00%,0.24%,0.30%,Sep/19
Sweden,2.6270,0.0640,0.11%,0.21%,0.30%,0.65%,Sep/19
Greece,3.4140,0.0120,0.02%,0.01%,0.21%,0.20%,Sep/19
Hungary,6.9400,0.0200,-0.16%,-0.16%,0.40%,0.60%,Sep/19
Iceland,6.7630,0.0200,-0.12%,-0.26%,-0.13%,-0.22%,Sep/19
Ireland,2.9955,0.0263,0.03%,0.03%,0.36%,0.41%,Sep/19
Austria,3.0566,0.0204,0.03%,0.02%,0.29%,0.34%,Sep/19
Belgium,3.2842,0.0151,0.03%,0.03%,0.30%,0.46%,Sep/19
Croatia,3.0670,0.0010,0.00%,-0.08%,0.11%,-0.18%,Sep/18
Czech Republic,4.4080,0.0310,0.05%,0.14%,0.27%,0.66%,Sep/19
Denmark,2.5750,0.0280,0.03%,0.02%,0.49%,0.45%,Sep/19
Euro area,3.18,0.04,0.04%,-0.02%,0.23%,0.29%,Sep/18
