Company,Price,Chg,%Chg,YoY
Dexcom DXCM,67.44,8.34,-11.01%,-4.26%
Cognizant Technology Solutions CTSH,66.93,3.33,-4.74%,-11.46%
Humana HUM,252.66,12.20,-4.61%,-18.73%
Dollar General DG,102.11,4.79,-4.48%,18.74%
Texas Pacific Land TPL,872.70,40.57,-4.44%,-6.79%
Lennar LEN,127.34,5.53,-4.16%,-30.13%
Darden Restaurants DRI,184.73,8.01,-4.16%,8.61%
