Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDCAD,1.37697,0.00110,-0.08%,-0.48%,-0.75%,-4.23%,1.46%,Sep/19
USDMXN,18.3074,0.0010,-0.01%,-0.57%,-2.48%,-12.19%,-5.68%,Sep/19
USDBRL,5.32850,0.01360,0.26%,-0.50%,-2.83%,-13.84%,-3.32%,Sep/19
DXY,97.664,0.316,0.32%,0.12%,-0.56%,-9.98%,-3.04%,Sep/19
USDARS,1475.083,0.726,0.05%,1.40%,13.42%,43.08%,53.26%,Sep/19
USDCOP,3892.32,0.78,-0.02%,-0.16%,-3.33%,-11.65%,-6.32%,Sep/19
USDCLP,955.500,1.410,-0.15%,0.07%,-1.10%,-3.91%,2.67%,Sep/19
USDPEN,3.48470,0.00020,0.01%,-0.21%,-1.06%,-7.17%,-7.06%,Sep/19
USDCUC,24.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/18
USDDOP,62.0220,0.2320,0.38%,-1.49%,-0.17%,1.86%,3.30%,Sep/19
USDGTQ,7.66000,0.00000,0.00%,-0.07%,-0.10%,-0.58%,-0.94%,Sep/19
USDURY,39.9590,0.0140,0.04%,-0.44%,-0.61%,-8.48%,-3.32%,Sep/19
USDCRC,503.230,1.210,-0.24%,-0.10%,-0.26%,-0.68%,-3.04%,Sep/19
USDPAB,1.00010,0.00010,0.01%,0.01%,0.01%,0.01%,-0.02%,Sep/19
USDBOB,6.91240,0.01260,-0.18%,-0.18%,-0.11%,-0.33%,0.00%,Sep/19
USDPYG,7123.39,2.89,0.04%,-0.23%,-1.42%,-8.82%,-8.72%,Sep/19
USDSVC,8.75300,0.00150,-0.02%,-0.02%,-0.02%,0.04%,0.01%,Sep/19
USDTTD,6.77040,0.00270,0.04%,-0.25%,-0.09%,0.06%,-0.49%,Sep/19
USDHNL,26.2264,0.0172,0.07%,0.10%,0.32%,3.60%,5.69%,Sep/19
USDJMD,160.414,0.046,-0.03%,-0.12%,-0.05%,3.69%,2.07%,Sep/19
USDNIO,36.8120,0.0120,0.03%,0.03%,0.03%,0.58%,-0.01%,Sep/19
USDHTG,130.892,0.042,0.03%,0.03%,0.03%,0.54%,-0.83%,Sep/19
USDBSD,1.00030,0.00030,0.03%,0.03%,0.03%,0.03%,0.00%,Sep/19
USDSRD,39.0219,0.3155,-0.80%,0.58%,3.40%,10.09%,30.95%,Sep/17
USDGYD,208.800,0.200,-0.10%,-0.19%,-0.24%,-0.19%,-0.19%,Sep/19
USDKYD,0.83125,0.00000,0.00%,0.00%,0.00%,0.00%,0.15%,Sep/18
USDVES,163.44280,1.76049,-1.07%,1.99%,17.39%,214.94%,344.43%,Sep/19
