Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitumen CNY/T,3421.00,16.00,-0.47%,1.00%,-0.55%,-7.26%,6.84%,Sep/19
Cobalt USD/T,33335,0,0.00%,0.00%,0.00%,37.18%,37.18%,Sep/18
Lead USD/T,2003.48,4.90,-0.24%,-0.74%,0.94%,2.64%,-2.51%,Sep/19
Aluminum USD/T,2672.70,23.80,-0.88%,-1.01%,3.49%,4.75%,7.55%,Sep/19
Tin USD/T,33711,634,-1.85%,-2.84%,-0.41%,15.91%,5.93%,Sep/18
Zinc USD/T,2894.30,18.05,-0.62%,-1.85%,3.79%,-2.83%,0.71%,Sep/19
Nickel USD/T,15270,65,-0.42%,-0.72%,1.50%,-0.20%,-7.51%,Sep/19
Molybdenum CNY/Kg,512.50,0.00,0.00%,-1.44%,2.49%,9.28%,7.33%,Sep/19
Palladium USD/t.oz,1153.50,7.00,-0.60%,-4.15%,4.53%,29.75%,9.44%,Sep/19
Rhodium USD/t oz.,7025,0,0.00%,-1.40%,-7.26%,53.55%,47.89%,Sep/19
Phosphorus CNY/T,1025.00,0.00,0.00%,0.00%,0.01%,-4.63%,-8.05%,Sep/19
Polyethylene CNY/T,7128.00,31.00,-0.43%,-0.41%,-1.89%,-16.37%,-11.56%,Sep/19
Polyvinyl CNY/T,4867.00,19.00,0.39%,2.18%,0.33%,-1.20%,-5.00%,Sep/19
Polypropylene CNY/T,6846.00,40.00,-0.58%,-0.09%,-2.00%,-7.21%,-7.70%,Sep/19
Synthetic Rubber CNY/T,12116.67,50.00,-0.41%,-1.16%,-1.09%,-18.73%,-26.19%,Sep/19
Soda Ash CNY/T,1188.00,0.00,0.00%,0.17%,-2.94%,-22.25%,-30.36%,Sep/19
Neodymium CNY/T,785000,0,0.00%,0.00%,1.28%,57.95%,48.82%,Sep/19
Sulfur CNY/T,2644.33,0.00,0.00%,0.00%,1.02%,55.76%,89.20%,Sep/19
Tellurium CNY/Kg,585.00,0.00,0.00%,0.00%,-3.29%,-9.30%,-20.41%,Sep/19
Urea USD/T,394.00,1.50,0.38%,0.00%,-10.40%,16.74%,25.18%,Sep/19
Di-ammonium USD/T,755.00,7.50,-0.98%,0.00%,-5.63%,30.74%,36.28%,Sep/19
Magnesium CNY/T,17750,0,0.00%,0.00%,-2.74%,4.41%,-5.08%,Sep/19
Gallium CNY/Kg,1665.00,0.00,0.00%,3.74%,3.74%,-19.76%,-35.34%,Sep/19
Germanium CNY/Kg,14250,0,0.00%,-1.04%,-1.74%,-18.80%,-21.05%,Sep/19
Manganese CNY/mtu,29.85,0.00,0.00%,0.67%,0.37%,3.83%,-2.93%,Sep/19
Indium CNY/Kg,2525,0,0.00%,0.00%,-3.81%,-0.79%,-13.68%,Sep/19
Kraft Pulp CNY/T,4980.00,6.00,-0.12%,0.89%,-2.39%,-15.08%,-12.39%,Sep/19
